origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10611,2,3.98,,5.77,,10612,0.6
10611,2,4.08,,27.58,,10612,0.32
10611,2,4.53,,9.13,34.55,10612,0.52
10611,2,4.68,,25.42,,10612,0.33
10611,2,5.12,,7.57,24.22,10612,0.55
10611,2,5.23,,16.65,,10612,0.53
10611,2,5.52,,8.9,20.35,10612,0.43
10611,2,5.67,,11.45,,10612,0.52
10611,2,5.85,,23.05,39.85,10612,0.27
10611,2,6.23,,16.8,,10612,7.78
10611,2,6.52,,14.9,14.9,10612,0.58
10611,2,6.77,,3.5,16.83,10612,0.38
10611,2,6.82,,13.33,,10612,0.35
10611,2,7.05,,4.87,17.85,10612,0.35
10611,2,7.13,,7.73,,10612,0.62
10611,2,7.25,,5.25,,10612,0.4
10611,2,7.35,,8.97,8.97,10612,0.4
10611,2,7.5,,7.55,7.55,10612,0.73
10611,2,7.62,,15.13,15.13,10612,0.43
10611,2,7.87,,5.18,5.18,10612,0.38
10611,2,7.95,,16.85,16.85,10612,0.4
10611,2,8.23,,23.87,23.87,10612,0.4
10611,2,8.63,,2.57,2.57,10612,0.22
10611,2,8.68,,6.15,6.15,10612,0.0
10611,2,8.78,,21.93,21.93,10612,0.37
10611,2,9.15,,5.52,5.52,10612,0.68
10611,2,9.23,,14.8,14.8,10612,0.4
10611,2,9.48,,22.08,22.08,10612,0.37
10611,2,9.85,,0.25,0.25,10612,0.4
10611,2,9.87,,12.48,12.48,10612,0.38
10611,2,10.07,,16.5,16.5,10612,0.43
10611,2,10.33,,7.67,7.67,10612,0.43
10611,2,10.47,,14.22,14.22,10612,0.4
10611,2,10.7,,5.5,5.5,10612,0.38
10611,2,10.8,,17.47,17.47,10612,0.68
10611,2,11.08,,8.45,8.45,10612,0.43
10611,2,11.23,,16.35,16.35,10612,0.43
10611,2,11.5,,5.6,5.6,10612,0.28
10611,2,11.6,,19.93,19.93,10612,0.37
10611,2,11.93,,7.52,7.52,10612,0.58
10611,2,12.05,,19.97,19.97,10612,0.43
10611,2,12.38,,2.22,2.22,10612,0.55
10611,2,12.42,,16.25,16.25,10612,0.4
10611,2,12.7,,9.18,9.18,10612,0.68
10611,2,12.85,,11.18,11.18,10612,0.43
10611,2,13.03,,21.98,21.98,10612,0.27
10611,2,13.4,,3.58,3.58,10612,0.33
10611,2,13.47,,12.65,12.65,10612,0.35
10611,2,13.67,,12.93,12.93,10612,0.48
10611,2,13.88,,24.0,24.0,10612,0.58
10611,2,14.28,,14.42,14.42,10612,0.6
10611,2,14.53,,0.12,0.12,10612,0.57
10611,2,14.53,,14.68,14.68,10612,0.52
10611,2,14.77,,11.18,11.18,10612,0.37
10611,2,14.97,,2.82,2.82,10612,0.63
10611,2,15.0,,10.27,10.27,10612,0.03
10611,2,15.18,,16.7,16.7,10612,0.52
10611,2,15.45,,9.17,10.88,10612,0.58
10611,2,15.6,,1.72,,10612,0.4
10611,2,15.63,,7.27,7.27,10612,0.67
10611,2,15.75,,11.22,11.22,10612,0.68
10611,2,15.95,,9.1,12.48,10612,0.72
10611,2,16.1,,3.38,,10612,0.38
10611,2,16.15,,7.28,15.25,10612,0.5
10611,2,16.27,,7.97,,10612,0.4
10611,2,16.4,,8.8,21.03,10612,0.38
10611,2,16.55,,12.23,,10612,0.5
10611,2,16.75,,0.23,0.23,10612,0.4
10611,2,16.77,,12.93,13.27,10612,0.67
10611,2,16.98,,0.33,,10612,0.43
10611,2,16.98,,11.47,11.47,10612,0.6
10611,2,17.17,,0.75,17.82,10612,0.35
10611,2,17.18,,17.07,,10612,0.5
10611,2,17.47,,4.8,9.15,10612,0.67
10611,2,17.55,,4.35,,10612,339.73
10611,2,17.62,,6.08,16.18,10612,0.42
10611,2,17.72,,10.1,,10612,0.25
10611,2,17.9,,14.88,14.88,10612,0.37
10611,2,18.13,,18.35,18.35,10612,0.87
10611,2,18.45,,2.0,20.5,10612,0.58
10611,2,18.48,,16.6,,10612,0.37
10611,2,18.75,,1.9,,10612,0.43
10611,2,18.78,,12.32,12.32,10612,0.37
10611,2,19.0,,3.52,18.02,10612,0.35
10611,2,19.05,,14.5,,10612,0.28
10611,2,19.3,,19.32,19.32,10612,0.65
10611,2,19.62,,0.77,0.77,10612,0.98
10611,2,19.63,,10.73,10.73,10612,0.57
10611,2,19.8,,15.13,15.13,10612,0.37
10611,2,20.07,,12.55,12.55,10612,0.45
10611,2,20.27,,8.97,8.97,10612,0.67
10611,2,20.42,,28.22,28.22,10612,0.4
10611,2,20.88,,19.32,19.32,10612,0.48
10611,2,21.22,,13.15,13.15,10612,0.73
10611,2,21.43,,38.5,38.5,10612,0.53
10611,2,22.07,,7.32,7.32,10612,0.62
10611,2,22.2,,58.83,58.83,10612,0.32
