origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10603,2,4.02,,27.78,,10604,0.62
10603,2,4.48,,8.37,32.65,10604,0.27
10603,2,4.62,,24.28,,10604,0.13
10603,2,5.03,,8.08,23.92,10604,0.78
10603,2,5.17,,15.83,,10604,0.13
10603,2,5.43,,22.67,22.67,10604,0.68
10603,2,5.8,,38.1,38.1,10604,0.33
10603,2,6.43,,14.92,14.92,10604,0.55
10603,2,6.68,,16.02,16.02,10604,0.48
10603,2,6.95,,7.07,16.93,10604,0.47
10603,2,7.07,,7.12,,10604,0.05
10603,2,7.2,,2.75,,10604,0.07
10603,2,7.23,,8.9,8.9,10604,0.57
10603,2,7.38,,9.32,9.32,10604,0.57
10603,2,7.55,,14.62,14.62,10604,0.43
10603,2,7.78,,5.28,5.28,10604,0.5
10603,2,7.87,,16.63,16.63,10604,0.68
10603,2,8.15,,24.3,24.3,10604,0.77
10603,2,8.55,,7.3,7.3,10604,0.23
10603,2,8.68,,0.92,0.92,10604,0.02
10603,2,8.7,,20.47,20.47,10604,1.03
10603,2,9.03,,8.03,8.03,10604,0.82
10603,2,9.17,,13.42,13.42,10604,0.5
10603,2,9.4,,20.88,20.88,10604,0.95
10603,2,9.73,,1.17,1.17,10604,0.73
10603,2,9.77,,13.92,13.92,10604,0.65
10603,2,9.98,,16.47,16.47,10604,0.5
10603,2,10.27,,7.72,7.72,10604,0.62
10603,2,10.4,,14.77,14.77,10604,0.53
10603,2,10.63,,4.78,4.78,10604,0.3
10603,2,10.72,,16.88,16.88,10604,0.63
10603,2,11.0,,8.95,8.95,10604,0.58
10603,2,11.15,,16.48,16.48,10604,0.52
10603,2,11.43,,6.63,6.63,10604,0.62
10603,2,11.53,,15.47,15.47,10604,0.43
10603,2,11.8,,10.23,10.23,10604,1.37
10603,2,11.97,,19.15,19.15,10604,0.73
10603,2,12.28,,3.27,3.27,10604,1.08
10603,2,12.33,,16.37,16.37,10604,0.92
10603,2,12.62,,9.43,9.43,10604,0.4
10603,2,12.77,,11.1,11.1,10604,0.57
10603,2,12.95,,21.62,21.62,10604,0.83
10603,2,13.32,,3.87,3.87,10604,0.88
10603,2,13.38,,12.5,12.5,10604,0.85
10603,2,13.58,,13.03,13.03,10604,0.47
10603,2,13.8,,22.05,22.05,10604,0.6
10603,2,14.17,,16.1,16.1,10604,1.13
10603,2,14.43,,0.23,0.23,10604,0.98
10603,2,14.45,,12.97,12.97,10604,0.63
10603,2,14.67,,2.02,2.02,10604,11.57
10603,2,14.7,,10.83,10.83,10604,0.73
10603,2,14.87,,13.0,13.0,10604,0.93
10603,2,15.08,,15.8,15.8,10604,0.38
10603,2,15.35,,9.3,10.45,10604,0.73
10603,2,15.5,,1.15,,10604,0.83
10603,2,15.53,,3.85,3.85,10604,1.02
10603,2,15.58,,16.1,16.1,10604,1.1
10603,2,15.87,,8.58,10.1,10604,0.75
10603,2,16.0,,1.52,,10604,0.88
10603,2,16.03,,8.85,16.43,10604,0.95
10603,2,16.18,,7.58,,10604,0.78
10603,2,16.3,,9.25,22.03,10604,0.65
10603,2,16.45,,12.78,,10604,0.55
10603,2,16.67,,1.4,1.4,10604,0.62
10603,2,16.7,,10.83,10.83,10604,0.42
10603,2,16.87,,0.48,11.45,10604,0.82
