origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10607,2,3.95,,6.42,,10608,0.28
10607,2,4.05,,27.22,,10608,0.3
10607,2,4.5,,8.95,33.83,10608,0.28
10607,2,4.65,,24.88,,10608,0.4
10607,2,5.07,,7.27,23.93,10608,0.5
10607,2,5.2,,16.67,,10608,0.3
10607,2,5.47,,9.37,21.45,10608,0.63
10607,2,5.63,,12.08,,10608,0.4
10607,2,5.83,,30.15,39.22,10608,0.35
10607,2,6.33,,9.07,,10608,2.15
10607,2,6.48,,15.08,15.08,10608,0.48
10607,2,6.73,,3.07,16.25,10608,0.52
10607,2,6.78,,13.18,,10608,0.35
10607,2,7.0,,5.23,16.98,10608,0.87
10607,2,7.08,,7.9,,10608,0.32
10607,2,7.22,,3.85,,10608,0.42
10607,2,7.28,,9.1,9.1,10608,0.52
10607,2,7.43,,6.22,8.25,10608,0.37
10607,2,7.55,,2.03,,10608,694.45
10607,2,7.58,,15.72,15.72,10608,0.55
10607,2,7.83,,5.27,5.27,10608,0.45
10607,2,7.93,,15.88,15.88,10608,0.53
10607,2,8.18,,24.97,24.97,10608,0.58
10607,2,8.6,,4.33,4.33,10608,0.6
10607,2,8.68,,3.53,3.53,10608,0.0
10607,2,8.73,,21.32,21.32,10608,0.42
10607,2,9.1,,6.73,6.73,10608,0.47
10607,2,9.2,,15.2,15.2,10608,0.3
10607,2,9.47,,20.0,20.0,10608,0.33
10607,2,9.8,,0.42,0.42,10608,0.63
10607,2,9.8,,14.43,14.43,10608,0.45
10607,2,10.03,,16.15,16.15,10608,0.35
10607,2,10.32,,7.47,7.47,10608,0.48
10607,2,10.43,,14.38,14.38,10608,0.57
10607,2,10.67,,5.13,5.13,10608,0.42
10607,2,10.75,,17.17,17.17,10608,0.28
10607,2,11.05,,8.57,8.57,10608,0.63
10607,2,11.18,,17.33,17.33,10608,0.4
10607,2,11.48,,5.43,5.43,10608,0.45
10607,2,11.57,,17.43,17.43,10608,0.43
10607,2,11.85,,9.83,9.83,10608,0.9
10607,2,12.02,,19.47,19.47,10608,0.48
10607,2,12.35,,2.6,2.6,10608,0.48
10607,2,12.38,,15.88,15.88,10608,0.33
10607,2,12.65,,9.63,9.63,10608,0.48
10607,2,12.82,,11.55,11.55,10608,0.72
10607,2,13.0,,21.93,21.93,10608,0.42
10607,2,13.37,,2.98,2.98,10608,0.35
10607,2,13.42,,12.05,12.05,10608,0.53
10607,2,13.62,,13.15,13.15,10608,0.65
10607,2,13.85,,23.8,23.8,10608,0.35
10607,2,14.23,,14.3,14.3,10608,0.43
10607,2,14.48,,0.87,0.87,10608,0.48
10607,2,14.48,,14.35,14.35,10608,0.33
10607,2,14.73,,11.35,11.35,10608,0.58
10607,2,14.92,,5.03,5.03,10608,0.7
10607,2,15.0,,8.3,8.3,10608,0.05
10607,2,15.15,,16.37,16.37,10608,0.48
10607,2,15.42,,8.9,10.63,10608,0.72
10607,2,15.57,,1.73,,10608,0.63
10607,2,15.6,,4.72,4.72,10608,0.52
10607,2,15.67,,14.2,14.2,10608,1.15
10607,2,15.9,,9.03,11.1,10608,0.53
10607,2,16.05,,2.07,,10608,0.32
10607,2,16.1,,8.07,14.78,10608,0.62
10607,2,16.23,,6.72,,10608,0.48
10607,2,16.33,,9.98,22.45,10608,0.68
10607,2,16.5,,12.47,,10608,0.42
10607,2,16.72,,0.65,0.65,10608,0.6
10607,2,16.72,,12.23,12.55,10608,0.38
10607,2,16.93,,0.32,,10608,0.42
10607,2,16.93,,11.47,11.47,10608,0.73
10607,2,17.12,,0.95,17.57,10608,0.68
10607,2,17.13,,16.62,,10608,0.53
10607,2,17.42,,9.72,9.72,10608,1.2
10607,2,17.58,,6.63,16.45,10608,0.58
10607,2,17.68,,9.82,,10608,0.45
10607,2,17.85,,13.97,13.97,10608,0.52
10607,2,18.08,,19.47,19.47,10608,0.42
10607,2,18.42,,2.28,19.58,10608,0.32
10607,2,18.45,,16.28,,10608,0.63
10607,2,18.72,,1.02,,10608,0.45
10607,2,18.73,,13.77,13.77,10608,0.73
10607,2,18.97,,3.52,16.53,10608,0.57
10607,2,19.02,,13.02,,10608,0.33
10607,2,19.23,,18.57,18.57,10608,0.63
10607,2,19.55,,1.17,1.17,10608,0.3
