origin,day_of_week,decimal_time,wait|10528,wait|10565,destination,travel_time
10563,2,3.58,,28.23,10565,1.67
10563,2,4.07,,30.32,10565,1.43
10563,2,4.57,,23.32,10565,2.0
10563,2,4.95,,27.62,10565,1.93
10563,2,5.42,,14.68,10565,1.95
10563,2,5.67,,13.4,10565,2.02
10563,2,5.88,,15.73,10565,1.95
10563,2,6.15,,14.3,10565,2.25
10563,2,6.38,,12.22,10565,1.85
10563,2,6.58,,10.05,10565,2.47
10563,2,6.75,,10.85,10565,2.35
10563,2,6.93,,9.23,10565,3.1
10563,2,7.08,,5.77,10565,2.75
10563,2,7.18,,6.05,10565,2.27
10563,2,7.28,,15.12,10565,2.47
10563,2,7.73,,0.77,10565,3.12
10563,2,7.75,,1.0,10565,3.12
10563,2,7.77,,15.43,10565,5.07
10563,2,8.12,,11.28,10565,2.18
10563,2,8.33,,6.33,10565,2.85
10563,2,8.45,,11.43,10565,3.08
10563,2,8.63,,10.52,10565,3.57
10563,2,8.82,,9.07,10565,3.25
10563,2,9.2,,12.8,10565,2.57
10563,2,9.42,,11.43,10565,2.33
10563,2,10.03,,5.28,10565,2.18
10563,2,10.12,,18.12,10565,2.37
10563,2,10.42,,7.07,10565,1.97
10563,2,10.53,,18.05,10565,1.88
10563,2,10.92,,18.53,10565,2.98
10563,2,11.22,,8.57,10565,2.83
10563,2,11.37,,17.6,10565,2.97
10563,2,11.65,,6.27,10565,2.38
10563,2,11.77,,19.82,10565,2.25
10563,2,12.1,,19.13,10565,2.58
10563,2,12.42,,12.2,10565,3.18
10563,2,12.62,,16.37,10565,3.05
10563,2,12.95,,13.87,10565,1.73
10563,2,13.18,,17.13,10565,3.72
10563,2,13.47,,16.22,10565,3.67
10563,2,13.75,,8.43,10565,3.35
10563,2,13.88,,4.37,10565,2.13
10563,2,13.95,,9.2,10565,2.78
10563,2,14.12,,8.93,10565,2.13
10563,2,14.27,,7.85,10565,2.45
10563,2,14.38,,22.2,10565,2.07
10563,2,14.77,,11.48,10565,2.2
10563,2,14.95,,0.68,10565,2.5
