origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10599,2,3.98,29.42,29.42,,10600,0.57
10599,2,4.47,30.83,30.83,30.83,10600,0.27
10599,2,4.98,24.6,24.6,24.6,10600,0.5
10599,2,5.38,22.78,22.78,22.78,10600,0.6
10599,2,5.77,37.47,37.47,37.47,10600,0.33
10599,2,6.4,15.25,15.25,15.25,10600,0.77
10599,2,6.65,16.05,16.05,16.05,10600,0.48
10599,2,6.92,16.4,16.4,16.4,10600,0.63
10599,2,7.18,8.98,8.98,8.98,10600,0.95
10599,2,7.33,9.78,9.78,9.78,10600,0.72
10599,2,7.5,15.13,15.13,15.13,10600,0.58
10599,2,7.75,5.03,5.03,5.03,10600,0.62
10599,2,7.83,5.53,15.18,15.18,10600,0.48
10599,2,7.93,9.65,,,10600,0.5
10599,2,8.08,11.98,27.55,27.55,10600,0.97
10599,2,8.28,0.38,,,10600,0.62
10599,2,8.3,13.8,,,10600,0.42
10599,2,8.53,1.38,,,10600,0.32
10599,2,8.55,5.9,5.9,5.9,10600,0.08
10599,2,8.65,1.72,1.72,1.72,10600,0.62
10599,2,8.68,8.4,17.85,17.85,10600,0.02
10599,2,8.82,9.45,,,10600,0.43
10599,2,8.97,5.45,9.03,9.03,10600,0.68
10599,2,9.07,3.58,,,10600,0.68
10599,2,9.13,12.82,12.82,12.82,10600,0.53
10599,2,9.33,1.35,20.62,20.62,10600,0.62
10599,2,9.37,19.27,,,10600,0.33
10599,2,9.68,1.07,1.07,1.07,10600,0.73
10599,2,9.7,14.97,14.97,14.97,10600,0.9
10599,2,9.95,15.33,15.33,15.33,10600,0.63
10599,2,10.2,9.72,9.72,9.72,10600,0.68
10599,2,10.37,13.38,13.38,13.38,10600,0.57
10599,2,10.58,5.0,5.0,5.0,10600,0.88
10599,2,10.67,17.0,17.0,17.0,10600,0.62
10599,2,10.95,8.52,8.52,8.52,10600,0.63
10599,2,11.1,16.95,16.95,16.95,10600,0.55
10599,2,11.38,5.58,5.58,5.58,10600,0.63
10599,2,11.47,15.77,15.77,15.77,10600,0.83
