origin,day_of_week,decimal_time,wait|10528,wait|10565,destination,travel_time
6524,2,3.43,,30.12,10543,0.3
6524,2,3.93,,27.7,10543,1.0
6524,2,4.4,,23.97,10543,1.45
6524,2,4.8,,26.58,10543,0.9
6524,2,5.25,,14.22,10543,1.45
6524,2,5.48,,15.65,10543,0.78
6524,2,5.75,,11.32,10543,0.97
6524,2,5.93,,14.83,10543,1.43
6524,2,6.18,,12.93,10543,1.48
6524,2,6.4,,10.95,10543,1.22
6524,2,6.58,,8.02,10543,1.07
6524,2,6.72,,9.48,10543,1.13
6524,2,6.87,,6.45,10543,2.05
6524,2,6.97,,4.95,10543,1.57
6524,2,7.05,,14.7,10543,0.82
6524,2,7.3,,13.43,10543,1.22
6524,2,7.53,,0.77,10543,1.35
6524,2,7.53,,1.53,10543,0.9
6524,2,7.57,,14.55,10543,1.27
6524,2,7.8,,1.57,10543,0.33
6524,2,7.83,,3.9,10543,1.28
6524,2,7.9,,9.48,10543,1.18
6524,2,8.05,,0.95,10543,0.82
6524,2,8.07,,8.28,10543,1.3
6524,2,8.22,,6.93,10543,0.88
6524,2,8.33,,12.58,10543,1.65
6524,2,8.53,,8.92,10543,1.15
6524,2,8.68,,8.23,10543,1.25
6524,2,8.82,,8.45,10543,0.65
6524,2,8.97,,12.12,10543,0.78
6524,2,9.17,,13.27,10543,1.28
6524,2,9.38,,24.4,10543,1.23
6524,2,9.8,,5.38,10543,2.0
6524,2,9.88,,19.6,10543,1.28
6524,2,10.2,,5.38,10543,1.32
6524,2,10.3,,19.0,10543,1.1
6524,2,10.62,,6.27,10543,1.42
6524,2,10.72,,15.95,10543,0.92
6524,2,10.98,,9.48,10543,1.85
6524,2,11.15,,16.07,10543,0.82
6524,2,11.42,,7.38,10543,0.73
6524,2,11.53,,16.82,10543,1.55
6524,2,11.82,,22.5,10543,1.55
6524,2,12.18,,10.45,10543,1.43
6524,2,12.37,,16.82,10543,1.17
6524,2,12.65,,7.4,10543,0.78
6524,2,12.77,,10.43,10543,0.25
6524,2,12.93,,17.63,10543,0.95
6524,2,13.23,,18.43,10543,1.68
6524,2,13.55,,6.15,10543,0.9
6524,2,13.65,,5.13,10543,1.2
6524,2,13.73,,8.47,10543,1.48
6524,2,13.87,,10.42,10543,1.8
6524,2,14.05,,5.85,10543,0.93
6524,2,14.15,,20.12,10543,0.88
6524,2,14.48,,1.28,10543,2.23
6524,2,14.5,,12.05,10543,1.12
6524,2,14.7,,0.52,10543,1.92
6524,2,14.7,,9.67,10543,1.7
6524,2,14.87,,12.98,10543,1.12
6524,2,15.08,,4.42,10543,0.98
6524,2,15.17,,10.5,10543,0.78
6524,2,15.33,,2.45,10543,1.28
6524,2,15.38,,18.92,10543,1.62
6524,2,15.68,,4.97,10543,1.22
6524,2,15.77,,15.48,10543,1.22
6524,2,16.03,,6.77,10543,4.2
6524,2,16.15,,10.05,10543,0.78
6524,2,16.32,,6.58,10543,1.43
6524,2,16.42,,15.83,10543,1.5
6524,2,16.68,,1.87,10543,1.37
6524,2,16.72,,13.08,10543,1.02
6524,2,16.93,,10.53,10543,1.08
6524,2,17.12,,24.32,10543,1.72
6524,2,17.52,,0.15,10543,1.67
6524,2,17.52,,8.15,10543,1.33
6524,2,17.65,,14.57,10543,1.75
6524,2,17.9,,7.53,10543,0.15
6524,2,18.02,,14.53,10543,1.17
6524,2,18.27,,9.02,10543,1.27
6524,2,18.42,,8.98,10543,1.1
6524,2,18.57,,15.05,10543,1.38
6524,2,18.82,,14.73,10543,1.4
6524,2,19.07,,8.3,10543,1.08
6524,2,19.2,,9.7,10543,1.23
6524,2,19.37,,12.9,10543,0.97
6524,2,19.58,,28.12,10543,0.62
6524,2,20.05,,17.5,10543,0.97
6524,2,20.33,,17.97,10543,1.0
6524,2,20.63,,34.5,10543,1.35
6524,2,21.22,,13.55,10543,0.9
6524,2,21.43,,39.67,10543,0.93
6524,2,22.1,,17.38,10543,1.0
6524,2,22.38,,40.3,10543,1.08
6524,2,23.07,,16.37,10543,1.02
6524,2,23.33,,26.63,10543,1.22
6524,2,23.78,,26.95,10543,0.57
6524,2,0.22,,27.03,10543,0.63
6524,2,0.67,,21.6,10543,0.65
6524,2,1.03,,22.02,10543,1.08
6524,2,1.4,,37.97,10543,1.62
6524,2,2.03,,25.58,10543,1.13
6524,2,2.47,,41.77,10543,1.13
6524,2,3.15,,,10543,0.82
6524,3,3.45,,27.87,10543,0.77
6524,3,3.92,,29.05,10543,0.83
6524,3,4.4,,27.33,10543,0.97
6524,3,4.87,,19.08,10543,1.35
6524,3,5.18,,18.48,10543,1.52
6524,3,5.48,,15.12,10543,1.22
6524,3,5.73,,11.87,10543,1.13
6524,3,5.93,,14.4,10543,1.17
6524,3,6.17,,11.25,10543,1.55
6524,3,6.37,,9.78,10543,1.38
6524,3,6.52,,9.35,10543,1.63
6524,3,6.68,,11.75,10543,1.2
6524,3,6.88,,8.9,10543,1.27
6524,3,7.02,,11.15,10543,1.37
6524,3,7.22,,1.9,10543,0.82
6524,3,7.25,,10.8,10543,1.65
6524,3,7.42,,9.02,10543,1.47
6524,3,7.57,,12.9,10543,1.98
6524,3,7.78,,3.33,10543,0.47
6524,3,7.85,,5.1,10543,4.08
6524,3,7.93,,10.8,10543,1.18
6524,3,8.1,,10.3,10543,0.92
6524,3,8.28,,0.77,10543,1.23
6524,3,8.3,,20.45,10543,0.88
6524,3,8.63,,7.5,10543,1.32
6524,3,8.77,,13.43,10543,0.93
6524,3,8.98,,11.98,10543,1.42
6524,3,9.18,,7.88,10543,1.38
6524,3,9.32,,16.63,10543,1.68
6524,3,9.58,,5.98,10543,1.58
6524,3,9.68,,11.15,10543,1.17
6524,3,9.88,,18.43,10543,1.8
6524,3,10.18,,10.27,10543,1.35
6524,3,10.35,,15.42,10543,1.27
6524,3,10.62,,9.1,10543,1.23
6524,3,10.77,,13.45,10543,1.37
6524,3,10.98,,10.78,10543,0.93
6524,3,11.17,,12.98,10543,1.08
6524,3,11.38,,11.95,10543,1.82
6524,3,11.58,,25.4,10543,1.22
6524,3,12.0,,9.35,10543,0.97
6524,3,12.17,,10.18,10543,1.23
6524,3,12.33,,17.83,10543,1.22
6524,3,12.63,,7.5,10543,1.23
6524,3,12.75,,9.18,10543,1.62
6524,3,12.9,,18.25,10543,1.55
6524,3,13.22,,12.08,10543,1.3
6524,3,13.42,,10.02,10543,1.48
6524,3,13.58,,16.88,10543,1.12
6524,3,13.87,,10.45,10543,1.2
6524,3,14.03,,8.87,10543,1.28
6524,3,14.18,,17.3,10543,1.63
6524,3,14.47,,1.13,10543,1.58
6524,3,14.48,,7.17,10543,0.83
6524,3,14.62,,5.95,10543,0.95
6524,3,14.72,,8.4,10543,1.0
6524,3,14.85,,9.88,10543,1.92
6524,3,15.02,,6.82,10543,1.33
6524,3,15.13,,9.7,10543,1.5
6524,3,15.28,,25.27,10543,1.23
6524,3,15.72,,3.33,10543,0.63
6524,3,15.77,,24.62,10543,0.18
6524,3,16.18,,1.13,10543,1.37
6524,3,16.2,,14.42,10543,0.98
6524,3,16.43,,0.45,10543,1.3
6524,3,16.45,,11.52,10543,1.18
6524,3,16.63,,7.48,10543,1.28
6524,3,16.77,,13.35,10543,1.47
6524,3,16.98,,1.55,10543,1.33
6524,3,17.0,,23.13,10543,1.18
6524,3,17.4,,6.73,10543,0.77
6524,3,17.5,,11.53,10543,1.28
6524,3,17.7,,11.08,10543,1.77
6524,3,17.88,,11.97,10543,1.3
6524,3,18.08,,16.9,10543,0.2
6524,3,18.37,,17.58,10543,1.43
6524,3,18.65,,4.15,10543,1.6
6524,3,18.73,,10.67,10543,1.13
6524,3,18.9,,13.73,10543,1.0
6524,3,19.13,,47.43,10543,1.45
6524,3,19.92,,7.08,10543,0.77
6524,3,20.03,,19.22,10543,0.98
6524,3,20.37,,19.47,10543,1.23
6524,3,20.68,,47.42,10543,1.1
6524,3,21.48,,36.78,10543,0.52
6524,3,22.08,,22.15,10543,0.88
6524,3,22.45,,56.12,10543,0.97
6524,3,23.4,,21.13,10543,0.78
6524,3,23.75,,27.83,10543,0.95
6524,3,0.22,,32.15,10543,0.85
6524,3,0.75,,13.78,10543,0.85
6524,3,0.97,,29.92,10543,0.7
6524,3,1.47,,24.62,10543,0.72
6524,3,1.88,,33.32,10543,1.08
6524,3,2.43,,30.67,10543,0.8
6524,3,2.95,,,10543,1.13
6524,4,3.42,,29.53,10543,0.53
6524,4,3.92,,33.43,10543,0.82
