origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10627,2,4.68,,,35.43,10628,0.37
10627,2,5.27,,,24.6,10628,0.48
10627,2,5.68,,,20.55,10628,0.57
10627,2,6.02,,,40.98,10628,0.65
10627,2,6.7,,,14.38,10628,0.75
10627,2,6.95,,,18.48,10628,0.78
10627,2,7.25,,,20.25,10628,0.78
10627,2,7.58,,,9.0,10628,0.72
10627,2,7.73,,,9.65,10628,0.7
10627,2,7.9,,,20.08,10628,0.72
10627,2,8.23,,,1.72,10628,0.92
10627,2,8.27,,,12.63,10628,0.75
10627,2,8.47,,,12.52,10628,0.68
10627,2,8.68,,,7.03,10628,0.0
10627,2,8.8,,,9.48,10628,0.77
10627,2,8.95,,,22.5,10628,0.9
10627,2,9.33,,,3.7,10628,0.58
10627,2,9.4,,,12.93,10628,0.4
10627,2,9.62,,,24.07,10628,0.48
10627,2,10.02,,,1.93,10628,0.52
10627,2,10.05,,,10.02,10628,0.48
10627,2,10.22,,,19.73,10628,0.42
10627,2,10.53,,,4.93,10628,0.95
10627,2,10.62,,,14.82,10628,0.35
10627,2,10.87,,,5.38,10628,0.62
10627,2,10.95,,,18.55,10628,0.38
10627,2,11.27,,,7.82,10628,0.68
10627,2,11.4,,,14.9,10628,0.73
10627,2,11.65,,,7.23,10628,0.97
10627,2,11.77,,,21.83,10628,0.7
10627,2,12.13,,,6.5,10628,1.15
10627,2,12.23,,,18.43,10628,0.58
10627,2,12.55,,,2.92,10628,0.57
10627,2,12.6,,,18.47,10628,0.47
10627,2,12.9,,,7.88,10628,0.78
10627,2,13.03,,,9.0,10628,0.63
10627,2,13.18,,,24.63,10628,0.52
10627,2,13.6,,,3.07,10628,0.98
10627,2,13.65,,,12.18,10628,0.58
10627,2,13.85,,,12.97,10628,0.7
10627,2,14.07,,,25.78,10628,0.72
10627,2,14.5,,,16.55,10628,0.75
10627,2,14.77,,,3.32,10628,0.47
10627,2,14.83,,,7.63,10628,0.48
10627,2,14.95,,,3.8,10628,0.68
10627,2,15.02,,,8.65,10628,0.03
10627,2,15.17,,,16.58,10628,0.55
10627,2,15.43,,,18.15,10628,0.7
10627,2,15.73,,,7.1,10628,0.73
10627,2,15.85,,,6.07,10628,0.52
10627,2,15.97,,,12.07,10628,0.55
10627,2,16.17,,,9.95,10628,0.45
10627,2,16.33,,,16.25,10628,0.48
10627,2,16.6,,,20.27,10628,0.77
10627,2,16.93,,,0.23,10628,0.83
10627,2,16.93,,,16.08,10628,0.6
10627,2,17.2,,,10.37,10628,0.63
10627,2,17.38,,,20.03,10628,0.55
10627,2,17.72,,,6.43,10628,0.88
10627,2,17.82,,,15.33,10628,0.6
10627,2,18.08,,,12.95,10628,0.57
10627,2,18.28,,,20.05,10628,0.35
10627,2,18.63,,,19.75,10628,0.78
10627,2,18.95,,,11.78,10628,0.68
10627,2,19.15,,,20.3,10628,0.53
10627,2,19.48,,,16.53,10628,0.7
10627,2,19.77,,,1.4,10628,0.4
10627,2,19.78,,,10.33,10628,0.52
10627,2,19.97,,,16.2,10628,0.35
10627,2,20.23,,,11.73,10628,0.7
10627,2,20.43,,,8.2,10628,0.48
10627,2,20.57,,,28.6,10628,0.6
10627,2,21.03,,,21.78,10628,0.33
10627,2,21.4,,,11.47,10628,0.7
10627,2,21.6,,,38.23,10628,0.45
10627,2,22.23,,,5.25,10628,0.48
10627,2,22.32,,,58.42,10628,0.38
10627,2,23.3,,,2.75,10628,0.43
10627,2,23.33,,,37.45,10628,0.45
10627,2,23.97,,,16.02,10628,0.32
10627,2,0.23,,,20.02,10628,0.4
10627,2,0.57,,,35.1,10628,0.65
10627,2,1.15,,,28.73,10628,0.53
10627,2,1.63,,,13.03,10628,0.57
10627,2,1.85,,,,10628,0.4
10627,3,4.72,,,32.92,10628,0.42
10627,3,5.25,,,25.05,10628,0.62
10627,3,5.67,,,40.75,10628,0.78
10627,3,6.35,,,18.47,10628,0.35
10627,3,6.67,,,23.33,10628,0.82
10627,3,7.05,,,9.53,10628,0.98
10627,3,7.22,,,18.28,10628,0.82
10627,3,7.52,,,12.75,10628,0.9
10627,3,7.73,,,18.47,10628,0.92
10627,3,8.03,,,3.45,10628,0.72
10627,3,8.1,,,11.0,10628,0.83
10627,3,8.28,,,9.3,10628,0.73
10627,3,8.43,,,7.42,10628,0.82
10627,3,8.55,,,7.4,10628,0.57
10627,3,8.68,,,21.87,10628,0.7
10627,3,9.05,,,13.18,10628,0.57
10627,3,9.27,,,14.13,10628,0.53
10627,3,9.5,,,27.57,10628,0.68
10627,3,9.95,,,3.57,10628,0.47
10627,3,10.02,,,9.75,10628,0.57
10627,3,10.18,,,17.97,10628,0.5
10627,3,10.48,,,13.87,10628,0.58
10627,3,10.72,,,14.88,10628,0.4
10627,3,10.95,,,0.65,10628,0.57
10627,3,10.97,,,16.23,10628,0.08
10627,3,11.23,,,10.2,10628,0.48
10627,3,11.42,,,14.93,10628,0.37
10627,3,11.65,,,7.6,10628,0.37
10627,3,11.78,,,15.28,10628,0.6
10627,3,12.03,,,12.78,10628,1.17
10627,3,12.25,,,12.55,10628,0.52
10627,3,12.47,,,14.2,10628,0.62
10627,3,12.7,,,7.45,10628,0.65
10627,3,12.82,,,17.92,10628,0.35
10627,3,13.12,,,7.25,10628,0.8
10627,3,13.23,,,21.88,10628,0.52
10627,3,13.6,,,1.05,10628,0.75
10627,3,13.62,,,12.02,10628,0.48
10627,3,13.82,,,12.6,10628,0.45
10627,3,14.03,,,17.18,10628,0.85
10627,3,14.32,,,11.38,10628,0.63
10627,3,14.52,,,18.87,10628,0.77
10627,3,14.82,,,2.77,10628,0.55
10627,3,14.87,,,6.88,10628,0.62
10627,3,14.98,,,15.0,10628,0.72
10627,3,15.23,,,21.97,10628,0.85
10627,3,15.6,,,9.58,10628,1.22
10627,3,15.77,,,1.6,10628,0.88
10627,3,15.78,,,13.3,10628,0.6
10627,3,16.02,,,7.1,10628,0.9
10627,3,16.13,,,10.0,10628,0.65
10627,3,16.3,,,23.45,10628,0.67
10627,3,16.68,,,8.02,10628,0.73
10627,3,16.82,,,9.13,10628,0.65
10627,3,16.97,,,19.17,10628,0.45
10627,3,17.28,,,4.78,10628,0.6
10627,3,17.37,,,16.88,10628,0.63
10627,3,17.65,,,9.95,10628,0.6
10627,3,17.82,,,22.35,10628,0.53
10627,3,18.18,,,0.1,10628,0.52
10627,3,18.18,,,32.78,10628,0.33
10627,3,18.73,,,13.18,10628,0.68
10627,3,18.95,,,11.05,10628,0.4
10627,3,19.15,,,22.4,10628,0.95
10627,3,19.52,,,14.78,10628,0.48
10627,3,19.77,,,1.8,10628,0.52
10627,3,19.78,,,13.45,10628,0.33
10627,3,20.02,,,8.57,10628,0.43
10627,3,20.17,,,37.97,10628,0.48
10627,3,20.78,,,16.77,10628,0.47
10627,3,21.07,,,13.22,10628,0.4
10627,3,21.28,,,18.12,10628,0.42
10627,3,21.6,,,49.85,10628,0.37
10627,3,22.42,,,36.82,10628,0.45
10627,3,23.03,,,15.22,10628,0.35
10627,3,23.28,,,84.77,10628,0.73
10627,3,0.7,,,20.17,10628,0.58
10627,3,1.03,,,41.15,10628,0.28
10627,3,1.73,,,0.72,10628,0.8
10627,3,1.73,,,,10628,0.48
10627,4,4.7,,,38.78,10628,0.43
10627,4,5.35,,,19.73,10628,0.58
10627,4,5.68,,,21.5,10628,0.37
10627,4,6.03,,,21.78,10628,0.7
10627,4,6.4,,,20.25,10628,0.58
10627,4,6.73,,,16.25,10628,0.65
10627,4,7.0,,,14.7,10628,0.48
10627,4,7.25,,,26.08,10628,1.02
10627,4,7.68,,,0.05,10628,0.78
10627,4,7.68,,,18.32,10628,0.75
10627,4,8.0,,,5.47,10628,0.47
10627,4,8.08,,,10.68,10628,0.72
10627,4,8.27,,,15.0,10628,0.77
10627,4,8.52,,,7.03,10628,0.6
10627,4,8.63,,,12.75,10628,0.43
10627,4,8.83,,,1.95,10628,0.65
10627,4,8.87,,,21.43,10628,0.53
10627,4,9.23,,,15.15,10628,0.88
10627,4,9.48,,,14.58,10628,0.63
10627,4,9.73,,,16.45,10628,0.73
10627,4,10.0,,,0.37,10628,0.7
10627,4,10.0,,,22.3,10628,0.45
10627,4,10.38,,,4.7,10628,1.13
10627,4,10.45,,,13.65,10628,0.75
