origin,day_of_week,decimal_time,wait|10603,wait|10622,wait|14122,destination,travel_time
10619,2,4.13,,27.82,,10621,1.13
10619,2,4.6,,9.28,35.32,10621,1.55
10619,2,5.18,,7.1,23.93,10621,1.67
10619,2,5.58,,9.03,20.45,10621,1.6
10619,2,5.93,,27.03,40.43,10621,1.25
10619,2,6.38,,13.4,,10621,0.6
10619,2,6.6,,4.03,15.3,10621,1.73
10619,2,6.87,,2.73,17.0,10621,1.27
10619,2,6.9,,14.27,,10621,0.87
10619,2,7.15,,3.87,20.07,10621,2.02
10619,2,7.2,,9.22,,10621,1.27
10619,2,7.37,,6.98,,10621,1.37
10619,2,7.48,,7.83,7.83,10621,1.62
10619,2,7.6,,10.08,10.08,10621,2.28
10619,2,7.78,,13.45,13.45,10621,2.33
10619,2,8.0,,4.15,4.15,10621,6.07
10619,2,8.07,,16.58,16.58,10621,4.95
10619,2,8.35,,20.1,20.1,10621,1.45
10619,2,8.68,,2.62,2.62,10621,0.03
10619,2,8.72,,8.3,8.3,10621,1.12
10619,2,8.87,,22.87,22.87,10621,1.57
10619,2,9.25,,4.53,4.53,10621,1.47
10619,2,9.32,,14.2,14.2,10621,0.93
10619,2,9.55,,22.85,22.85,10621,0.85
10619,2,9.93,,0.52,0.52,10621,1.12
10619,2,9.95,,11.33,11.33,10621,1.38
10619,2,10.13,,17.95,17.95,10621,0.9
10619,2,10.43,,7.12,7.12,10621,1.6
10619,2,10.55,,14.43,14.43,10621,1.1
10619,2,10.8,,5.15,5.15,10621,1.25
10619,2,10.88,,17.9,17.9,10621,1.8
10619,2,11.18,,8.2,8.2,10621,1.38
10619,2,11.32,,15.32,15.32,10621,1.72
10619,2,11.57,,6.2,6.2,10621,0.93
10619,2,11.67,,21.08,21.08,10621,1.22
10619,2,12.02,,8.03,8.03,10621,2.0
10619,2,12.15,,18.88,18.88,10621,1.88
10619,2,12.47,,2.52,2.52,10621,1.35
10619,2,12.52,,17.52,17.52,10621,1.38
10619,2,12.8,,8.22,8.22,10621,1.63
10619,2,12.95,,9.77,9.77,10621,1.5
10619,2,13.1,,23.07,23.07,10621,1.83
10619,2,13.48,,4.23,4.23,10621,1.27
10619,2,13.57,,12.68,12.68,10621,1.22
10619,2,13.77,,12.32,12.32,10621,1.15
10619,2,13.98,,25.63,25.63,10621,1.5
10619,2,14.4,,14.1,14.1,10621,1.68
10619,2,14.63,,1.33,1.33,10621,1.58
10619,2,14.67,,11.5,11.5,10621,2.32
10619,2,14.85,,9.43,9.43,10621,1.62
10619,2,15.02,,3.37,3.37,10621,0.07
10619,2,15.07,,13.08,13.08,10621,1.22
10619,2,15.28,,16.52,16.52,10621,1.23
10619,2,15.57,,10.05,11.03,10621,2.45
10619,2,15.73,,0.98,,10621,1.15
10619,2,15.75,,7.95,7.95,10621,1.2
10619,2,15.88,,10.83,10.83,10621,1.2
10619,2,16.05,,8.85,11.0,10621,1.43
10619,2,16.2,,2.15,,10621,1.73
10619,2,16.23,,7.55,16.05,10621,1.42
10619,2,16.37,,8.5,,10621,1.08
10619,2,16.5,,7.88,19.93,10621,1.6
10619,2,16.63,,12.05,,10621,1.02
10619,2,16.83,,0.27,0.27,10621,1.63
10619,2,16.85,,14.83,15.32,10621,1.48
10619,2,17.1,,0.48,,10621,1.75
10619,2,17.1,,11.18,11.18,10621,1.78
10619,2,17.28,,1.52,18.35,10621,1.33
10619,2,17.6,,7.07,7.07,10621,2.0
10619,2,17.72,,5.73,15.83,10621,1.47
10619,2,17.8,,10.1,,10621,1.08
10619,2,17.97,,14.05,14.05,10621,1.23
10619,2,18.2,,19.68,19.68,10621,1.17
10619,2,18.53,,1.77,20.18,10621,1.6
10619,2,18.57,,16.75,,10621,1.68
10619,2,18.85,,1.67,,10621,1.28
10619,2,18.87,,12.05,12.05,10621,1.22
10619,2,19.07,,5.93,18.93,10621,1.45
10619,2,19.38,,18.5,18.5,10621,1.57
10619,2,19.7,,0.7,0.7,10621,1.05
10619,2,19.72,,10.63,10.63,10621,1.32
10619,2,19.88,,15.33,15.33,10621,0.87
10619,2,20.15,,12.47,12.47,10621,1.7
10619,2,20.35,,8.57,8.57,10621,1.28
10619,2,20.5,,28.43,28.43,10621,1.3
10619,2,20.97,,19.48,19.48,10621,1.25
10619,2,21.28,,13.27,13.27,10621,1.58
10619,2,21.52,,39.53,39.53,10621,1.37
10619,2,22.17,,5.55,5.55,10621,0.78
10619,2,22.27,,58.55,58.55,10621,0.98
10619,2,23.23,,2.38,2.38,10621,1.05
10619,2,23.28,,37.33,37.33,10621,1.1
10619,2,23.9,,16.22,16.22,10621,1.45
