origin,day_of_week,decimal_time,wait|14182,destination,travel_time
18431,2,6.47,14.95,14584,2.0
18431,2,6.72,6.87,14584,2.13
18431,2,6.82,11.72,14584,2.12
18431,2,7.02,10.02,14584,2.13
18431,2,7.18,6.43,14584,2.22
18431,2,7.3,7.88,14584,2.25
18431,2,7.42,3.75,14584,2.68
18431,2,7.48,5.02,14584,2.7
18431,2,7.57,5.02,14584,2.23
18431,2,7.65,0.17,14584,2.23
18431,2,7.65,14.2,14584,2.12
18431,2,7.9,2.05,14584,2.43
18431,2,7.93,15.82,14584,2.32
18431,2,8.18,2.97,14584,1.93
18431,2,8.23,12.3,14584,2.62
18431,2,8.45,1.5,14584,3.08
18431,2,8.47,7.25,14584,2.08
18431,2,8.58,1.52,14584,2.5
18431,2,8.62,0.33,14584,2.47
18431,2,8.62,8.68,14584,2.37
18431,2,8.77,0.07,14584,2.38
18431,2,8.77,20.03,14584,2.02
18431,2,9.1,8.12,14584,2.22
18431,2,9.23,6.98,14584,2.62
18431,2,9.35,17.98,14584,2.2
18431,2,9.65,4.9,14584,2.62
18431,2,9.73,6.3,14584,2.33
18431,2,9.83,13.98,14584,2.18
18431,2,10.07,339.78,14584,2.23
18431,2,15.73,5.25,14584,2.58
18431,2,15.82,7.92,14584,2.3
18431,2,15.95,8.68,14584,2.97
18431,2,16.1,8.28,14584,2.13
18431,2,16.23,6.55,14584,2.57
18431,2,16.35,20.03,14584,2.92
18431,2,16.68,6.7,14584,2.52
18431,2,16.8,16.55,14584,2.45
18431,2,17.07,1.97,14584,2.75
18431,2,17.1,8.25,14584,2.25
18431,2,17.23,24.88,14584,2.28
18431,2,17.65,0.28,14584,2.57
18431,2,17.65,14.55,14584,2.1
18431,2,17.9,0.13,14584,2.53
18431,2,17.9,9.82,14584,2.48
18431,2,18.07,17.32,14584,2.5
18431,2,18.35,4.27,14584,3.23
18431,2,18.43,8.48,14584,1.58
18431,2,18.57,3.43,14584,2.3
18431,2,18.62,6.12,14584,2.4
18431,2,18.73,,14584,1.47
