origin,day_of_week,decimal_time,wait|8307,destination,travel_time
16085,2,6.87,18.03,8271,2.5
16085,2,7.17,4.8,8271,3.42
16085,2,7.25,20.17,8271,2.12
16085,2,7.58,0.2,8271,3.35
16085,2,7.58,18.77,8271,0.6
16085,2,7.9,3.28,8271,2.62
16085,2,7.95,0.13,8271,1.47
16085,2,7.95,12.5,8271,2.93
16085,2,8.17,5.75,8271,1.62
16085,2,8.25,31.12,8271,2.78
16085,2,8.78,0.58,8271,2.1
16085,2,8.78,1.57,8271,2.87
16085,2,8.82,3.47,8271,2.47
16085,2,8.87,5.83,8271,3.02
16085,2,8.97,5.28,8271,1.95
16085,2,9.05,0.15,8271,2.93
16085,2,9.05,8.8,8271,3.33
16085,2,9.2,1.27,8271,2.82
16085,2,9.23,8.38,8271,3.2
16085,2,9.37,6.85,8271,2.63
16085,2,9.48,0.05,8271,3.35
16085,2,9.48,0.05,8271,3.3
16085,2,9.48,12.75,8271,3.17
16085,2,9.7,1.63,8271,2.75
16085,2,9.72,0.33,8271,2.9
16085,2,9.73,14.7,8271,2.83
16085,2,9.97,331.08,8271,3.03
16085,2,15.48,15.97,8271,3.45
16085,2,15.75,0.0,8271,2.0
16085,2,15.75,18.72,8271,3.03
16085,2,16.07,11.27,8271,3.33
16085,2,16.25,3.92,8271,3.93
16085,2,16.32,5.92,8271,4.2
16085,2,16.42,11.97,8271,4.15
16085,2,16.62,0.22,8271,3.88
16085,2,16.62,7.6,8271,4.58
16085,2,16.75,1.32,8271,4.33
16085,2,16.77,10.88,8271,3.48
16085,2,16.95,1.8,8271,4.97
16085,2,16.98,7.15,8271,4.53
16085,2,17.1,9.62,8271,5.3
16085,2,17.27,3.78,8271,4.67
16085,2,17.33,12.53,8271,0.85
16085,2,17.53,0.4,8271,3.4
16085,2,17.53,15.92,8271,4.18
16085,2,17.8,4.05,8271,3.35
16085,2,17.87,6.57,8271,4.7
16085,2,17.98,15.32,8271,4.02
16085,2,18.23,20.37,8271,2.93
16085,2,18.58,,8271,2.65
16085,3,6.9,6.67,8271,1.35
16085,3,7.0,9.9,8271,2.43
16085,3,7.17,9.68,8271,3.03
16085,3,7.33,14.58,8271,2.25
16085,3,7.58,19.8,8271,2.72
16085,3,7.9,12.48,8271,2.95
16085,3,8.12,2.08,8271,3.2
16085,3,8.15,14.72,8271,3.13
16085,3,8.4,7.8,8271,3.62
16085,3,8.53,10.92,8271,2.58
16085,3,8.7,1.12,8271,2.83
16085,3,8.73,0.37,8271,1.7
16085,3,8.73,2.12,8271,2.82
16085,3,8.77,12.53,8271,2.52
16085,3,8.98,5.67,8271,1.72
16085,3,9.07,3.77,8271,3.22
16085,3,9.13,12.55,8271,2.65
16085,3,9.35,0.05,8271,3.7
16085,3,9.35,1.52,8271,2.8
16085,3,9.37,2.37,8271,1.75
16085,3,9.4,3.1,8271,2.72
16085,3,9.47,18.85,8271,3.28
16085,3,9.77,0.58,8271,2.75
16085,3,9.78,27.1,8271,2.35
16085,3,10.23,315.82,8271,5.15
16085,3,15.5,15.02,8271,4.1
16085,3,15.75,1.48,8271,4.57
16085,3,15.77,16.55,8271,3.78
16085,3,16.05,5.7,8271,5.27
16085,3,16.15,1.3,8271,3.05
16085,3,16.17,11.88,8271,13.7
16085,3,16.37,5.9,8271,4.73
16085,3,16.47,17.55,8271,4.47
16085,3,16.75,0.28,8271,4.92
16085,3,16.77,3.65,8271,4.67
16085,3,16.82,11.05,8271,2.95
16085,3,17.0,2.28,8271,4.28
16085,3,17.05,6.27,8271,5.55
16085,3,17.15,2.13,8271,5.12
16085,3,17.18,25.97,8271,3.35
16085,3,17.62,6.85,8271,4.37
16085,3,17.73,10.37,8271,5.38
16085,3,17.9,21.53,8271,4.2
16085,3,18.27,1.67,8271,2.87
16085,3,18.28,6.3,8271,4.13
16085,3,18.4,15.02,8271,3.57
16085,3,18.65,,8271,3.67
16085,4,6.88,3.52,8271,2.92
16085,4,6.95,19.53,8271,2.88
16085,4,7.27,3.83,8271,1.83
16085,4,7.33,16.53,8271,1.42
16085,4,7.62,11.0,8271,1.38
16085,4,7.8,8.87,8271,2.0
16085,4,7.95,16.78,8271,1.55
16085,4,8.23,3.95,8271,1.78
16085,4,8.28,1.72,8271,2.78
16085,4,8.32,11.17,8271,2.67
16085,4,8.5,10.53,8271,3.07
16085,4,8.68,0.15,8271,2.08
16085,4,8.68,6.07,8271,1.78
16085,4,8.78,15.73,8271,3.08
16085,4,9.05,0.5,8271,1.25
16085,4,9.05,1.55,8271,2.9
16085,4,9.08,4.7,8271,3.43
16085,4,9.17,9.58,8271,2.13
16085,4,9.32,2.67,8271,3.48
16085,4,9.37,1.6,8271,2.78
16085,4,9.38,0.38,8271,2.82
16085,4,9.4,10.78,8271,2.73
16085,4,9.58,6.9,8271,3.52
16085,4,9.68,4.23,8271,3.15
16085,4,9.77,12.3,8271,2.38
16085,4,9.97,338.92,8271,1.42
16085,4,15.62,1.77,8271,4.53
16085,4,15.65,12.67,8271,4.72
16085,4,15.85,10.8,8271,4.9
16085,4,16.03,12.73,8271,5.0
16085,4,16.25,15.53,8271,3.28
16085,4,16.5,0.87,8271,4.57
16085,4,16.52,4.75,8271,3.45
16085,4,16.6,15.6,8271,6.07
16085,4,16.87,0.3,8271,5.47
16085,4,16.87,6.22,8271,5.32
16085,4,16.97,4.37,8271,3.7
16085,4,17.05,1.58,8271,4.73
16085,4,17.07,10.7,8271,3.68
16085,4,17.25,2.73,8271,4.27
16085,4,17.3,5.82,8271,4.82
16085,4,17.38,14.7,8271,4.85
16085,4,17.63,3.27,8271,4.25
16085,4,17.68,7.45,8271,4.82
16085,4,17.82,5.97,8271,4.63
16085,4,17.92,12.57,8271,4.58
16085,4,18.12,18.18,8271,4.88
16085,4,18.43,0.08,8271,4.77
16085,4,18.43,14.7,8271,4.78
16085,4,18.67,1.47,8271,4.8
16085,4,18.7,,8271,5.13
16085,0,6.82,12.03,8271,3.3
16085,0,7.02,15.55,8271,2.57
16085,0,7.27,9.65,8271,2.92
16085,0,7.43,14.23,8271,2.47
16085,0,7.67,3.63,8271,2.88
16085,0,7.73,9.12,8271,2.8
16085,0,7.88,14.7,8271,3.05
16085,0,8.13,5.8,8271,2.88
16085,0,8.23,3.93,8271,3.47
16085,0,8.3,10.43,8271,2.38
16085,0,8.47,10.12,8271,1.47
16085,0,8.63,0.35,8271,1.97
16085,0,8.63,11.33,8271,1.7
16085,0,8.83,5.68,8271,2.97
16085,0,8.92,5.22,8271,2.98
16085,0,9.02,0.15,8271,3.52
16085,0,9.02,5.68,8271,3.68
16085,0,9.1,12.55,8271,3.5
16085,0,9.32,2.22,8271,2.9
16085,0,9.35,3.3,8271,1.07
16085,0,9.42,11.02,8271,2.92
16085,0,9.6,0.1,8271,2.95
16085,0,9.6,9.6,8271,3.0
16085,0,9.75,6.9,8271,3.23
16085,0,9.87,338.4,8271,2.88
16085,0,15.52,9.27,8271,3.57
16085,0,15.67,1.73,8271,4.77
16085,0,15.7,12.9,8271,4.78
16085,0,15.9,11.52,8271,3.6
16085,0,16.1,21.0,8271,4.4
16085,0,16.45,0.7,8271,5.15
16085,0,16.47,1.43,8271,4.87
16085,0,16.48,18.93,8271,4.22
16085,0,16.8,1.17,8271,4.45
16085,0,16.82,0.35,8271,3.58
16085,0,16.83,7.57,8271,3.6
16085,0,16.95,4.02,8271,4.62
16085,0,17.02,1.58,8271,4.1
16085,0,17.05,7.07,8271,4.12
16085,0,17.17,11.48,8271,4.77
16085,0,17.35,4.77,8271,2.55
16085,0,17.43,23.57,8271,3.23
16085,0,17.83,9.58,8271,0.37
16085,0,17.98,11.22,8271,3.23
