origin,day_of_week,decimal_time,wait|8307,destination,travel_time
8239,2,6.62,18.08,14769,0.73
8239,2,6.92,4.6,14769,0.97
8239,2,6.98,15.08,14769,0.55
8239,2,7.23,5.58,14769,0.4
8239,2,7.33,17.37,14769,1.17
8239,2,7.62,5.83,14769,0.85
8239,2,7.72,0.18,14769,0.62
8239,2,7.72,10.85,14769,0.67
8239,2,7.9,6.55,14769,0.8
8239,2,8.02,32.45,14769,0.58
8239,2,8.55,0.62,14769,0.32
8239,2,8.57,1.58,14769,0.6
8239,2,8.58,3.9,14769,0.83
8239,2,8.65,8.13,14769,0.65
8239,2,8.78,2.1,14769,0.32
8239,2,8.82,0.62,14769,0.83
8239,2,8.83,6.55,14769,0.57
8239,2,8.95,3.27,14769,0.9
8239,2,9.0,6.9,14769,0.95
8239,2,9.12,6.97,14769,0.83
8239,2,9.23,0.03,14769,0.83
8239,2,9.23,1.92,14769,0.75
8239,2,9.27,11.7,14769,0.52
8239,2,9.45,1.22,14769,1.12
8239,2,9.48,0.9,14769,0.33
8239,2,9.5,11.02,14769,0.35
8239,2,9.68,327.02,14769,0.97
8239,2,15.13,15.67,14769,1.0
8239,2,15.38,1.98,14769,0.97
8239,2,15.42,14.27,14769,0.55
8239,2,15.65,12.52,14769,0.75
8239,2,15.87,5.02,14769,0.93
8239,2,15.95,2.65,14769,0.83
8239,2,16.0,11.18,14769,2.22
8239,2,16.18,2.38,14769,0.9
8239,2,16.22,7.72,14769,0.57
8239,2,16.35,0.85,14769,1.03
8239,2,16.37,8.52,14769,0.92
8239,2,16.5,4.47,14769,0.65
8239,2,16.58,5.68,14769,0.8
8239,2,16.67,9.32,14769,0.52
8239,2,16.83,3.02,14769,1.02
8239,2,16.88,12.3,14769,0.72
8239,2,17.08,3.52,14769,1.37
8239,2,17.15,12.42,14769,0.77
8239,2,17.35,10.2,14769,0.8
8239,2,17.52,7.02,14769,0.7
8239,2,17.63,15.25,14769,0.72
8239,2,17.9,1.27,14769,1.13
8239,2,18.28,,14769,0.8
8239,3,6.77,0.95,14769,0.95
8239,3,6.77,9.12,14769,0.22
8239,3,6.93,10.68,14769,0.7
8239,3,7.1,14.33,14769,1.37
8239,3,7.35,17.38,14769,0.93
8239,3,7.63,15.67,14769,0.72
8239,3,7.9,0.43,14769,0.62
8239,3,7.9,14.15,14769,0.7
8239,3,8.13,7.05,14769,0.63
8239,3,8.25,13.93,14769,0.5
8239,3,8.48,0.12,14769,0.58
8239,3,8.48,1.68,14769,0.38
8239,3,8.52,1.2,14769,0.42
8239,3,8.53,9.35,14769,0.42
8239,3,8.7,7.35,14769,1.0
8239,3,8.82,4.68,14769,0.65
8239,3,8.9,7.87,14769,0.45
8239,3,9.02,2.0,14769,1.07
8239,3,9.05,3.97,14769,0.38
8239,3,9.12,2.07,14769,0.57
8239,3,9.17,6.37,14769,0.62
8239,3,9.27,11.17,14769,0.58
8239,3,9.45,3.28,14769,2.23
8239,3,9.5,2.57,14769,0.57
8239,3,9.55,20.15,14769,0.78
8239,3,9.88,315.55,14769,1.3
8239,3,15.15,13.27,14769,1.13
8239,3,15.37,2.7,14769,0.73
8239,3,15.42,13.87,14769,0.77
8239,3,15.63,7.92,14769,0.95
8239,3,15.77,10.57,14769,1.47
8239,3,15.95,5.07,14769,0.8
8239,3,16.03,7.38,14769,1.13
8239,3,16.15,10.6,14769,1.12
8239,3,16.33,1.4,14769,0.93
8239,3,16.35,3.65,14769,1.53
8239,3,16.42,9.5,14769,0.67
8239,3,16.58,2.03,14769,1.17
8239,3,16.62,3.65,14769,1.27
8239,3,16.67,6.3,14769,1.35
8239,3,16.77,9.67,14769,0.72
8239,3,16.93,12.57,14769,0.97
8239,3,17.15,8.45,14769,1.03
8239,3,17.28,12.27,14769,1.05
8239,3,17.48,24.45,14769,1.0
8239,3,17.9,0.07,14769,1.15
8239,3,17.9,10.48,14769,0.67
8239,3,18.07,12.47,14769,0.83
8239,3,18.28,,14769,1.0
8239,4,6.67,3.45,14769,1.23
8239,4,6.73,17.7,14769,0.75
8239,4,7.02,6.93,14769,0.42
8239,4,7.13,14.02,14769,0.27
8239,4,7.37,7.65,14769,0.3
8239,4,7.5,9.82,14769,0.85
8239,4,7.67,20.13,14769,0.98
8239,4,8.0,3.22,14769,0.9
8239,4,8.05,0.07,14769,0.62
8239,4,8.05,10.47,14769,0.57
8239,4,8.23,6.42,14769,0.32
8239,4,8.33,7.35,14769,0.78
8239,4,8.45,1.17,14769,0.35
8239,4,8.48,5.63,14769,0.37
8239,4,8.57,13.22,14769,0.57
8239,4,8.78,0.73,14769,1.12
8239,4,8.8,1.82,14769,0.92
8239,4,8.83,3.65,14769,0.5
8239,4,8.9,11.85,14769,0.87
8239,4,9.1,0.22,14769,0.55
8239,4,9.1,2.25,14769,0.48
8239,4,9.13,1.8,14769,0.9
8239,4,9.17,8.37,14769,0.45
8239,4,9.3,0.12,14769,0.6
8239,4,9.3,12.18,14769,0.97
8239,4,9.5,11.97,14769,1.03
8239,4,9.7,333.87,14769,0.5
8239,4,15.27,0.62,14769,0.92
8239,4,15.28,10.18,14769,1.38
8239,4,15.45,10.55,14769,1.72
8239,4,15.63,10.9,14769,0.92
8239,4,15.82,12.27,14769,0.8
8239,4,16.02,3.38,14769,1.03
8239,4,16.07,4.22,14769,1.17
8239,4,16.13,12.32,14769,1.45
8239,4,16.35,0.37,14769,1.47
8239,4,16.35,5.47,14769,1.37
8239,4,16.45,6.03,14769,0.98
8239,4,16.55,2.88,14769,1.23
8239,4,16.58,11.12,14769,1.03
8239,4,16.78,6.17,14769,1.35
8239,4,16.88,4.07,14769,0.9
8239,4,16.95,13.43,14769,0.58
8239,4,17.17,4.0,14769,0.57
8239,4,17.23,10.0,14769,0.72
8239,4,17.4,8.8,14769,0.68
8239,4,17.55,13.62,14769,0.78
8239,4,17.78,16.88,14769,1.38
8239,4,18.07,1.08,14769,1.0
8239,4,18.08,10.43,14769,0.7
8239,4,18.25,8.95,14769,1.02
8239,4,18.4,,14769,0.72
