origin,day_of_week,decimal_time,wait|14182,destination,travel_time
14795,2,5.63,10.85,8331,2.03
14795,2,5.82,9.2,8331,2.22
14795,2,5.97,7.62,8331,1.8
14795,2,6.1,9.58,8331,1.47
14795,2,6.27,2.1,8331,1.58
14795,2,6.3,4.45,8331,2.72
14795,2,6.37,3.93,8331,2.27
14795,2,6.43,3.33,8331,1.48
14795,2,6.48,4.17,8331,2.4
14795,2,6.57,3.78,8331,3.18
14795,2,6.62,7.32,8331,1.65
14795,2,6.75,4.98,8331,1.93
14795,2,6.83,4.88,8331,2.5
14795,2,6.92,5.02,8331,2.38
14795,2,7.0,6.82,8331,2.0
14795,2,7.1,6.1,8331,3.13
14795,2,7.22,4.87,8331,3.6
14795,2,7.28,5.92,8331,3.68
14795,2,7.38,6.03,8331,1.97
14795,2,7.48,6.83,8331,3.17
14795,2,7.6,7.3,8331,3.13
14795,2,7.72,12.83,8331,1.83
14795,2,7.93,13.1,8331,2.98
14795,2,8.15,8.7,8331,1.98
14795,2,8.3,17.83,8331,2.4
14795,2,8.6,7.63,8331,2.53
14795,2,8.73,12.98,8331,1.73
14795,2,8.95,12.23,8331,1.78
14795,2,9.15,328.12,8331,2.05
14795,2,14.62,11.23,8331,2.38
14795,2,14.8,7.45,8331,1.75
14795,2,14.93,9.12,8331,1.57
14795,2,15.08,7.8,8331,2.07
14795,2,15.22,10.82,8331,2.03
14795,2,15.38,8.92,8331,2.17
14795,2,15.53,19.08,8331,2.23
14795,2,15.85,2.6,8331,2.12
14795,2,15.9,4.6,8331,1.67
14795,2,15.98,8.72,8331,1.95
14795,2,16.12,14.13,8331,2.33
14795,2,16.35,2.92,8331,2.32
14795,2,16.4,10.75,8331,1.6
14795,2,16.58,7.55,8331,2.52
14795,2,16.72,10.1,8331,1.65
14795,2,16.88,11.02,8331,2.85
14795,2,17.07,4.28,8331,1.82
14795,2,17.13,14.8,8331,2.2
14795,2,17.38,9.15,8331,1.62
14795,2,17.53,9.12,8331,2.17
14795,2,17.68,,8331,1.7
14795,3,5.68,10.98,8331,2.35
14795,3,5.87,5.3,8331,2.02
