origin,day_of_week,decimal_time,wait|14182,destination,travel_time
17914,2,6.27,12.98,8405,3.33
17914,2,6.48,7.5,8405,3.4
17914,2,6.62,12.45,8405,3.12
17914,2,6.82,9.13,8405,2.3
17914,2,6.97,5.15,8405,2.95
17914,2,7.05,5.97,8405,2.73
17914,2,7.15,4.7,8405,4.17
17914,2,7.23,4.62,8405,4.32
17914,2,7.32,1.55,8405,3.23
17914,2,7.33,4.98,8405,5.28
17914,2,7.42,14.38,8405,2.72
17914,2,7.67,0.05,8405,3.77
17914,2,7.67,14.55,8405,3.12
17914,2,7.9,2.95,8405,2.95
17914,2,7.95,11.08,8405,3.28
17914,2,8.13,5.02,8405,5.15
17914,2,8.22,3.07,8405,3.83
17914,2,8.27,4.52,8405,4.63
17914,2,8.35,2.22,8405,3.75
17914,2,8.38,7.35,8405,3.18
17914,2,8.5,2.52,8405,3.5
17914,2,8.55,15.62,8405,3.77
17914,2,8.82,12.77,8405,4.43
17914,2,9.02,11.5,8405,3.1
17914,2,9.22,12.63,8405,1.8
17914,2,9.43,4.05,8405,2.98
17914,2,9.5,7.93,8405,3.32
17914,2,9.62,13.85,8405,2.52
17914,2,9.85,337.03,8405,2.83
17914,2,15.47,4.13,8405,2.78
17914,2,15.55,6.83,8405,2.98
17914,2,15.65,9.05,8405,3.7
17914,2,15.8,9.85,8405,5.07
17914,2,15.97,7.1,8405,3.7
17914,2,16.08,16.35,8405,2.45
17914,2,16.37,11.63,8405,4.87
17914,2,16.55,11.97,8405,3.73
17914,2,16.75,2.3,8405,5.6
17914,2,16.8,10.98,8405,3.78
17914,2,16.98,23.55,8405,3.18
17914,2,17.37,1.58,8405,4.32
17914,2,17.4,10.57,8405,3.77
17914,2,17.57,2.13,8405,5.65
17914,2,17.6,9.05,8405,3.68
17914,2,17.75,17.05,8405,3.67
17914,2,18.05,3.15,8405,5.4
17914,2,18.1,7.0,8405,4.33
17914,2,18.22,7.73,8405,4.37
17914,2,18.33,3.57,8405,3.38
17914,2,18.4,,8405,3.18
17914,3,6.37,5.67,8405,2.75
17914,3,6.45,9.97,8405,1.93
17914,3,6.62,11.28,8405,3.15
17914,3,6.82,10.08,8405,3.93
17914,3,6.98,5.52,8405,2.95
17914,3,7.07,1.23,8405,2.82
17914,3,7.08,5.9,8405,3.03
17914,3,7.18,4.23,8405,2.9
17914,3,7.27,4.85,8405,3.03
17914,3,7.33,10.1,8405,3.43
17914,3,7.5,6.77,8405,4.02
17914,3,7.62,1.15,8405,4.02
17914,3,7.63,5.83,8405,4.85
17914,3,7.73,6.18,8405,2.95
17914,3,7.83,11.8,8405,3.78
17914,3,8.03,3.12,8405,3.17
17914,3,8.25,3.15,8405,3.95
17914,3,8.3,3.4,8405,3.28
17914,3,8.37,11.23,8405,3.57
17914,3,8.55,1.02,8405,3.0
17914,3,8.57,9.17,8405,3.48
17914,3,8.72,12.2,8405,5.03
17914,3,8.92,6.68,8405,3.13
17914,3,9.03,31.02,8405,3.37
17914,3,9.55,1.07,8405,2.93
17914,3,9.57,10.28,8405,4.77
17914,3,9.73,10.03,8405,3.38
17914,3,9.9,345.5,8405,3.28
17914,3,15.67,15.17,8405,2.6
17914,3,15.92,12.63,8405,3.43
17914,3,16.13,15.33,8405,3.5
17914,3,16.38,3.63,8405,3.73
