origin,day_of_week,decimal_time,wait|14182,destination,travel_time
14527,2,6.6,14.17,14182,0.83
14527,2,6.83,8.38,14182,0.73
14527,2,6.98,11.63,14182,1.75
14527,2,7.17,9.7,14182,0.88
14527,2,7.33,7.12,14182,0.93
14527,2,7.45,11.75,14182,0.92
14527,2,7.65,1.85,14182,0.13
14527,2,7.68,4.37,14182,1.37
14527,2,7.75,5.83,14182,1.27
14527,2,7.85,0.13,14182,1.02
14527,2,7.85,12.27,14182,1.32
14527,2,8.05,3.15,14182,1.55
14527,2,8.12,13.92,14182,0.47
14527,2,8.33,3.25,14182,1.1
14527,2,8.4,12.47,14182,1.23
14527,2,8.6,1.43,14182,0.75
14527,2,8.63,6.95,14182,0.58
14527,2,8.75,1.2,14182,0.95
14527,2,8.77,8.4,14182,0.83
14527,2,8.92,1.42,14182,1.35
14527,2,8.93,19.18,14182,1.4
14527,2,9.25,8.32,14182,0.95
14527,2,9.38,7.75,14182,1.08
14527,2,9.52,17.47,14182,0.13
14527,2,9.82,2.92,14182,1.03
14527,2,9.87,7.02,14182,0.77
14527,2,9.98,15.48,14182,1.15
14527,2,10.23,340.07,14182,0.92
14527,2,15.9,5.8,14182,1.02
14527,2,16.0,8.67,14182,1.07
14527,2,16.15,8.53,14182,1.18
14527,2,16.28,6.93,14182,1.13
14527,2,16.4,8.38,14182,1.08
14527,2,16.53,18.22,14182,0.98
14527,2,16.85,6.32,14182,1.22
14527,2,16.95,17.95,14182,0.77
14527,2,17.25,1.12,14182,1.2
14527,2,17.27,8.65,14182,0.9
14527,2,17.42,24.08,14182,1.27
14527,2,17.82,1.17,14182,1.2
14527,2,17.83,14.55,14182,1.27
14527,2,18.08,9.87,14182,1.22
14527,2,18.23,18.23,14182,1.2
14527,2,18.55,1.42,14182,0.65
14527,2,18.57,9.85,14182,1.25
14527,2,18.73,3.07,14182,0.83
14527,2,18.78,3.88,14182,1.13
14527,2,18.85,,14182,1.32
14527,3,6.7,4.8,14182,1.03
14527,3,6.78,13.7,14182,1.18
14527,3,7.0,11.38,14182,0.6
14527,3,7.2,11.65,14182,1.08
14527,3,7.38,4.07,14182,1.25
14527,3,7.47,2.52,14182,0.52
14527,3,7.5,4.4,14182,1.0
14527,3,7.57,8.63,14182,1.48
14527,3,7.72,5.4,14182,1.12
14527,3,7.8,10.4,14182,1.42
14527,3,7.98,7.37,14182,1.18
14527,3,8.1,5.47,14182,1.63
14527,3,8.2,0.85,14182,1.62
14527,3,8.22,10.55,14182,1.23
14527,3,8.38,12.83,14182,1.15
14527,3,8.6,9.22,14182,0.92
14527,3,8.75,1.33,14182,1.7
14527,3,8.77,3.63,14182,1.12
14527,3,8.83,9.53,14182,1.13
