origin,day_of_week,decimal_time,wait|14182,destination,travel_time
18155,2,6.53,14.28,14592,1.9
18155,2,6.77,7.53,14592,1.6
18155,2,6.9,11.43,14592,2.23
18155,2,7.08,10.17,14592,2.03
18155,2,7.27,7.07,14592,2.2
18155,2,7.38,8.2,14592,2.0
18155,2,7.52,3.52,14592,2.28
18155,2,7.57,4.62,14592,2.12
18155,2,7.65,5.08,14592,1.82
18155,2,7.73,0.1,14592,2.03
18155,2,7.73,13.82,14592,1.9
18155,2,7.97,2.23,14592,2.57
18155,2,8.0,16.23,14592,2.57
18155,2,8.27,3.25,14592,1.67
18155,2,8.33,12.23,14592,1.8
18155,2,8.53,0.97,14592,1.18
18155,2,8.55,7.22,14592,1.92
18155,2,8.67,1.35,14592,1.97
18155,2,8.68,0.28,14592,1.45
18155,2,8.7,7.97,14592,2.02
18155,2,8.83,0.65,14592,1.53
18155,2,8.83,20.13,14592,2.55
18155,2,9.17,8.5,14592,2.47
18155,2,9.32,11.57,14592,2.18
18155,2,9.5,13.52,14592,0.2
18155,2,9.73,4.32,14592,1.87
18155,2,9.8,6.2,14592,1.33
18155,2,9.92,14.43,14592,1.45
18155,2,10.15,339.88,14592,2.08
18155,2,15.82,5.22,14592,2.72
18155,2,15.9,8.38,14592,2.7
18155,2,16.03,7.85,14592,2.58
18155,2,16.17,9.18,14592,2.78
18155,2,16.32,7.25,14592,1.88
18155,2,16.45,19.03,14592,2.72
18155,2,16.77,6.65,14592,2.32
18155,2,16.87,16.63,14592,2.37
18155,2,17.15,1.5,14592,2.33
18155,2,17.18,8.28,14592,1.98
18155,2,17.32,24.7,14592,2.35
18155,2,17.73,0.7,14592,2.57
18155,2,17.73,14.8,14592,2.25
18155,2,17.98,0.33,14592,2.12
18155,2,17.98,9.45,14592,2.03
18155,2,18.15,18.27,14592,2.27
18155,2,18.45,2.08,14592,1.88
18155,2,18.48,9.6,14592,2.0
18155,2,18.65,3.27,14592,2.43
18155,2,18.7,4.67,14592,2.07
18155,2,18.78,,14592,1.57
18155,3,6.63,4.13,14592,1.27
18155,3,6.7,13.0,14592,1.85
18155,3,6.92,11.97,14592,2.35
18155,3,7.12,10.82,14592,1.82
18155,3,7.3,2.15,14592,1.25
18155,3,7.33,2.75,14592,2.45
18155,3,7.38,5.32,14592,1.9
18155,3,7.47,8.37,14592,2.55
18155,3,7.62,5.55,14592,2.62
18155,3,7.7,11.62,14592,2.35
18155,3,7.9,7.8,14592,2.17
18155,3,8.03,2.52,14592,2.05
18155,3,8.07,2.07,14592,3.4
18155,3,8.1,9.27,14592,2.6
18155,3,8.25,11.95,14592,2.52
18155,3,8.45,9.65,14592,2.37
18155,3,8.62,0.15,14592,2.37
18155,3,8.62,5.27,14592,2.13
18155,3,8.7,10.38,14592,2.18
18155,3,8.88,10.98,14592,1.52
18155,3,9.07,11.58,14592,2.12
18155,3,9.25,2.5,14592,2.18
18155,3,9.3,32.25,14592,1.18
18155,3,9.83,4.77,14592,2.52
18155,3,9.92,8.18,14592,1.2
18155,3,10.05,9.08,14592,1.5
18155,3,10.2,352.7,14592,2.18
18155,3,16.08,12.65,14592,2.45
18155,3,16.3,11.55,14592,2.25
18155,3,16.48,13.17,14592,2.27
18155,3,16.7,4.92,14592,2.4
18155,3,16.78,10.0,14592,2.68
18155,3,16.95,25.07,14592,2.55
18155,3,17.37,7.32,14592,4.03
18155,3,17.5,20.17,14592,1.97
18155,3,17.83,7.68,14592,3.38
18155,3,17.95,0.1,14592,1.77
18155,3,17.97,10.02,14592,2.43
18155,3,18.13,9.55,14592,2.38
18155,3,18.28,12.8,14592,2.93
18155,3,18.5,0.25,14592,3.18
18155,3,18.5,9.23,14592,3.02
18155,3,18.65,8.25,14592,2.0
18155,3,18.8,4.53,14592,2.37
18155,3,18.87,,14592,2.92
18155,4,6.6,15.33,14592,2.4
18155,4,6.85,16.87,14592,2.4
18155,4,7.13,10.05,14592,2.65
18155,4,7.3,0.75,14592,2.53
18155,4,7.32,2.32,14592,1.92
18155,4,7.35,5.73,14592,1.78
18155,4,7.45,18.6,14592,2.77
18155,4,7.77,7.63,14592,2.23
18155,4,7.88,0.68,14592,2.6
18155,4,7.9,4.78,14592,2.07
18155,4,7.98,1.2,14592,2.68
18155,4,8.0,5.07,14592,2.22
18155,4,8.08,7.1,14592,2.95
18155,4,8.2,9.88,14592,1.88
18155,4,8.37,1.22,14592,2.27
18155,4,8.38,8.97,14592,2.3
18155,4,8.53,0.67,14592,1.77
18155,4,8.55,11.43,14592,2.92
18155,4,8.73,7.48,14592,1.02
18155,4,8.87,0.33,14592,2.57
18155,4,8.87,9.97,14592,2.3
18155,4,9.03,10.05,14592,2.33
18155,4,9.2,11.78,14592,2.23
18155,4,9.4,18.0,14592,1.77
18155,4,9.7,6.22,14592,2.05
18155,4,9.8,12.37,14592,1.43
18155,4,10.0,9.53,14592,2.32
18155,4,10.17,344.63,14592,2.3
18155,4,15.92,19.3,14592,1.85
18155,4,16.23,1.82,14592,2.35
18155,4,16.27,1.53,14592,2.17
18155,4,16.28,13.33,14592,2.37
18155,4,16.52,21.85,14592,2.3
18155,4,16.87,2.68,14592,2.28
18155,4,16.92,19.93,14592,2.95
18155,4,17.25,0.58,14592,2.93
18155,4,17.27,0.2,14592,2.72
18155,4,17.27,12.13,14592,3.18
18155,4,17.47,16.48,14592,2.85
18155,4,17.73,2.7,14592,2.13
18155,4,17.78,2.13,14592,3.9
18155,4,17.82,14.87,14592,3.58
18155,4,18.07,0.2,14592,2.18
18155,4,18.07,12.32,14592,2.05
18155,4,18.28,13.63,14592,3.12
18155,4,18.5,8.68,14592,2.67
18155,4,18.65,0.1,14592,2.23
18155,4,18.65,16.37,14592,2.02
18155,4,18.92,,14592,2.43
18155,0,6.52,20.58,14592,1.32
18155,0,6.87,9.45,14592,1.28
18155,0,7.02,10.92,14592,1.88
18155,0,7.2,1.08,14592,2.38
18155,0,7.22,3.0,14592,2.78
18155,0,7.27,14.6,14592,2.68
18155,0,7.52,6.67,14592,2.43
18155,0,7.62,7.13,14592,3.67
18155,0,7.75,0.85,14592,1.67
18155,0,7.75,9.85,14592,2.32
18155,0,7.92,0.05,14592,2.12
18155,0,7.92,6.75,14592,2.38
18155,0,8.03,10.37,14592,2.35
