hour	St. Joseph Hospital 	Sheridan & Diversey	Sheridan & Surf	Sheridan & Oakdale	Sheridan & Wellington	Sheridan & Barry	Sheridan & Briar	Belmont & Sheridan	Belmont & Pine Grove	Belmont & Broadway	Belmont & Orchard	Belmont & Halsted	Belmont & Clark	Belmont Red/Brown/Purple Line Station	Belmont & Seminary	Belmont & Racine	Belmont & Lakewood	Belmont & Southport	Belmont & Greenview	Belmont & Lincoln/Ashland	Belmont & Paulina	Belmont & Ravenswood	Belmont & Wolcott	Belmont & Damen	Belmont & Hoyne	Belmont & Leavitt	Belmont & Oakley	Belmont & Western/Clybourn	Belmont & Campbell 	Belmont & Rockwell	Belmont & Washtenaw	Belmont & California	Belmont & Francisco	Belmont & Sacramento	Belmont & Albany 	Belmont & Kedzie	Belmont & Spaulding	Belmont & Kimball (Blue Line)	Belmont & St. Louis	Belmont & Central Park	Belmont & Lawndale	Belmont & Hamlin	Belmont & Milwaukee	Belmont & Pulaski	Belmont & Karlov	Belmont & Keeler	Belmont & Kildare	Belmont & Kostner	Belmont & Kilbourn	Belmont & Kilpatrick	Belmont & Cicero	Belmont & Lamon	Belmont & Lavergne	Belmont & Leclaire	Belmont & Laramie	Belmont & Lockwood	Belmont & Long	Belmont & Linder	Belmont & Central	Belmont & Major	Belmont & Menard	Belmont & Mason	Belmont & Austin	Belmont & Meade	Belmont & Melvina	Belmont & Mobile	Belmont & Narragansett	Belmont & Natchez	Belmont & Nashville	Belmont & Normandy	Belmont & Oak Park	Belmont & New England	Belmont & Sayre	Belmont & Nottingham	Belmont & Harlem	Belmont & Octavia	Belmont & Oketo	Belmont & Olcott	Belmont & Oriole (76th Avenue)	Belmont & Overhill (77th Avenue)	Belmont & Ozanam (78th Avenue)	Belmont & Orange (79th Avenue)	Belmont & Pacific (80th Avenue)	Belmont & Panama	Belmont & Pioneer	Belmont & Plainfield	Belmont & Pontiac	Belmont & Cumberland Terminal
10	[2, 1, 2, 2]	[3, 4, 0, 1]	[2, 2, 2, 1]	[3, 0, 5, 1]	[3, 2, 1, 2]	[2, 3, 2, 2]	[2, 3, 2, 2]	[4, 0, 8, 4]	[4, 2, 5, 9]	[5, 2, 7, 9]	[4, 5, 8, 4]	[5, 5, 5, 11]	[8, 2, 8, 8]	[5, 3, 9, 14]	[5, 5, 11, 11]	[4, 8, 6, 14]	[9, 5, 9, 10]	[6, 7, 7, 13]	[7, 7, 10, 14]	[9, 6, 2, 21]	[7, 9, 7, 19]	[7, 7, 8, 20]	[8, 5, 13, 15]	[7, 10, 6, 20]	[9, 10, 8, 21]	[8, 13, 6, 25]	[11, 10, 7, 25]	[12, 9, 19, 16]	[13, 16, 11, 23]	[8, 24, 11, 15]	[15, 12, 19, 23]	[14, 18, 15, 22]	[13, 18, 17, 33]	[16, 20, 14, 20]	[17, 15, 23, 21]	[15, 21, 20, 23]	[18, 17, 16, 30]	[16, 20, 22, 25]	[9, 7, 6, 5]	[10, 4, 7, 8]	[7, 7, 4, 8]	[7, 8, 5, 11]	[10, 6, 8, 8]	[4, 13, 10, 4]	[10, 8, 9, 8]	[7, 12, 9, 8]	[11, 11, 8, 3]	[13, 8, 9, 5]	[14, 7, 9, 5]	[12, 11, 7, 4]	[12, 9, 10, 7]	[15, 11, 7, 9]	[12, 13, 5, 9]	[11, 14, 6, 4]	[14, 16, 7, 4]	[14, 14, 6, 5]	[16, 15, 3, 6]	[18, 11, 8, 5]	[13, 11, 6, 9]	[6, 7, 8, 11]	[7, 8, 10, 6]	[10, 7, 7, 9]	[10, 12, 3, 7]	[9, 8, 9, 9]	[10, 12, 7, 6]	[13, 8, 5, 13]	[11, 10, 9, 6]	[11, 12, 7, 9]	[12, 9, 12, 9]	[10, 14, 12, 7]	[12, 12, 11, 11]	[11, 15, 6, 14]	[12, 15, 13, 13]	[16, 8, 14, 17]	[8, 19, 18, 10]	[7, 22, 10, 11]	[13, 14, 12, 11]	[11, 16, 15, 6]	[16, 14, 12, 8]	[15, 16, 9, 10]	[18, 11, 11, 12]	[17, 13, 12, 12]	[15, 18, 10, 12]	[19, 14, 6, 15]	[15, 14, 12, 11]	[21, 16, 15, 9]	[17, 21, 12, 9]	[17, 20, 11, 10]
11	[4, 3, 4, 3]	[4, 2, 1, 7]	[3, 2, 4, 8]	[3, 3, 4, 8]	[4, 5, 2, 7]	[6, 3, 4, 7]	[5, 3, 6, 7]	[7, 5, 5, 8]	[7, 6, 7, 7]	[4, 6, 7, 3]	[5, 6, 8, 4]	[6, 8, 4, 5]	[6, 9, 4, 4]	[6, 10, 6, 10]	[8, 9, 5, 8]	[11, 8, 2, 9]	[11, 5, 4, 9]	[11, 7, 2, 10]	[10, 6, 7, 11]	[8, 9, 6, 12]	[9, 8, 5, 10]	[12, 10, 5, 7]	[12, 6, 6, 11]	[11, 8, 7, 9]	[14, 6, 6, 9]	[13, 10, 4, 8]	[12, 8, 7, 10]	[12, 9, 13, 6]	[11, 11, 11, 5]	[14, 10, 9, 9]	[15, 9, 10, 7]	[11, 14, 11, 9]	[14, 12, 7, 13]	[17, 13, 5, 16]	[12, 20, 8, 9]	[19, 11, 8, 12]	[22, 6, 11, 8]	[20, 13, 11, 11]	[21, 14, 13, 8]	[20, 11, 13, 11]	[20, 9, 13, 17]	[19, 12, 13, 11]	[21, 11, 11, 20]	[21, 15, 11, 13]	[24, 12, 10, 17]	[21, 19, 6, 16]	[25, 17, 9, 12]	[27, 15, 11, 14]	[29, 11, 10, 13]	[25, 19, 6, 18]	[21, 16, 14, 11]	[20, 13, 21, 10]	[20, 14, 15, 11]	[23, 12, 11, 11]	[24, 11, 14, 14]	[24, 11, 11, 8]	[30, 8, 12, 6]	[27, 11, 10, 8]	[21, 17, 12, 14]	[13, 14, 16, 15]	[16, 15, 17, 11]	[15, 16, 20, 9]	[21, 11, 17, 15]	[17, 16, 17, 9]	[22, 14, 14, 10]	[23, 16, 10, 17]	[23, 15, 8, 18]	[21, 12, 17, 11]	[20, 14, 15, 16]	[24, 10, 12, 20]	[20, 16, 14, 18]	[19, 16, 15, 16]	[19, 18, 10, 15]	[22, 12, 14, 13]	[19, 12, 18, 12]	[17, 14, 21, 6]	[20, 10, 18, 9]	[16, 14, 18, 12]	[16, 15, 14, 14]	[17, 19, 19, 14]	[22, 9, 16, 17]	[18, 15, 15, 14]	[23, 10, 19, 13]	[20, 14, 18, 14]	[23, 12, 17, 11]	[19, 17, 16, 11]	[19, 17, 15, 11]	[19, 17, 15, 10]
12	[5, 6, 6, 8]	[6, 8, 3, 8]	[6, 7, 2, 9]	[7, 5, 6, 9]	[10, 2, 6, 8]	[7, 7, 9, 1]	[9, 6, 8, 4]	[10, 7, 2, 7]	[9, 5, 4, 6]	[12, 4, 7, 6]	[8, 10, 4, 11]	[13, 8, 7, 6]	[10, 12, 5, 6]	[17, 9, 4, 8]	[18, 6, 4, 11]	[19, 6, 6, 8]	[19, 7, 9, 8]	[18, 8, 10, 12]	[13, 13, 8, 16]	[14, 11, 10, 21]	[14, 13, 15, 15]	[12, 16, 13, 10]	[12, 20, 6, 17]	[16, 12, 14, 6]	[18, 14, 8, 9]	[16, 15, 11, 11]	[18, 16, 8, 11]	[19, 18, 8, 8]	[20, 14, 12, 5]	[18, 20, 7, 15]	[18, 20, 9, 14]	[20, 14, 16, 14]	[18, 21, 9, 20]	[20, 19, 13, 12]	[20, 18, 13, 12]	[20, 19, 17, 7]	[20, 20, 18, 16]	[14, 22, 18, 18]	[17, 23, 17, 11]	[20, 21, 23, 10]	[20, 29, 13, 13]	[30, 18, 19, 13]	[32, 17, 14, 14]	[23, 22, 22, 9]	[31, 20, 19, 10]	[29, 19, 18, 14]	[31, 22, 13, 12]	[33, 22, 13, 10]	[25, 27, 15, 13]	[27, 25, 17, 10]	[25, 26, 19, 22]	[28, 24, 19, 16]	[27, 26, 21, 13]	[32, 24, 20, 15]	[30, 25, 17, 16]	[34, 22, 19, 13]	[32, 28, 15, 12]	[32, 27, 12, 16]	[31, 23, 18, 15]	[23, 19, 20, 14]	[25, 23, 15, 12]	[29, 18, 17, 12]	[27, 21, 18, 16]	[23, 25, 13, 20]	[31, 18, 12, 18]	[30, 25, 12, 17]	[34, 20, 12, 15]	[34, 18, 13, 19]	[39, 20, 16, 11]	[36, 25, 12, 12]	[43, 18, 18, 7]	[45, 22, 14, 13]	[31, 32, 19, 11]	[37, 27, 16, 16]	[28, 37, 20, 10]	[24, 33, 20, 7]	[29, 24, 18, 14]	[26, 25, 19, 10]	[29, 23, 20, 13]	[27, 22, 23, 13]	[28, 25, 18, 14]	[29, 21, 19, 12]	[22, 30, 18, 11]	[24, 22, 22, 12]	[23, 22, 24, 15]	[19, 24, 18, 14]	[21, 27, 10, 19]	[21, 27, 10, 18]
13	[9, 5, 6, 9]	[6, 11, 8, 13]	[11, 9, 7, 13]	[14, 9, 8, 7]	[13, 11, 8, 4]	[14, 13, 7, 5]	[15, 8, 11, 5]	[15, 12, 8, 7]	[19, 11, 1, 6]	[13, 14, 7, 11]	[11, 15, 6, 14]	[11, 14, 12, 13]	[19, 8, 8, 13]	[18, 16, 7, 10]	[20, 15, 11, 12]	[22, 13, 12, 15]	[29, 11, 13, 9]	[28, 15, 11, 9]	[28, 17, 11, 14]	[23, 17, 15, 14]	[21, 25, 6, 18]	[30, 20, 10, 11]	[31, 16, 10, 11]	[29, 10, 15, 14]	[27, 16, 16, 10]	[31, 21, 11, 11]	[27, 16, 15, 10]	[24, 15, 14, 12]	[26, 18, 7, 12]	[28, 12, 13, 14]	[25, 15, 12, 12]	[23, 12, 12, 16]	[20, 16, 7, 18]	[19, 15, 11, 13]	[22, 17, 9, 15]	[20, 12, 19, 10]	[23, 11, 18, 10]	[16, 18, 19, 11]	[14, 31, 12, 8]	[24, 25, 10, 10]	[29, 20, 10, 15]	[29, 21, 12, 13]	[26, 18, 21, 15]	[15, 32, 24, 11]	[21, 35, 16, 11]	[27, 29, 19, 8]	[28, 23, 21, 11]	[34, 19, 20, 13]	[27, 21, 22, 19]	[31, 25, 20, 16]	[24, 31, 19, 15]	[34, 26, 16, 14]	[26, 32, 12, 13]	[37, 21, 15, 8]	[42, 20, 15, 9]	[34, 23, 20, 6]	[33, 26, 14, 12]	[33, 22, 19, 15]	[18, 30, 18, 13]	[22, 14, 23, 14]	[22, 23, 14, 16]	[26, 17, 22, 13]	[26, 19, 16, 14]	[24, 20, 21, 6]	[26, 23, 17, 10]	[27, 23, 19, 13]	[24, 25, 20, 10]	[25, 30, 11, 13]	[26, 26, 13, 14]	[31, 23, 14, 15]	[26, 27, 14, 14]	[31, 24, 13, 11]	[35, 21, 16, 12]	[39, 18, 10, 17]	[32, 20, 19, 12]	[24, 23, 17, 7]	[32, 12, 15, 13]	[23, 26, 10, 15]	[27, 20, 11, 10]	[24, 21, 16, 11]	[23, 24, 18, 7]	[27, 23, 13, 8]	[25, 26, 10, 7]	[34, 19, 13, 11]	[35, 15, 16, 9]	[27, 22, 18, 11]	[32, 15, 16, 9]	[33, 15, 17, 9]
14	[7, 10, 9, 15]	[11, 16, 8, 25]	[11, 12, 14, 24]	[15, 15, 13, 23]	[17, 19, 12, 22]	[19, 17, 17, 23]	[21, 12, 21, 19]	[20, 21, 19, 19]	[23, 20, 18, 20]	[23, 13, 23, 26]	[28, 12, 19, 22]	[21, 23, 14, 22]	[19, 19, 15, 16]	[23, 18, 20, 23]	[24, 21, 14, 21]	[31, 11, 14, 25]	[24, 19, 17, 22]	[28, 14, 12, 26]	[27, 21, 13, 22]	[16, 26, 17, 22]	[17, 24, 19, 28]	[18, 22, 26, 19]	[17, 30, 22, 22]	[22, 21, 22, 23]	[22, 25, 23, 21]	[28, 18, 23, 22]	[34, 9, 22, 34]	[24, 17, 26, 20]	[26, 21, 19, 19]	[31, 18, 25, 20]	[34, 18, 27, 16]	[26, 28, 24, 24]	[31, 32, 17, 35]	[31, 24, 23, 24]	[32, 28, 21, 28]	[26, 36, 23, 16]	[30, 26, 27, 17]	[24, 34, 23, 20]	[15, 46, 17, 18]	[33, 27, 21, 16]	[26, 32, 21, 20]	[30, 30, 24, 12]	[33, 31, 21, 13]	[30, 33, 19, 18]	[35, 26, 29, 16]	[29, 32, 21, 18]	[33, 31, 20, 18]	[39, 34, 23, 13]	[41, 30, 23, 18]	[38, 31, 18, 17]	[28, 32, 19, 16]	[28, 36, 18, 10]	[30, 36, 25, 13]	[34, 36, 22, 20]	[32, 31, 24, 19]	[26, 31, 26, 19]	[32, 31, 22, 21]	[38, 25, 23, 19]	[33, 29, 20, 27]	[33, 29, 22, 21]	[36, 25, 27, 16]	[31, 30, 21, 18]	[36, 22, 20, 18]	[34, 25, 20, 18]	[37, 29, 21, 17]	[36, 30, 20, 14]	[30, 26, 22, 20]	[39, 12, 24, 17]	[33, 23, 20, 20]	[34, 23, 19, 20]	[38, 19, 21, 18]	[38, 27, 14, 22]	[47, 20, 19, 15]	[37, 28, 24, 15]	[34, 29, 12, 22]	[26, 37, 19, 9]	[31, 25, 19, 12]	[30, 23, 17, 19]	[32, 25, 21, 16]	[35, 23, 18, 17]	[36, 26, 15, 13]	[35, 23, 15, 16]	[32, 27, 17, 18]	[36, 28, 14, 13]	[37, 23, 17, 14]	[37, 20, 14, 26]	[36, 19, 21, 19]	[36, 19, 22, 18]
15	[7, 3, 4, 12]	[3, 5, 5, 27]	[3, 8, 13, 22]	[4, 7, 14, 22]	[6, 10, 13, 26]	[7, 11, 8, 31]	[8, 9, 13, 38]	[18, 9, 21, 33]	[14, 15, 22, 40]	[14, 15, 21, 43]	[16, 22, 39, 34]	[22, 26, 31, 50]	[14, 35, 37, 46]	[30, 36, 34, 38]	[39, 42, 35, 34]	[48, 33, 35, 49]	[48, 43, 32, 39]	[45, 54, 28, 37]	[50, 49, 28, 38]	[41, 53, 36, 51]	[50, 46, 27, 52]	[47, 58, 27, 48]	[52, 47, 30, 52]	[42, 57, 34, 43]	[59, 35, 43, 43]	[58, 41, 41, 46]	[54, 47, 43, 48]	[53, 42, 49, 39]	[49, 44, 50, 34]	[50, 47, 51, 34]	[60, 39, 50, 32]	[51, 45, 33, 53]	[50, 63, 21, 51]	[51, 52, 36, 51]	[57, 41, 43, 40]	[51, 47, 32, 47]	[61, 52, 29, 50]	[37, 57, 46, 33]	[26, 52, 45, 31]	[35, 44, 40, 38]	[35, 42, 46, 30]	[44, 49, 29, 29]	[46, 40, 38, 29]	[38, 50, 36, 19]	[41, 49, 36, 19]	[54, 37, 34, 20]	[50, 36, 37, 24]	[51, 40, 31, 25]	[51, 45, 34, 22]	[65, 28, 33, 34]	[43, 48, 39, 25]	[44, 53, 37, 23]	[51, 37, 39, 27]	[51, 34, 42, 28]	[54, 35, 33, 30]	[54, 31, 40, 29]	[59, 31, 28, 31]	[54, 31, 34, 31]	[44, 44, 32, 26]	[36, 41, 34, 22]	[53, 32, 26, 26]	[57, 39, 32, 26]	[52, 46, 27, 29]	[49, 41, 34, 30]	[55, 41, 35, 29]	[60, 38, 34, 31]	[57, 42, 30, 33]	[67, 36, 27, 37]	[65, 35, 41, 28]	[65, 38, 31, 31]	[65, 45, 35, 32]	[63, 42, 28, 37]	[61, 42, 25, 32]	[61, 38, 25, 32]	[51, 45, 38, 23]	[49, 47, 40, 16]	[50, 40, 34, 34]	[56, 30, 40, 23]	[53, 40, 28, 29]	[47, 47, 31, 20]	[54, 42, 27, 21]	[55, 34, 31, 23]	[50, 39, 31, 25]	[46, 47, 27, 20]	[51, 39, 28, 24]	[50, 49, 29, 14]	[43, 44, 37, 22]	[43, 44, 36, 23]
16	[8, 7, 14, 53]	[10, 15, 6, 92]	[14, 11, 30, 76]	[12, 18, 49, 64]	[16, 19, 43, 69]	[19, 26, 51, 69]	[13, 29, 53, 78]	[19, 34, 43, 77]	[22, 28, 59, 64]	[27, 41, 53, 52]	[28, 33, 56, 75]	[41, 45, 47, 51]	[37, 51, 44, 59]	[44, 45, 66, 52]	[47, 53, 52, 63]	[58, 41, 54, 63]	[54, 53, 46, 64]	[60, 53, 53, 42]	[66, 40, 56, 54]	[55, 62, 46, 55]	[51, 67, 37, 71]	[57, 60, 50, 53]	[60, 57, 57, 41]	[47, 64, 57, 47]	[56, 62, 48, 41]	[59, 57, 49, 39]	[61, 58, 41, 50]	[47, 53, 69, 33]	[53, 57, 64, 35]	[65, 59, 47, 42]	[68, 52, 49, 46]	[63, 58, 46, 54]	[65, 69, 33, 59]	[70, 60, 57, 37]	[64, 74, 52, 39]	[64, 72, 32, 69]	[59, 74, 40, 55]	[53, 61, 64, 43]	[31, 78, 59, 33]	[54, 57, 51, 48]	[45, 67, 48, 50]	[63, 53, 46, 37]	[67, 48, 40, 42]	[54, 62, 51, 33]	[62, 57, 55, 34]	[66, 58, 46, 44]	[61, 62, 44, 40]	[71, 54, 43, 47]	[66, 56, 49, 44]	[55, 62, 49, 44]	[47, 63, 55, 46]	[53, 62, 60, 33]	[57, 70, 54, 39]	[62, 59, 58, 46]	[67, 62, 50, 42]	[72, 48, 59, 40]	[64, 61, 59, 48]	[75, 47, 59, 41]	[66, 59, 36, 37]	[48, 76, 43, 34]	[69, 55, 41, 32]	[62, 59, 33, 37]	[69, 55, 34, 41]	[60, 55, 37, 42]	[72, 50, 34, 40]	[77, 47, 39, 40]	[78, 47, 44, 44]	[71, 59, 39, 38]	[79, 58, 54, 33]	[75, 63, 43, 37]	[67, 59, 53, 34]	[72, 56, 46, 43]	[73, 58, 49, 35]	[69, 62, 55, 36]	[68, 64, 50, 33]	[59, 73, 45, 18]	[65, 59, 38, 31]	[66, 57, 39, 31]	[72, 55, 45, 25]	[68, 57, 45, 37]	[81, 64, 35, 31]	[77, 55, 42, 27]	[80, 56, 41, 26]	[81, 62, 31, 34]	[81, 63, 39, 28]	[87, 51, 39, 34]	[79, 60, 42, 40]	[79, 57, 47, 39]
17	[14, 18, 23, 88]	[18, 32, 42, 116]	[25, 42, 44, 112]	[29, 43, 49, 94]	[35, 41, 54, 83]	[41, 37, 60, 74]	[48, 52, 49, 68]	[57, 42, 55, 73]	[61, 45, 56, 66]	[58, 55, 61, 71]	[60, 60, 63, 62]	[76, 66, 62, 52]	[78, 72, 64, 48]	[97, 71, 55, 55]	[114, 68, 48, 51]	[111, 77, 48, 53]	[136, 53, 55, 52]	[120, 78, 48, 58]	[129, 75, 50, 64]	[99, 101, 51, 67]	[101, 103, 42, 82]	[114, 84, 58, 59]	[111, 87, 61, 56]	[103, 87, 65, 58]	[103, 94, 63, 60]	[108, 92, 66, 49]	[115, 79, 65, 48]	[99, 91, 84, 24]	[99, 79, 87, 28]	[106, 80, 78, 45]	[115, 80, 70, 42]	[104, 90, 69, 59]	[102, 99, 45, 83]	[102, 87, 65, 65]	[114, 72, 66, 56]	[100, 94, 48, 72]	[94, 103, 44, 73]	[76, 100, 75, 62]	[48, 111, 88, 51]	[67, 98, 67, 57]	[76, 89, 72, 59]	[68, 88, 75, 51]	[80, 87, 80, 52]	[76, 91, 76, 61]	[75, 88, 87, 59]	[95, 75, 77, 56]	[101, 87, 69, 52]	[109, 88, 68, 47]	[110, 82, 67, 56]	[110, 79, 64, 63]	[102, 84, 58, 61]	[93, 94, 71, 37]	[110, 85, 68, 46]	[106, 94, 59, 59]	[96, 90, 72, 46]	[104, 82, 69, 33]	[108, 78, 61, 40]	[95, 77, 60, 54]	[97, 75, 50, 43]	[89, 80, 55, 37]	[101, 72, 59, 37]	[97, 82, 58, 51]	[103, 88, 51, 48]	[91, 76, 61, 58]	[103, 72, 62, 53]	[115, 61, 69, 48]	[109, 78, 71, 47]	[118, 72, 56, 50]	[111, 77, 57, 50]	[112, 65, 68, 34]	[109, 80, 47, 43]	[106, 73, 65, 38]	[101, 72, 67, 50]	[91, 73, 71, 53]	[77, 77, 73, 42]	[44, 55, 37, 20]	[29, 15, 27, 12]	[29, 17, 25, 11]	[25, 22, 18, 16]	[25, 27, 17, 21]	[24, 28, 19, 17]	[29, 24, 18, 17]	[26, 27, 13, 16]	[21, 32, 17, 16]	[28, 25, 20, 16]	[23, 24, 21, 18]	[24, 24, 19, 17]	[24, 24, 18, 18]
18	[5, 7, 8, 15]	[9, 17, 8, 24]	[11, 11, 10, 28]	[6, 15, 16, 21]	[10, 11, 14, 30]	[12, 11, 15, 24]	[12, 11, 17, 38]	[13, 20, 23, 33]	[16, 21, 16, 32]	[20, 23, 13, 27]	[22, 19, 22, 25]	[27, 19, 21, 40]	[22, 33, 16, 26]	[26, 29, 28, 27]	[33, 35, 15, 34]	[37, 30, 21, 35]	[35, 32, 29, 30]	[36, 33, 19, 26]	[39, 32, 24, 22]	[39, 41, 23, 46]	[39, 41, 29, 42]	[44, 40, 26, 38]	[43, 39, 38, 38]	[48, 45, 36, 39]	[58, 46, 26, 44]	[60, 43, 35, 43]	[67, 40, 30, 43]	[58, 44, 54, 26]	[60, 47, 55, 24]	[67, 45, 46, 43]	[72, 53, 37, 53]	[67, 60, 46, 45]	[75, 67, 23, 57]	[74, 74, 36, 39]	[86, 53, 47, 40]	[75, 74, 37, 57]	[70, 63, 50, 55]	[73, 75, 63, 41]	[51, 88, 61, 46]	[66, 73, 62, 46]	[64, 75, 61, 58]	[75, 75, 51, 52]	[86, 59, 61, 45]	[64, 84, 59, 45]	[69, 89, 61, 37]	[85, 77, 59, 47]	[88, 80, 56, 45]	[97, 77, 64, 41]	[98, 64, 60, 52]	[112, 64, 72, 39]	[95, 78, 71, 49]	[92, 99, 62, 48]	[96, 85, 68, 41]	[96, 84, 54, 43]	[96, 79, 64, 50]	[91, 95, 65, 49]	[108, 90, 65, 55]	[108, 93, 64, 55]	[90, 102, 58, 53]	[80, 98, 71, 47]	[102, 80, 62, 56]	[100, 78, 78, 47]	[102, 80, 62, 55]	[113, 76, 61, 52]	[123, 90, 57, 51]	[135, 76, 61, 50]	[117, 88, 55, 58]	[122, 76, 51, 59]	[119, 80, 64, 57]	[113, 90, 63, 48]	[105, 89, 77, 50]	[113, 91, 69, 53]	[125, 90, 71, 53]	[112, 104, 72, 52]	[85, 96, 68, 40]	[38, 53, 26, 31]	[26, 21, 23, 13]	[29, 19, 18, 19]	[25, 30, 16, 17]	[30, 26, 13, 27]	[31, 25, 19, 21]	[30, 23, 27, 16]	[27, 25, 27, 16]	[29, 29, 21, 18]	[32, 24, 22, 19]	[32, 22, 21, 19]	[24, 20, 21, 17]	[22, 22, 20, 17]
19	[1, 1, 1, 3]	[1, 1, 2, 7]	[1, 1, 1, 4]	[1, 2, 6, 3]	[1, 2, 2, 4]	[2, 1, 4, 7]	[3, 1, 4, 7]	[2, 8, 3, 4]	[2, 6, 4, 7]	[5, 3, 4, 10]	[5, 4, 7, 13]	[5, 8, 8, 15]	[2, 11, 17, 12]	[7, 10, 14, 12]	[13, 13, 12, 13]	[13, 13, 16, 10]	[12, 15, 14, 11]	[18, 14, 16, 11]	[21, 9, 16, 18]	[15, 15, 17, 30]	[12, 24, 11, 30]	[16, 22, 16, 21]	[25, 14, 17, 23]	[18, 19, 20, 27]	[24, 21, 14, 23]	[28, 17, 20, 26]	[31, 16, 18, 22]	[23, 19, 32, 19]	[25, 26, 21, 14]	[33, 26, 25, 18]	[31, 26, 27, 12]	[28, 28, 26, 20]	[24, 38, 19, 34]	[28, 29, 27, 21]	[35, 24, 30, 19]	[25, 38, 31, 15]	[27, 35, 28, 14]	[25, 30, 31, 20]	[15, 31, 24, 15]	[24, 22, 20, 22]	[31, 17, 20, 20]	[29, 19, 23, 18]	[31, 27, 22, 24]	[24, 36, 21, 34]	[34, 33, 21, 22]	[30, 36, 23, 25]	[31, 32, 27, 23]	[39, 31, 22, 19]	[37, 26, 28, 19]	[34, 28, 31, 18]	[41, 42, 25, 25]	[32, 32, 35, 25]	[35, 34, 29, 21]	[41, 34, 24, 20]	[33, 35, 28, 25]	[36, 26, 31, 24]	[40, 21, 31, 23]	[31, 29, 33, 23]	[33, 28, 31, 26]	[36, 36, 25, 28]	[46, 35, 27, 32]	[37, 38, 31, 33]	[48, 40, 26, 31]	[46, 45, 39, 35]	[49, 41, 34, 32]	[42, 45, 32, 35]	[48, 40, 30, 38]	[44, 49, 26, 36]	[42, 45, 25, 36]	[45, 44, 22, 39]	[45, 43, 30, 44]	[49, 39, 40, 30]	[56, 40, 38, 47]	[54, 40, 37, 41]	[41, 53, 29, 29]	[37, 33, 20, 10]	[22, 13, 11, 12]	[18, 18, 14, 9]	[22, 15, 10, 17]	[20, 15, 12, 9]	[19, 14, 16, 12]	[20, 15, 9, 14]	[26, 15, 6, 14]	[20, 18, 17, 7]	[23, 18, 15, 14]	[23, 23, 9, 17]	[22, 17, 12, 16]	[20, 16, 14, 16]
20	[0, 0, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[2, 3, 1, 1]	[1, 1, 0, 1]	[0, 1, 3, 0]	[1, 1, 0, 0]	[1, 1, 1, 1]	[1, 2, 1, 0]	[0, 2, 2, 0]	[1, 0, 0, 1]	[1, 0, 0, 3]	[2, 2, 1, 2]	[0, 3, 2, 2]	[2, 1, 2, 3]	[2, 1, 4, 0]	[2, 0, 2, 3]	[2, 1, 1, 4]	[2, 1, 1, 5]	[2, 2, 2, 5]	[2, 2, 2, 7]	[3, 3, 3, 7]	[3, 2, 6, 5]	[1, 6, 6, 4]	[2, 3, 6, 5]	[3, 2, 9, 7]	[5, 4, 8, 6]	[5, 3, 6, 4]	[7, 4, 4, 4]	[8, 9, 4, 12]	[7, 7, 4, 11]	[8, 6, 8, 8]	[11, 7, 12, 7]	[9, 9, 7, 10]	[11, 7, 8, 8]	[9, 10, 11, 8]	[7, 7, 9, 11]	[8, 13, 16, 6]	[5, 10, 9, 8]	[13, 2, 11, 13]	[10, 5, 9, 15]	[17, 4, 8, 18]	[23, 11, 14, 11]	[16, 11, 15, 8]	[14, 13, 12, 11]	[18, 15, 8, 12]	[14, 16, 13, 11]	[17, 18, 21, 12]	[18, 18, 14, 11]	[24, 24, 13, 17]	[14, 22, 24, 4]	[17, 18, 20, 15]	[20, 16, 23, 14]	[27, 17, 23, 14]	[23, 21, 19, 19]	[20, 28, 19, 14]	[25, 23, 24, 15]	[27, 20, 19, 17]	[16, 33, 30, 10]	[23, 26, 29, 19]	[26, 33, 24, 19]	[28, 33, 27, 17]	[31, 26, 27, 14]	[25, 24, 23, 18]	[31, 33, 19, 17]	[34, 32, 22, 13]	[31, 29, 22, 22]	[36, 21, 21, 13]	[35, 32, 15, 19]	[32, 35, 17, 18]	[32, 29, 23, 10]	[29, 29, 24, 16]	[36, 18, 24, 17]	[28, 23, 20, 17]	[17, 26, 16, 21]	[13, 20, 14, 9]	[14, 13, 7, 6]	[10, 10, 6, 7]	[14, 6, 9, 11]	[16, 10, 7, 10]	[8, 13, 9, 14]	[15, 10, 10, 9]	[11, 10, 9, 8]	[14, 12, 12, 9]	[16, 12, 10, 11]	[13, 18, 11, 17]	[10, 13, 10, 8]	[10, 15, 8, 9]
