hour	47th Red Line Station	Wells & 47th Street	Wells & 48th Place	4900 S Wells	Wells & 50th Street	51st Street & Wentworth	51st Street & Federal	51st Street & State	51st Street & Wabash	51st Street & Michigan	51st Street & Indiana	51st Green Line Station	51st Street & King Drive	51st Street & Forrestville	51st Street & St. Lawrence	51st Street & Champlain	51st Street & Evans	51st Street & Cottage Grove	51st Street & Drexel Square	E Hyde Park & Drexel	E Hyde Park & Ellis 	E Hyde Park & Woodlawn	E Hyde Park & Kimbark	E Hyde Park & Kenwood	E Hyde Park & Dorchester	E Hyde Park & Blackstone	E Hyde Park & Lake Park	Lake Park & 52nd Street	Lake Park & 53rd Street	Lake Park & 54th Street	Lake Park & 55th Street	Lake Park & 56th Street	Stony Island & 56th Street	Stony Island & 57th Street	Stony Island & 59th Street	Stony Island & 60th Street	Stony Island & 61st Street	Stony Island & 62nd Street	Stony Island & 63rd Street	Stony Island & 64th Street	Stony Island & 65th Street	67th Street & Cornell	67th Street & East End	67th Street & Cregier	67th Street & Bennett	Jeffery & 67th Street	Jeffery & 68th Street	Jeffery & 69th Street	Jeffery & 70th Street	Jeffery & 71st Street	Jeffery & 72nd Street	Jeffery & 73rd Street	Jeffery & 74th Street	Jeffery & 75th Street	Jeffery & 76th Street	Jeffery & 77th Street	Jeffery & 78th Street	Jeffery & 79th Street	Jeffery & 80th Street	Jeffery & 81st Street	Jeffery & 82nd Street	Jeffery & 83rd Street/South Chicago	Jeffery & Anthony	Jeffery & 85th Street	Jeffery & 86th Street	Jeffery & 87th Street	Jeffery & 88th Street	Jeffery & 89th Street	Jeffery & 90th Street	Jeffery & 91st Street	Jeffery & 92nd Street	Jeffery & 93rd Street	Jeffery & 95th Street	Jeffery & 96th Street	Jeffery & 97th Street	Jeffery & 98th Street	Van Vlissingen & 99th Street	100th Street & Clyde	100th Street & Paxton	100th Street & Luella	100th Street & Crandon	100th Street & Yates	Yates & 101st Street	Yates & 102nd Street	Yates & 103rd Street	103rd Street & Oglesby	103rd Street & Luella	103rd Street & Stony Island Garage Terminal
12	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[2, 0, 0, 0]	[2, 1, 1, 0]	[3, 1, 0, 1]	[2, 1, 1, 0]	[3, 0, 0, 2]	[2, 1, 0, 3]	[3, 0, 0, 3]	[2, 2, 1, 1]	[1, 2, 1, 2]	[1, 0, 2, 1]	[1, 1, 2, 1]	[1, 2, 2, 2]	[1, 3, 2, 0]	[3, 1, 1, 0]	[2, 3, 0, 0]	[2, 2, 0, 0]	[3, 0, 1, 0]	[1, 2, 1, 0]	[2, 2, 1, 0]	[2, 3, 2, 0]	[2, 1, 0, 1]	[1, 2, 1, 1]	[1, 3, 0, 1]	[2, 2, 0, 1]	[1, 2, 0, 3]	[0, 3, 2, 1]	[1, 1, 4, 0]	[1, 3, 1, 1]	[2, 3, 1, 2]	[1, 4, 2, 1]	[1, 4, 3, 0]	[3, 2, 3, 0]	[1, 4, 3, 1]	[2, 3, 2, 2]	[3, 0, 4, 1]	[4, 2, 1, 1]	[3, 3, 4, 1]	[5, 3, 1, 3]	[5, 2, 2, 3]	[5, 2, 3, 3]	[4, 4, 3, 2]	[4, 4, 2, 3]	[4, 4, 2, 3]	[4, 4, 2, 3]	[4, 4, 2, 7]	[4, 5, 0, 10]	[3, 5, 0, 10]	[3, 3, 5, 6]	[3, 5, 5, 5]	[4, 2, 5, 8]	[2, 5, 3, 6]	[5, 2, 5, 4]	[3, 5, 3, 6]	[3, 5, 4, 6]	[4, 4, 6, 4]	[3, 5, 4, 2]	[3, 8, 1, 2]	[3, 7, 2, 2]	[1, 8, 3, 3]	[3, 6, 4, 3]	[6, 3, 3, 3]	[5, 3, 4, 2]	[6, 4, 3, 2]	[7, 2, 2, 3]	[5, 3, 3, 2]	[5, 5, 2, 2]	[6, 4, 3, 2]	[6, 4, 3, 1]	[5, 3, 4, 2]	[3, 1, 6, 2]	[1, 4, 5, 4]
13	[0, 1, 1, 1]	[0, 1, 1, 1]	[0, 1, 1, 1]	[0, 1, 1, 1]	[0, 1, 2, 0]	[0, 0, 3, 0]	[0, 1, 2, 0]	[1, 1, 2, 0]	[0, 2, 2, 0]	[0, 0, 4, 1]	[0, 0, 4, 0]	[0, 1, 2, 1]	[1, 0, 1, 1]	[1, 0, 2, 1]	[1, 1, 0, 2]	[0, 1, 3, 0]	[1, 1, 2, 0]	[0, 4, 1, 0]	[3, 1, 0, 0]	[4, 0, 0, 0]	[2, 2, 0, 2]	[1, 3, 0, 2]	[2, 1, 2, 0]	[2, 1, 1, 2]	[1, 2, 2, 1]	[3, 2, 0, 1]	[1, 2, 2, 0]	[0, 2, 3, 0]	[1, 3, 2, 1]	[0, 5, 0, 2]	[0, 5, 1, 0]	[2, 5, 0, 0]	[2, 5, 0, 0]	[3, 3, 2, 1]	[2, 4, 1, 2]	[3, 4, 1, 2]	[3, 3, 2, 2]	[4, 3, 1, 2]	[4, 4, 1, 2]	[5, 2, 1, 1]	[3, 5, 0, 1]	[4, 3, 4, 3]	[2, 5, 1, 3]	[3, 4, 2, 2]	[4, 5, 0, 1]	[3, 5, 0, 3]	[3, 2, 3, 3]	[4, 3, 3, 1]	[5, 2, 3, 3]	[4, 6, 1, 1]	[4, 3, 3, 4]	[4, 3, 3, 5]	[5, 2, 4, 3]	[5, 3, 3, 2]	[6, 2, 3, 3]	[4, 2, 5, 2]	[5, 2, 1, 4]	[6, 4, 4, 2]	[6, 3, 4, 1]	[4, 3, 4, 2]	[4, 1, 3, 3]	[3, 4, 1, 6]	[3, 2, 5, 4]	[3, 4, 4, 2]	[2, 5, 3, 3]	[2, 6, 2, 3]	[3, 5, 2, 3]	[5, 3, 3, 2]	[4, 4, 3, 1]	[7, 5, 2, 1]	[7, 2, 4, 1]	[8, 2, 4, 0]	[3, 5, 4, 2]	[4, 3, 8, 0]	[5, 3, 6, 0]	[5, 3, 5, 0]	[6, 3, 3, 2]	[6, 1, 3, 5]	[5, 6, 1, 3]	[6, 3, 1, 3]	[5, 4, 2, 3]	[4, 3, 1, 2]	[5, 1, 3, 1]	[5, 1, 4, 0]	[5, 2, 2, 1]	[4, 4, 1, 2]	[4, 5, 1, 3]	[7, 1, 2, 1]
14	[1, 1, 0, 0]	[1, 1, 0, 0]	[2, 2, 0, 2]	[1, 3, 0, 2]	[1, 2, 0, 0]	[3, 1, 0, 1]	[1, 2, 0, 1]	[0, 2, 0, 1]	[1, 0, 2, 0]	[2, 0, 1, 0]	[2, 1, 0, 0]	[2, 2, 0, 0]	[2, 2, 0, 1]	[0, 3, 1, 2]	[1, 1, 2, 1]	[2, 3, 1, 1]	[2, 1, 1, 1]	[0, 2, 3, 0]	[2, 2, 1, 1]	[1, 4, 1, 0]	[3, 2, 1, 0]	[4, 1, 1, 0]	[3, 2, 1, 1]	[3, 3, 2, 1]	[3, 0, 3, 0]	[3, 1, 0, 4]	[2, 2, 0, 4]	[2, 2, 2, 2]	[3, 2, 2, 2]	[2, 2, 4, 0]	[2, 5, 0, 3]	[2, 7, 1, 1]	[3, 4, 2, 3]	[5, 0, 4, 0]	[6, 3, 1, 0]	[3, 4, 1, 2]	[2, 5, 3, 1]	[3, 3, 4, 1]	[3, 2, 3, 2]	[3, 3, 0, 5]	[4, 1, 1, 5]	[1, 2, 2, 3]	[2, 2, 1, 0]	[2, 4, 0, 0]	[2, 3, 1, 1]	[2, 2, 2, 1]	[2, 3, 2, 2]	[5, 2, 1, 1]	[5, 1, 1, 1]	[5, 3, 1, 0]	[6, 2, 3, 0]	[6, 2, 1, 0]	[3, 4, 2, 0]	[3, 4, 2, 1]	[5, 1, 1, 1]	[6, 2, 0, 1]	[6, 1, 0, 2]	[4, 2, 1, 0]	[6, 1, 0, 2]	[7, 2, 0, 1]	[6, 3, 2, 1]	[6, 2, 2, 1]	[8, 2, 2, 1]	[7, 2, 2, 2]	[8, 2, 2, 1]	[8, 3, 3, 1]	[6, 3, 3, 2]	[6, 3, 3, 2]	[4, 7, 1, 6]	[6, 4, 3, 2]	[8, 2, 4, 2]	[5, 5, 4, 4]	[5, 4, 4, 2]	[8, 3, 1, 3]	[7, 3, 3, 2]	[9, 2, 4, 3]	[7, 4, 3, 2]	[7, 3, 1, 5]	[7, 3, 5, 2]	[5, 3, 4, 4]	[5, 2, 5, 4]	[6, 2, 5, 6]	[6, 3, 5, 6]	[7, 0, 6, 7]	[5, 3, 6, 5]	[5, 4, 5, 1]	[5, 4, 4, 1]	[6, 5, 4, 2]
15	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[2, 0, 0, 1]	[2, 0, 0, 0]	[2, 1, 0, 0]	[1, 1, 1, 1]	[2, 0, 2, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 2]	[1, 0, 1, 1]	[2, 0, 1, 1]	[1, 0, 2, 0]	[1, 1, 0, 2]	[2, 0, 2, 3]	[2, 0, 2, 2]	[3, 0, 2, 3]	[2, 1, 3, 3]	[1, 2, 2, 3]	[0, 4, 2, 3]	[1, 3, 2, 4]	[2, 2, 4, 2]	[2, 2, 5, 1]	[2, 3, 1, 5]	[2, 2, 3, 3]	[4, 1, 3, 4]	[3, 3, 2, 3]	[3, 1, 4, 3]	[3, 2, 4, 3]	[4, 1, 5, 3]	[3, 3, 5, 5]	[2, 6, 3, 3]	[4, 4, 2, 5]	[4, 2, 3, 4]	[2, 3, 3, 5]	[4, 3, 1, 4]	[4, 4, 2, 2]	[0, 7, 3, 0]	[2, 6, 6, 2]	[1, 8, 5, 4]	[4, 7, 3, 4]	[4, 5, 5, 2]	[7, 4, 7, 3]	[6, 5, 7, 3]	[7, 8, 1, 3]	[7, 9, 1, 3]	[8, 5, 3, 3]	[7, 7, 4, 3]	[7, 4, 3, 5]	[6, 4, 5, 2]	[8, 5, 2, 3]	[6, 5, 2, 6]	[6, 6, 2, 6]	[3, 6, 7, 4]	[4, 6, 6, 6]	[4, 7, 4, 4]	[5, 5, 4, 6]	[4, 7, 4, 7]	[5, 7, 4, 5]	[4, 7, 4, 6]	[4, 8, 1, 4]	[5, 3, 5, 4]	[5, 4, 5, 4]	[5, 7, 3, 6]	[3, 8, 3, 5]	[5, 5, 3, 7]	[7, 8, 3, 5]	[7, 8, 5, 2]	[7, 5, 2, 3]	[6, 6, 2, 3]	[5, 7, 4, 2]	[6, 6, 2, 3]	[4, 8, 3, 1]	[3, 10, 2, 4]	[5, 7, 4, 2]	[6, 6, 4, 2]	[5, 7, 3, 1]	[6, 6, 3, 1]	[7, 1, 6, 4]	[8, 4, 2, 4]	[5, 5, 4, 4]	[4, 7, 1, 6]	[3, 5, 6, 4]	[5, 5, 7, 2]
16	[1, 0, 2, 0]	[1, 0, 0, 0]	[4, 3, 2, 7]	[21, 7, 5, 2]	[14, 5, 3, 0]	[1, 0, 3, 2]	[5, 3, 4, 1]	[7, 1, 3, 0]	[1, 2, 2, 6]	[3, 1, 1, 2]	[1, 0, 1, 4]	[4, 1, 3, 1]	[1, 1, 2, 8]	[7, 6, 5, 7]	[3, 0, 4, 7]	[1, 3, 3, 5]	[9, 4, 5, 10]	[4, 4, 5, 5]	[4, 3, 4, 1]	[1, 3, 0, 5]	[4, 6, 3, 8]	[2, 5, 7, 4]	[2, 0, 5, 7]	[2, 4, 10, 9]	[3, 4, 7, 4]	[1, 5, 3, 1]	[1, 5, 5, 10]	[3, 1, 3, 4]	[2, 5, 4, 4]	[1, 7, 4, 4]	[3, 2, 7, 10]	[4, 13, 10, 7]	[7, 7, 6, 5]	[5, 5, 5, 7]	[9, 8, 7, 8]	[9, 9, 6, 8]	[8, 9, 8, 8]	[10, 10, 9, 9]	[5, 10, 6, 7]	[4, 4, 5, 6]	[2, 11, 8, 10]	[5, 4, 4, 10]	[4, 6, 2, 9]	[5, 4, 4, 9]	[7, 4, 11, 5]	[6, 3, 6, 8]	[2, 4, 6, 6]	[2, 7, 5, 4]	[1, 6, 7, 4]	[2, 4, 7, 4]	[3, 5, 2, 2]	[4, 2, 4, 2]	[3, 4, 6, 3]	[4, 3, 4, 4]	[2, 6, 3, 2]	[4, 5, 0, 1]	[4, 4, 1, 3]	[5, 1, 3, 5]	[4, 2, 3, 5]	[4, 2, 4, 5]	[4, 3, 5, 3]	[2, 6, 4, 4]	[2, 7, 5, 1]	[4, 6, 5, 3]	[6, 6, 5, 1]	[7, 4, 7, 7]	[8, 8, 1, 8]	[4, 10, 6, 7]	[9, 6, 6, 5]	[5, 8, 13, 3]	[5, 7, 7, 4]	[5, 8, 2, 7]	[2, 8, 7, 5]	[7, 6, 3, 7]	[5, 5, 6, 6]	[4, 7, 3, 5]	[2, 8, 5, 6]	[4, 8, 2, 6]	[5, 3, 4, 8]	[5, 4, 3, 4]	[5, 4, 4, 5]	[4, 4, 4, 7]	[5, 3, 2, 6]	[5, 3, 5, 4]	[2, 9, 5, 4]	[5, 5, 4, 6]	[3, 7, 8, 8]	[5, 8, 5, 3]
17	[2, 1, 0, 1]	[1, 1, 0, 2]	[0, 3, 0, 2]	[0, 3, 0, 1]	[0, 2, 1, 1]	[1, 0, 2, 2]	[2, 0, 1, 3]	[1, 0, 1, 4]	[0, 1, 1, 3]	[1, 2, 2, 0]	[2, 2, 1, 1]	[3, 1, 0, 1]	[3, 1, 2, 0]	[4, 0, 1, 0]	[2, 2, 0, 1]	[3, 1, 1, 2]	[3, 1, 0, 1]	[1, 3, 2, 0]	[3, 1, 2, 1]	[2, 2, 1, 1]	[1, 2, 3, 2]	[2, 1, 3, 1]	[2, 2, 3, 0]	[1, 3, 3, 0]	[2, 2, 2, 1]	[1, 1, 2, 0]	[3, 1, 3, 1]	[2, 1, 0, 2]	[3, 0, 2, 2]	[1, 1, 3, 2]	[1, 1, 4, 3]	[2, 0, 2, 1]	[2, 1, 0, 2]	[2, 1, 1, 4]	[1, 1, 0, 4]	[1, 2, 2, 2]	[2, 4, 3, 1]	[1, 3, 3, 3]	[2, 2, 1, 8]	[1, 3, 1, 5]	[5, 5, 3, 3]	[2, 2, 9, 1]	[4, 4, 2, 5]	[4, 11, 5, 10]	[3, 8, 5, 10]	[6, 6, 2, 4]	[8, 6, 6, 5]	[6, 9, 8, 10]	[9, 9, 6, 10]	[9, 6, 6, 10]	[4, 14, 8, 2]	[8, 8, 9, 8]	[10, 9, 11, 8]	[10, 10, 7, 16]	[8, 8, 8, 10]	[12, 12, 5, 5]	[12, 12, 12, 11]	[10, 8, 10, 16]	[7, 9, 10, 10]	[8, 12, 11, 16]	[10, 12, 16, 13]	[10, 4, 8, 16]	[10, 9, 13, 15]	[13, 9, 15, 18]	[12, 5, 12, 17]	[7, 6, 18, 11]	[10, 5, 14, 11]	[10, 9, 14, 10]	[10, 8, 13, 13]	[6, 14, 21, 12]	[8, 7, 17, 22]	[10, 8, 15, 20]	[9, 10, 11, 9]	[12, 13, 9, 7]	[15, 15, 16, 12]	[15, 9, 9, 7]	[15, 13, 9, 9]	[7, 17, 10, 10]	[12, 11, 6, 9]	[9, 10, 13, 9]	[12, 8, 9, 12]	[12, 10, 7, 9]	[11, 17, 7, 9]	[13, 13, 13, 7]	[9, 10, 10, 13]	[9, 11, 13, 11]	[11, 11, 16, 14]	[11, 13, 10, 15]
18	[3, 0, 1, 2]	[3, 0, 0, 3]	[2, 2, 2, 1]	[2, 2, 2, 1]	[2, 2, 1, 2]	[2, 2, 0, 3]	[1, 2, 3, 0]	[1, 3, 1, 0]	[2, 2, 0, 1]	[1, 1, 3, 1]	[1, 2, 1, 1]	[1, 2, 1, 1]	[3, 2, 0, 0]	[4, 0, 1, 0]	[3, 2, 1, 2]	[4, 2, 1, 2]	[4, 1, 0, 1]	[3, 2, 2, 1]	[3, 1, 2, 3]	[5, 1, 0, 1]	[5, 1, 1, 0]	[5, 2, 0, 0]	[5, 1, 1, 2]	[4, 1, 0, 3]	[3, 3, 1, 1]	[2, 3, 0, 1]	[1, 4, 0, 1]	[1, 4, 4, 2]	[2, 4, 3, 3]	[3, 2, 2, 3]	[2, 4, 3, 3]	[3, 3, 2, 1]	[1, 3, 1, 4]	[1, 4, 3, 4]	[1, 6, 4, 1]	[0, 3, 4, 2]	[1, 4, 2, 1]	[1, 4, 2, 1]	[3, 4, 1, 1]	[4, 3, 0, 1]	[4, 4, 0, 2]	[3, 3, 3, 3]	[3, 5, 2, 1]	[4, 5, 0, 2]	[2, 6, 1, 1]	[3, 4, 4, 3]	[0, 5, 2, 5]	[3, 5, 0, 3]	[2, 6, 2, 1]	[3, 5, 1, 2]	[4, 4, 3, 4]	[4, 6, 4, 3]	[6, 5, 4, 2]	[6, 4, 2, 3]	[6, 3, 3, 4]	[7, 3, 1, 5]	[6, 3, 5, 3]	[8, 6, 2, 5]	[6, 4, 2, 5]	[6, 5, 3, 4]	[6, 6, 4, 2]	[8, 5, 1, 2]	[8, 5, 2, 1]	[6, 6, 2, 3]	[6, 4, 4, 3]	[7, 3, 6, 4]	[5, 6, 4, 3]	[6, 5, 3, 1]	[6, 7, 4, 4]	[7, 6, 2, 3]	[9, 4, 1, 5]	[7, 4, 6, 5]	[5, 5, 4, 3]	[10, 3, 5, 5]	[5, 6, 6, 5]	[7, 4, 4, 5]	[9, 3, 4, 4]	[9, 2, 6, 5]	[7, 3, 6, 3]	[7, 4, 5, 5]	[6, 6, 5, 3]	[4, 9, 5, 4]	[7, 6, 9, 5]	[6, 6, 6, 6]	[7, 4, 6, 5]	[8, 4, 2, 5]	[5, 3, 5, 5]	[9, 1, 2, 5]
19	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[0, 1, 0, 1]	[0, 1, 0, 0]	[0, 2, 0, 1]	[0, 1, 1, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[0, 2, 0, 1]	[1, 1, 1, 2]	[0, 4, 1, 0]	[2, 1, 2, 0]	[1, 4, 1, 1]	[1, 3, 0, 0]	[2, 1, 2, 1]	[3, 1, 0, 1]	[2, 3, 0, 1]	[4, 0, 1, 0]	[2, 2, 2, 1]	[2, 2, 3, 1]	[2, 4, 2, 1]	[1, 6, 1, 0]	[3, 4, 1, 0]	[3, 3, 0, 2]	[3, 4, 1, 0]	[8, 2, 1, 1]	[7, 4, 0, 0]	[4, 5, 3, 0]	[6, 3, 4, 1]	[3, 4, 2, 2]	[5, 2, 1, 3]	[2, 4, 1, 3]	[4, 3, 2, 2]	[5, 3, 1, 2]	[5, 2, 2, 2]	[4, 3, 2, 3]	[5, 4, 1, 0]	[5, 2, 3, 0]	[2, 3, 2, 2]	[2, 3, 1, 4]	[4, 2, 1, 3]	[3, 2, 0, 5]	[2, 3, 3, 2]	[1, 5, 1, 3]	[3, 3, 1, 2]	[3, 3, 2, 2]	[3, 5, 0, 2]	[1, 5, 1, 6]	[2, 3, 4, 2]	[2, 4, 2, 2]	[2, 5, 2, 2]	[0, 3, 5, 4]	[1, 6, 2, 6]	[1, 4, 5, 2]	[1, 4, 3, 4]	[1, 4, 3, 3]	[2, 4, 6, 2]	[2, 7, 3, 3]	[5, 5, 0, 7]	[3, 6, 1, 3]	[3, 4, 3, 3]	[2, 8, 2, 6]	[5, 7, 4, 1]	[5, 6, 2, 3]	[5, 5, 4, 3]	[5, 8, 4, 4]	[4, 4, 6, 2]	[5, 6, 4, 4]	[5, 7, 5, 2]	[10, 4, 8, 4]	[9, 6, 4, 5]	[9, 3, 3, 5]	[10, 4, 3, 4]	[5, 7, 5, 4]	[6, 5, 6, 7]	[4, 10, 7, 5]	[5, 9, 5, 5]	[7, 8, 4, 7]	[9, 11, 3, 5]	[9, 5, 6, 4]	[8, 7, 2, 5]	[5, 10, 3, 5]	[5, 9, 4, 4]	[6, 10, 7, 4]	[8, 3, 8, 2]
20	[1, 0, 1, 1]	[1, 0, 1, 1]	[1, 1, 0, 1]	[1, 1, 0, 1]	[1, 1, 0, 1]	[2, 0, 1, 1]	[3, 0, 1, 1]	[2, 1, 1, 1]	[1, 2, 0, 1]	[0, 3, 1, 1]	[0, 3, 1, 2]	[1, 0, 3, 1]	[1, 0, 1, 1]	[0, 2, 2, 0]	[1, 1, 2, 0]	[1, 1, 1, 0]	[0, 2, 0, 1]	[0, 2, 1, 2]	[0, 1, 1, 0]	[2, 1, 0, 0]	[1, 0, 0, 0]	[1, 1, 1, 3]	[0, 0, 0, 2]	[0, 1, 2, 1]	[0, 0, 0, 1]	[2, 1, 1, 1]	[0, 1, 0, 1]	[2, 0, 2, 0]	[1, 1, 0, 2]	[2, 1, 0, 3]	[1, 4, 1, 2]	[1, 3, 0, 1]	[2, 3, 3, 0]	[4, 0, 0, 2]	[5, 0, 0, 2]	[4, 0, 1, 2]	[4, 1, 0, 1]	[5, 0, 1, 2]	[3, 1, 3, 1]	[2, 1, 2, 0]	[2, 0, 3, 1]	[1, 1, 0, 1]	[1, 0, 2, 1]	[0, 1, 2, 2]	[1, 3, 1, 0]	[1, 1, 1, 1]	[1, 1, 1, 1]	[2, 1, 1, 1]	[1, 1, 2, 0]	[0, 3, 2, 1]	[1, 0, 2, 1]	[1, 1, 0, 3]	[1, 2, 1, 2]	[1, 0, 5, 1]	[1, 4, 3, 3]	[2, 3, 0, 3]	[1, 3, 2, 2]	[2, 0, 2, 2]	[2, 2, 3, 2]	[2, 3, 2, 3]	[5, 0, 2, 1]	[3, 0, 2, 5]	[1, 2, 2, 2]	[2, 3, 2, 0]	[1, 3, 3, 1]	[2, 1, 1, 5]	[3, 2, 5, 2]	[1, 4, 5, 2]	[2, 7, 2, 2]	[2, 4, 1, 0]	[1, 4, 4, 2]	[3, 4, 0, 2]	[3, 3, 0, 2]	[3, 3, 3, 3]	[4, 1, 2, 1]	[2, 1, 2, 1]	[1, 3, 1, 3]	[3, 2, 3, 2]	[3, 4, 2, 4]	[5, 1, 2, 4]	[1, 3, 2, 0]	[3, 2, 1, 1]	[3, 2, 0, 0]	[4, 4, 1, 0]	[5, 3, 1, 2]	[4, 2, 4, 1]	[3, 2, 1, 0]	[1, 2, 0, 1]
21	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 1, 0, 1]	[1, 1, 0, 2]	[1, 1, 3, 0]	[0, 2, 0, 1]	[0, 3, 1, 2]	[0, 1, 1, 1]	[1, 1, 2, 1]	[0, 2, 0, 0]	[1, 1, 0, 1]	[1, 1, 0, 0]	[0, 3, 1, 0]	[1, 1, 3, 1]	[0, 2, 2, 3]	[0, 1, 1, 2]	[0, 1, 2, 0]	[1, 1, 1, 1]	[0, 2, 2, 0]	[0, 2, 1, 0]	[1, 4, 0, 1]	[1, 2, 1, 1]	[1, 3, 2, 1]	[0, 4, 1, 0]	[1, 4, 1, 2]	[0, 4, 0, 1]	[2, 1, 3, 2]	[5, 3, 3, 1]	[3, 3, 2, 0]	[3, 3, 2, 1]	[3, 1, 0, 2]	[3, 1, 0, 2]	[4, 2, 1, 0]	[4, 1, 0, 0]	[2, 3, 0, 0]	[4, 2, 1, 0]	[2, 2, 2, 0]	[4, 1, 2, 2]	[2, 1, 1, 2]	[2, 1, 2, 2]	[2, 1, 0, 2]	[1, 2, 2, 0]	[1, 2, 0, 0]	[1, 2, 0, 0]	[1, 2, 1, 0]	[2, 0, 1, 0]	[3, 1, 3, 3]	[1, 1, 2, 2]	[1, 1, 4, 2]	[1, 6, 1, 5]	[4, 5, 1, 3]	[3, 3, 1, 1]	[4, 2, 4, 3]	[6, 6, 0, 0]	[2, 5, 2, 1]	[5, 4, 3, 2]	[3, 2, 5, 2]	[3, 3, 3, 2]	[3, 4, 3, 3]	[2, 5, 2, 6]	[2, 6, 3, 3]	[1, 4, 2, 2]	[1, 3, 2, 2]	[1, 7, 3, 0]	[4, 5, 4, 4]	[5, 4, 0, 2]	[4, 6, 1, 3]	[3, 3, 0, 5]	[3, 2, 0, 4]	[3, 3, 3, 3]	[5, 2, 3, 2]	[4, 2, 2, 3]	[2, 2, 4, 2]	[3, 2, 2, 1]	[3, 2, 3, 5]	[4, 2, 1, 2]	[2, 4, 1, 2]	[2, 2, 2, 2]	[3, 1, 5, 2]	[2, 3, 2, 1]	[1, 2, 3, 1]	[2, 3, 2, 0]	[2, 2, 3, 0]	[3, 5, 2, 2]	[3, 2, 3, 0]	[4, 1, 3, 1]	[3, 4, 2, 1]	[2, 2, 1, 1]
22	[2, 0, 8, 2]	[1, 1, 2, 0]	[13, 9, 4, 7]	[4, 7, 3, 1]	[1, 2, 2, 2]	[3, 4, 6, 3]	[10, 5, 7, 5]	[4, 1, 2, 3]	[3, 1, 2, 2]	[1, 3, 4, 2]	[4, 1, 2, 0]	[5, 2, 3, 2]	[1, 1, 2, 0]	[3, 7, 3, 3]	[0, 0, 1, 4]	[0, 1, 1, 5]	[0, 2, 7, 5]	[3, 0, 3, 0]	[1, 2, 1, 4]	[0, 1, 2, 2]	[1, 1, 2, 5]	[3, 1, 1, 4]	[2, 0, 3, 4]	[4, 2, 2, 4]	[4, 5, 2, 5]	[1, 4, 5, 2]	[6, 2, 0, 5]	[1, 0, 3, 1]	[1, 2, 2, 4]	[4, 3, 4, 4]	[3, 0, 2, 2]	[0, 1, 4, 2]	[1, 3, 1, 6]	[2, 1, 0, 4]	[1, 1, 3, 2]	[5, 1, 1, 7]	[2, 0, 4, 2]	[1, 2, 1, 3]	[3, 4, 2, 0]	[2, 1, 1, 2]	[3, 3, 1, 2]	[0, 2, 3, 2]	[2, 1, 1, 3]	[2, 3, 1, 3]	[2, 1, 3, 3]	[1, 9, 1, 2]	[3, 1, 3, 3]	[3, 1, 5, 3]	[5, 0, 2, 1]	[2, 1, 0, 1]	[5, 3, 4, 1]	[3, 6, 0, 4]	[3, 1, 3, 2]	[4, 0, 4, 1]	[5, 1, 3, 4]	[6, 1, 1, 4]	[4, 1, 4, 7]	[3, 1, 4, 3]	[4, 4, 1, 3]	[4, 3, 3, 3]	[5, 2, 5, 3]	[2, 2, 2, 2]	[3, 7, 2, 0]	[3, 1, 4, 0]	[5, 2, 4, 4]	[1, 1, 3, 2]	[2, 0, 3, 2]	[4, 0, 3, 1]	[2, 1, 1, 0]	[1, 4, 3, 3]	[1, 0, 3, 1]	[1, 0, 5, 3]	[2, 4, 3, 5]	[3, 1, 2, 6]	[4, 2, 4, 3]	[5, 2, 2, 3]	[3, 0, 2, 4]	[1, 2, 0, 3]	[1, 1, 2, 3]	[2, 2, 1, 6]	[4, 3, 1, 3]	[2, 1, 3, 3]	[3, 1, 1, 2]	[2, 0, 0, 2]	[3, 1, 2, 3]	[3, 3, 1, 3]	[2, 0, 3, 5]	[1, 3, 1, 3]
