hour	Museum of Science & Industry	S Hyde Park & 56th Street	55th Street & Hyde Park Blvd	55th Street & Lake Park	55th Street & Blackstone	55th Street & Dorchester	55th Street & Kenwood	55th Street & Kimbark	55th Street & Woodlawn	55th Street & University	55th Street & Ellis	55th Street & Drexel	55th Street & Cottage Grove	55th Street & Payne Drive	Morgan Drive & Russell Drive	Garfield & King Drive	Garfield Green Line Station	Garfield & Indiana	Garfield & Michigan	Garfield & State	Garfield & LaSalle	Garfield Red Line Station	Garfield & Princeton	Garfield & Normal	Garfield & Lowe	Garfield & Union	Garfield & Halsted	Garfield & Peoria	Garfield & Morgan	Garfield & Aberdeen	Garfield & Racine	Garfield & Throop	Garfield & Loomis	Garfield & Laflin	Garfield & Ashland	Garfield & Paulina	Garfield & Wood	Garfield & Wolcott	Garfield & Damen	Garfield & Hoyne	Garfield & Hamilton	Garfield & Oakley	55th Street & Western Avenue	55th Street & Artesian	55th Street & Rockwell	55th Street & Washtenaw	55th Street & California	55th Street & Francisco	55th Street & Sacramento	55th Street & Albany	55th Street & Kedzie	55th Street & Spaulding	55th Street & Homan	55th Street & St. Louis	55th Street & Central Park	55th Street & Lawndale	55th Street & Hamlin	55th Street & Springfield	55th Street & Pulaski	55th Street & Karlov	55th Street & Keeler	55th Street & Kildare	55th Street & Kostner	55th Street & Kilbourn	4600 W 55th Street	55th Street & Kilpatrick	Midway Orange Line Station
10	[0, 0, 0, 0]	[0, 1, 0, 1]	[1, 1, 0, 0]	[0, 2, 0, 0]	[0, 0, 2, 0]	[0, 0, 3, 0]	[0, 2, 0, 1]	[0, 1, 0, 1]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 2, 0]	[0, 1, 1, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[0, 1, 2, 0]	[0, 2, 0, 1]	[3, 0, 0, 0]	[0, 2, 1, 0]	[1, 1, 0, 0]	[2, 0, 1, 1]	[2, 0, 1, 0]	[1, 2, 1, 1]	[4, 1, 1, 0]	[1, 3, 1, 0]	[3, 1, 1, 0]	[1, 3, 2, 0]	[2, 2, 0, 1]	[3, 0, 2, 1]	[3, 0, 1, 1]	[3, 0, 2, 2]	[2, 3, 3, 2]	[1, 1, 3, 3]	[2, 2, 3, 2]	[2, 2, 3, 3]	[4, 2, 2, 2]	[3, 2, 4, 3]	[3, 1, 6, 2]	[4, 0, 3, 3]	[2, 4, 2, 5]	[3, 1, 5, 5]	[2, 3, 3, 4]	[3, 4, 2, 3]	[2, 3, 2, 5]	[3, 2, 4, 4]	[3, 2, 4, 2]	[3, 4, 4, 2]	[5, 2, 4, 4]	[4, 4, 5, 2]	[3, 4, 3, 5]	[3, 3, 6, 3]	[4, 1, 4, 4]	[5, 3, 2, 4]	[3, 2, 3, 7]	[3, 3, 5, 1]	[3, 3, 4, 3]	[5, 3, 2, 3]	[7, 1, 3, 2]	[5, 4, 0, 3]	[4, 2, 1, 3]	[2, 4, 1, 4]	[4, 3, 2, 5]	[4, 2, 5, 5]	[3, 3, 3, 6]	[3, 5, 1, 5]	[4, 4, 2, 5]	[3, 3, 2, 7]	[1, 0, 1, 0]
11	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[1, 0, 1, 0]	[1, 0, 1, 0]	[1, 1, 1, 0]	[1, 1, 2, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 3, 1, 0]	[0, 2, 0, 1]	[1, 0, 0, 2]	[0, 1, 1, 1]	[0, 0, 1, 1]	[0, 2, 1, 0]	[2, 0, 1, 1]	[2, 0, 0, 3]	[1, 1, 1, 1]	[0, 3, 2, 1]	[1, 2, 1, 1]	[1, 3, 0, 2]	[3, 0, 1, 1]	[3, 0, 3, 2]	[2, 1, 2, 4]	[3, 1, 4, 4]	[3, 2, 1, 3]	[4, 1, 1, 1]	[4, 1, 1, 4]	[4, 1, 1, 4]	[4, 1, 2, 2]	[3, 1, 3, 0]	[4, 2, 2, 0]	[4, 3, 0, 1]	[3, 4, 0, 1]	[3, 3, 2, 1]	[5, 3, 2, 0]	[4, 1, 2, 2]	[4, 2, 1, 0]	[3, 3, 2, 0]	[2, 2, 3, 0]	[2, 3, 2, 1]	[2, 2, 4, 1]	[2, 1, 1, 3]	[1, 0, 1, 2]	[1, 0, 0, 2]	[1, 0, 0, 2]	[0, 0, 2, 2]	[0, 2, 0, 3]	[0, 2, 1, 2]	[0, 2, 1, 1]	[1, 3, 0, 3]	[3, 2, 1, 3]	[3, 2, 5, 1]	[2, 2, 2, 7]	[1, 1, 2, 2]
12	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 3]	[0, 0, 1, 3]	[0, 0, 1, 4]	[0, 0, 3, 3]	[0, 0, 5, 1]	[1, 1, 5, 0]	[1, 1, 3, 1]	[1, 2, 1, 5]	[2, 1, 1, 4]	[2, 1, 2, 2]	[1, 2, 3, 3]	[1, 3, 2, 3]	[2, 0, 1, 4]	[1, 3, 1, 1]	[1, 2, 2, 2]	[1, 2, 4, 1]	[1, 1, 5, 1]	[2, 0, 4, 1]	[1, 2, 4, 2]	[1, 6, 1, 1]	[0, 5, 3, 2]	[2, 2, 3, 2]	[1, 4, 3, 2]	[2, 1, 4, 2]	[2, 2, 3, 3]	[2, 3, 3, 3]	[2, 3, 2, 1]	[1, 1, 5, 3]	[1, 3, 4, 2]	[2, 2, 2, 5]	[1, 4, 2, 4]	[2, 1, 6, 3]	[2, 3, 5, 2]	[1, 4, 4, 5]	[2, 4, 2, 5]	[2, 4, 4, 0]	[2, 4, 3, 2]	[2, 4, 3, 3]	[2, 4, 1, 5]	[3, 3, 2, 0]	[1, 6, 0, 2]	[3, 2, 3, 1]	[4, 1, 3, 3]	[1, 6, 1, 2]	[2, 5, 2, 4]	[3, 4, 3, 3]	[4, 5, 1, 5]	[5, 3, 4, 6]	[5, 3, 5, 2]	[4, 3, 6, 3]	[3, 6, 3, 5]	[0, 1, 0, 1]
13	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 2, 0]	[1, 0, 0, 1]	[1, 0, 0, 2]	[1, 0, 1, 1]	[1, 0, 1, 2]	[0, 2, 0, 2]	[0, 1, 2, 2]	[1, 1, 1, 3]	[1, 1, 0, 3]	[1, 1, 3, 3]	[0, 1, 2, 4]	[2, 0, 2, 4]	[2, 0, 4, 2]	[2, 0, 3, 4]	[1, 2, 1, 3]	[1, 4, 3, 4]	[2, 2, 4, 3]	[4, 2, 5, 3]	[3, 6, 5, 4]	[3, 3, 4, 6]	[4, 7, 2, 6]	[5, 6, 3, 5]	[5, 6, 4, 9]	[6, 6, 4, 7]	[7, 6, 3, 6]	[8, 8, 1, 8]	[8, 7, 6, 6]	[9, 6, 3, 10]	[8, 3, 7, 9]	[10, 2, 5, 8]	[8, 1, 7, 9]	[7, 5, 4, 11]	[3, 9, 6, 4]	[6, 8, 7, 5]	[5, 9, 6, 3]	[5, 6, 8, 6]	[5, 5, 9, 6]	[6, 6, 7, 6]	[5, 6, 10, 5]	[4, 8, 6, 7]	[6, 5, 7, 8]	[6, 6, 9, 5]	[6, 6, 6, 8]	[7, 9, 3, 7]	[7, 3, 13, 6]	[7, 5, 9, 5]	[5, 5, 10, 6]	[6, 9, 8, 6]	[8, 5, 10, 7]	[7, 7, 6, 7]	[6, 7, 8, 4]	[5, 6, 4, 7]	[5, 5, 8, 4]	[7, 3, 8, 4]	[6, 6, 5, 6]	[5, 5, 6, 4]	[5, 8, 4, 2]	[2, 5, 4, 6]	[3, 6, 2, 5]	[5, 2, 5, 3]	[3, 5, 4, 1]	[6, 3, 3, 2]	[6, 3, 4, 1]	[4, 8, 1, 4]	[0, 0, 0, 1]
14	[1, 0, 2, 0]	[2, 0, 1, 2]	[1, 0, 2, 2]	[2, 1, 1, 4]	[2, 0, 2, 4]	[2, 1, 2, 5]	[2, 2, 0, 4]	[1, 3, 0, 4]	[1, 2, 2, 2]	[1, 2, 2, 5]	[2, 2, 2, 3]	[3, 3, 1, 0]	[3, 2, 1, 2]	[2, 2, 2, 4]	[1, 4, 2, 5]	[2, 1, 7, 4]	[1, 4, 4, 3]	[2, 2, 4, 3]	[1, 3, 5, 2]	[0, 7, 0, 8]	[2, 2, 3, 7]	[4, 4, 0, 7]	[4, 0, 2, 6]	[5, 1, 4, 2]	[4, 2, 4, 4]	[3, 3, 4, 3]	[3, 3, 5, 5]	[4, 4, 1, 4]	[1, 3, 4, 5]	[1, 4, 5, 6]	[2, 4, 5, 3]	[3, 2, 5, 7]	[4, 4, 3, 8]	[4, 1, 3, 4]	[1, 5, 4, 5]	[3, 2, 4, 2]	[1, 3, 4, 1]	[4, 3, 2, 3]	[0, 5, 4, 1]	[2, 7, 3, 5]	[0, 8, 2, 6]	[3, 7, 3, 7]	[4, 3, 3, 6]	[4, 3, 6, 2]	[1, 3, 4, 5]	[3, 4, 4, 6]	[2, 3, 7, 3]	[4, 1, 5, 7]	[3, 2, 5, 6]	[3, 2, 5, 6]	[3, 2, 2, 7]	[3, 2, 4, 5]	[0, 4, 5, 5]	[2, 3, 3, 5]	[2, 3, 1, 4]	[2, 1, 3, 4]	[3, 2, 3, 2]	[2, 3, 3, 1]	[1, 4, 5, 1]	[4, 6, 4, 4]	[4, 5, 4, 4]	[5, 6, 4, 1]	[7, 4, 2, 4]	[5, 7, 2, 5]	[5, 6, 4, 7]	[4, 7, 4, 6]	[0, 0, 0, 0]
15	[0, 1, 1, 3]	[0, 3, 0, 7]	[1, 0, 4, 7]	[0, 3, 7, 5]	[1, 4, 7, 8]	[3, 4, 6, 9]	[4, 4, 5, 10]	[5, 6, 7, 7]	[4, 9, 4, 8]	[10, 5, 3, 4]	[8, 9, 1, 5]	[8, 8, 2, 8]	[7, 6, 7, 8]	[6, 9, 9, 11]	[9, 9, 8, 10]	[9, 10, 8, 12]	[16, 3, 9, 10]	[16, 10, 9, 13]	[10, 18, 6, 10]	[13, 16, 9, 19]	[17, 15, 19, 10]	[17, 14, 9, 20]	[16, 15, 14, 15]	[17, 15, 21, 9]	[15, 15, 20, 10]	[18, 16, 16, 6]	[17, 21, 11, 9]	[17, 16, 11, 14]	[19, 13, 12, 16]	[18, 15, 16, 9]	[21, 12, 16, 14]	[18, 16, 16, 13]	[21, 13, 12, 13]	[17, 21, 8, 12]	[14, 16, 15, 15]	[15, 15, 14, 17]	[18, 18, 5, 15]	[20, 14, 11, 9]	[18, 16, 10, 15]	[17, 21, 7, 17]	[16, 22, 11, 16]	[20, 14, 11, 16]	[15, 23, 13, 10]	[16, 23, 12, 12]	[19, 20, 8, 13]	[19, 20, 7, 14]	[17, 11, 12, 14]	[16, 10, 15, 13]	[14, 9, 12, 18]	[12, 13, 15, 12]	[4, 11, 14, 16]	[9, 7, 17, 13]	[6, 13, 8, 19]	[8, 8, 9, 14]	[12, 6, 7, 4]	[6, 9, 3, 9]	[7, 7, 5, 4]	[7, 5, 11, 5]	[9, 4, 5, 6]	[8, 5, 6, 9]	[11, 4, 7, 7]	[9, 5, 6, 7]	[8, 6, 2, 9]	[11, 2, 8, 10]	[11, 5, 7, 9]	[9, 5, 6, 10]	[0, 1, 0, 1]
16	[9, 9, 5, 8]	[9, 9, 6, 8]	[6, 11, 10, 10]	[7, 12, 5, 13]	[11, 8, 13, 8]	[13, 10, 6, 9]	[15, 11, 5, 7]	[12, 13, 5, 11]	[19, 4, 9, 9]	[18, 6, 11, 14]	[19, 7, 7, 15]	[20, 7, 10, 5]	[14, 9, 11, 17]	[16, 10, 9, 12]	[15, 12, 12, 12]	[14, 15, 9, 9]	[18, 12, 12, 9]	[16, 12, 11, 16]	[18, 14, 9, 12]	[20, 15, 12, 14]	[19, 18, 14, 11]	[19, 14, 10, 13]	[16, 18, 14, 9]	[24, 12, 18, 12]	[20, 15, 14, 13]	[19, 14, 22, 13]	[17, 21, 22, 14]	[23, 15, 20, 15]	[25, 13, 19, 18]	[27, 15, 16, 12]	[26, 20, 12, 19]	[23, 15, 20, 17]	[21, 14, 19, 22]	[19, 18, 19, 19]	[18, 20, 14, 16]	[20, 17, 14, 15]	[19, 11, 21, 15]	[18, 18, 9, 19]	[18, 19, 11, 13]	[16, 22, 17, 14]	[18, 19, 16, 16]	[21, 14, 14, 14]	[17, 14, 15, 15]	[15, 16, 14, 13]	[13, 16, 13, 24]	[16, 12, 14, 14]	[17, 10, 18, 15]	[16, 15, 13, 19]	[14, 17, 20, 17]	[15, 15, 18, 18]	[21, 22, 19, 14]	[17, 28, 13, 18]	[12, 25, 16, 18]	[13, 14, 15, 17]	[9, 6, 6, 7]	[10, 6, 7, 1]	[10, 8, 4, 5]	[11, 5, 4, 6]	[8, 11, 3, 3]	[14, 6, 4, 3]	[12, 8, 2, 4]	[13, 4, 5, 3]	[10, 10, 1, 7]	[12, 7, 4, 4]	[7, 10, 5, 2]	[11, 8, 5, 4]	[3, 5, 1, 5]
17	[1, 3, 6, 3]	[1, 6, 1, 6]	[0, 6, 4, 6]	[2, 5, 4, 3]	[3, 8, 3, 4]	[6, 4, 3, 6]	[6, 4, 5, 6]	[7, 3, 4, 6]	[7, 4, 4, 7]	[8, 5, 7, 4]	[7, 6, 9, 3]	[9, 5, 8, 9]	[7, 11, 5, 8]	[10, 6, 11, 7]	[8, 11, 9, 7]	[11, 10, 8, 7]	[15, 10, 12, 6]	[17, 11, 10, 6]	[17, 12, 8, 7]	[15, 15, 13, 6]	[16, 11, 13, 11]	[13, 17, 18, 10]	[19, 25, 16, 8]	[20, 27, 15, 8]	[17, 25, 18, 10]	[21, 20, 17, 12]	[24, 21, 19, 11]	[26, 23, 15, 9]	[25, 22, 14, 9]	[21, 25, 15, 9]	[21, 25, 16, 10]	[25, 21, 22, 6]	[31, 18, 14, 12]	[29, 22, 15, 9]	[27, 23, 15, 12]	[25, 23, 14, 16]	[28, 20, 22, 11]	[26, 19, 21, 14]	[24, 27, 20, 12]	[27, 28, 22, 7]	[30, 24, 21, 8]	[29, 22, 26, 7]	[25, 26, 19, 15]	[28, 26, 19, 8]	[27, 19, 22, 17]	[26, 28, 19, 17]	[24, 22, 27, 11]	[33, 21, 20, 12]	[31, 21, 18, 16]	[34, 24, 13, 13]	[27, 23, 16, 12]	[29, 23, 15, 12]	[24, 26, 16, 16]	[21, 17, 13, 17]	[2, 9, 7, 3]	[5, 5, 10, 3]	[6, 9, 8, 9]	[2, 12, 11, 2]	[5, 13, 6, 5]	[6, 11, 6, 3]	[5, 11, 8, 2]	[7, 7, 7, 3]	[9, 7, 2, 5]	[7, 10, 4, 4]	[6, 12, 5, 3]	[7, 9, 5, 8]	[0, 1, 1, 1]
18	[2, 0, 1, 1]	[0, 2, 1, 0]	[2, 0, 1, 0]	[2, 0, 1, 3]	[1, 2, 0, 5]	[0, 2, 3, 3]	[1, 1, 2, 5]	[1, 2, 2, 3]	[1, 3, 1, 4]	[2, 3, 2, 3]	[4, 3, 4, 3]	[3, 1, 1, 5]	[3, 1, 1, 3]	[2, 3, 4, 3]	[2, 2, 6, 4]	[1, 5, 2, 4]	[2, 3, 4, 6]	[5, 2, 5, 3]	[5, 5, 6, 1]	[5, 3, 2, 4]	[6, 2, 4, 6]	[3, 7, 5, 7]	[5, 5, 10, 5]	[12, 3, 6, 8]	[9, 5, 7, 7]	[12, 5, 9, 4]	[11, 4, 12, 2]	[7, 8, 14, 2]	[9, 9, 10, 4]	[8, 13, 7, 9]	[9, 14, 10, 5]	[8, 18, 8, 6]	[12, 10, 10, 9]	[12, 11, 7, 12]	[14, 14, 8, 15]	[12, 19, 12, 9]	[15, 19, 15, 6]	[17, 19, 13, 10]	[20, 12, 15, 12]	[22, 9, 16, 15]	[21, 12, 14, 12]	[20, 13, 11, 10]	[22, 11, 12, 13]	[21, 11, 12, 6]	[18, 12, 8, 11]	[18, 11, 12, 12]	[18, 13, 12, 17]	[19, 9, 13, 21]	[13, 12, 14, 17]	[19, 8, 19, 9]	[19, 14, 17, 11]	[16, 15, 16, 14]	[18, 16, 16, 11]	[25, 10, 15, 9]	[12, 9, 9, 5]	[16, 7, 5, 7]	[15, 12, 4, 11]	[10, 13, 5, 7]	[4, 12, 11, 8]	[3, 13, 12, 10]	[5, 11, 10, 8]	[5, 8, 12, 10]	[4, 15, 7, 13]	[5, 9, 11, 12]	[6, 10, 11, 7]	[5, 7, 13, 10]	[1, 2, 1, 0]
19	[1, 1, 0, 3]	[1, 1, 1, 2]	[2, 0, 1, 1]	[1, 1, 1, 1]	[2, 0, 1, 1]	[2, 0, 1, 1]	[1, 1, 0, 2]	[1, 2, 0, 1]	[2, 2, 1, 2]	[4, 1, 0, 4]	[2, 2, 0, 3]	[2, 4, 0, 5]	[1, 3, 2, 3]	[2, 3, 3, 1]	[3, 4, 2, 1]	[1, 4, 4, 4]	[4, 1, 4, 2]	[3, 3, 2, 3]	[1, 6, 3, 3]	[2, 2, 4, 3]	[2, 2, 5, 2]	[2, 3, 3, 1]	[2, 5, 2, 4]	[2, 3, 6, 5]	[4, 3, 3, 4]	[6, 4, 3, 2]	[5, 3, 3, 2]	[7, 3, 3, 4]	[7, 2, 4, 4]	[5, 2, 5, 1]	[6, 1, 4, 4]	[7, 2, 5, 3]	[3, 5, 2, 4]	[4, 4, 2, 2]	[11, 9, 13, 12]	[11, 14, 10, 14]	[14, 10, 16, 15]	[19, 12, 14, 13]	[13, 18, 12, 16]	[14, 15, 11, 19]	[9, 18, 12, 17]	[13, 14, 12, 21]	[12, 16, 17, 11]	[13, 17, 11, 19]	[11, 14, 18, 14]	[14, 16, 14, 16]	[15, 14, 15, 15]	[18, 13, 11, 17]	[12, 14, 18, 13]	[15, 8, 15, 13]	[12, 17, 12, 13]	[10, 18, 11, 12]	[14, 10, 12, 17]	[11, 9, 18, 12]	[6, 7, 6, 12]	[4, 6, 7, 7]	[5, 6, 6, 9]	[6, 7, 6, 6]	[6, 4, 3, 7]	[7, 5, 4, 4]	[7, 5, 4, 4]	[7, 7, 3, 7]	[12, 7, 5, 4]	[8, 6, 5, 6]	[9, 7, 4, 7]	[10, 6, 6, 10]	[0, 1, 2, 0]
20	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[2, 0, 0, 0]	[1, 1, 0, 0]	[0, 3, 1, 0]	[0, 2, 1, 0]	[1, 0, 0, 2]	[0, 0, 1, 3]	[0, 0, 1, 0]	[2, 2, 2, 1]	[1, 0, 0, 1]	[0, 1, 1, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 1, 1]	[0, 1, 0, 2]	[1, 1, 1, 4]	[0, 0, 2, 2]	[1, 2, 0, 3]	[1, 1, 2, 2]	[0, 2, 0, 2]	[1, 1, 0, 2]	[2, 2, 0, 3]	[2, 0, 2, 1]	[2, 4, 3, 2]	[3, 3, 6, 2]	[2, 4, 5, 4]	[2, 3, 3, 3]	[2, 2, 3, 5]	[3, 1, 0, 6]	[3, 2, 1, 6]	[3, 4, 7, 0]	[5, 3, 3, 3]	[4, 8, 1, 3]	[6, 6, 3, 2]	[5, 6, 1, 4]	[4, 8, 0, 3]	[4, 8, 3, 4]	[4, 11, 1, 4]	[4, 10, 3, 5]	[5, 5, 5, 6]	[10, 0, 4, 6]	[9, 2, 2, 7]	[5, 5, 2, 5]	[5, 9, 3, 11]	[7, 3, 4, 6]	[11, 4, 4, 7]	[8, 10, 5, 4]	[7, 5, 6, 6]	[8, 8, 8, 11]	[6, 7, 8, 7]	[7, 8, 5, 12]	[6, 11, 9, 5]	[7, 11, 8, 7]	[8, 9, 7, 5]	[8, 8, 10, 7]	[10, 9, 9, 9]	[14, 3, 13, 6]	[15, 6, 7, 11]	[1, 0, 1, 0]
21	[1, 1, 0, 0]	[2, 0, 0, 0]	[2, 0, 0, 0]	[3, 1, 0, 0]	[1, 0, 1, 0]	[1, 3, 2, 0]	[3, 0, 2, 1]	[2, 1, 2, 1]	[3, 0, 0, 1]	[2, 1, 0, 2]	[1, 1, 0, 3]	[2, 2, 0, 4]	[3, 2, 1, 3]	[2, 0, 1, 1]	[5, 6, 6, 3]	[2, 0, 0, 2]	[2, 1, 1, 2]	[1, 0, 2, 1]	[0, 1, 1, 0]	[2, 1, 1, 2]	[1, 1, 3, 1]	[1, 3, 0, 3]	[0, 1, 0, 1]	[4, 5, 1, 1]	[1, 3, 8, 3]	[3, 1, 1, 2]	[0, 2, 1, 3]	[0, 1, 1, 2]	[2, 1, 1, 3]	[1, 2, 3, 2]	[0, 3, 1, 1]	[1, 2, 0, 1]	[2, 1, 3, 0]	[2, 2, 5, 0]	[4, 1, 1, 2]	[1, 5, 5, 1]	[2, 3, 4, 1]	[1, 3, 1, 1]	[3, 2, 2, 4]	[1, 2, 2, 1]	[2, 2, 5, 2]	[2, 3, 1, 1]	[1, 3, 0, 2]	[2, 3, 2, 0]	[0, 2, 4, 2]	[3, 2, 2, 4]	[0, 2, 3, 1]	[1, 2, 3, 1]	[0, 2, 2, 2]	[2, 2, 0, 2]	[2, 3, 2, 2]	[0, 6, 2, 1]	[4, 2, 9, 5]	[1, 3, 4, 1]	[4, 5, 2, 4]	[2, 5, 2, 0]	[4, 2, 4, 1]	[4, 4, 2, 3]	[3, 2, 2, 1]	[5, 9, 3, 5]	[1, 3, 3, 1]	[5, 9, 4, 1]	[6, 8, 2, 0]	[3, 6, 4, 7]	[4, 9, 4, 3]	[5, 3, 8, 4]	[0, 1, 2, 2]
22	[1, 1, 0, 1]	[4, 2, 1, 1]	[4, 5, 3, 4]	[5, 5, 3, 2]	[7, 9, 6, 8]	[12, 10, 2, 2]	[11, 13, 10, 9]	[8, 5, 7, 8]	[3, 6, 5, 3]	[4, 12, 9, 5]	[6, 6, 8, 9]	[8, 11, 11, 8]	[6, 2, 2, 8]	[7, 3, 6, 2]	[9, 7, 6, 6]	[10, 6, 6, 4]	[6, 5, 0, 3]	[10, 5, 4, 7]	[0, 2, 1, 3]	[8, 4, 3, 4]	[4, 8, 5, 10]	[2, 3, 2, 3]	[5, 0, 3, 5]	[3, 7, 5, 1]	[5, 4, 6, 8]	[2, 1, 3, 8]	[6, 4, 6, 1]	[3, 4, 2, 6]	[2, 5, 8, 2]	[6, 6, 4, 2]	[3, 5, 6, 3]	[5, 10, 4, 8]	[4, 6, 6, 5]	[5, 2, 5, 5]	[4, 6, 5, 2]	[1, 3, 2, 3]	[5, 3, 4, 3]	[3, 1, 5, 3]	[4, 2, 8, 3]	[1, 5, 8, 5]	[7, 6, 5, 7]	[10, 10, 6, 6]	[8, 3, 3, 2]	[2, 4, 1, 3]	[3, 9, 6, 9]	[5, 11, 1, 5]	[6, 1, 4, 8]	[4, 2, 6, 4]	[6, 7, 4, 1]	[2, 6, 7, 9]	[6, 2, 6, 6]	[3, 9, 8, 12]	[5, 8, 6, 3]	[5, 9, 5, 5]	[3, 5, 5, 3]	[8, 6, 7, 3]	[7, 7, 2, 2]	[5, 6, 4, 5]	[4, 7, 4, 3]	[5, 6, 2, 4]	[4, 6, 7, 4]	[4, 8, 7, 8]	[8, 11, 5, 3]	[2, 2, 2, 3]	[3, 4, 6, 1]	[2, 3, 4, 1]	[2, 0, 2, 0]
23	[0, 1, 1, 0]	[2, 3, 0, 3]	[2, 2, 0, 4]	[3, 4, 1, 2]	[4, 5, 3, 5]	[2, 2, 2, 3]	[0, 4, 3, 1]	[0, 3, 1, 0]	[3, 2, 7, 5]	[1, 3, 3, 2]	[1, 3, 2, 2]	[2, 2, 2, 4]	[4, 3, 2, 4]	[2, 4, 1, 6]	[2, 0, 1, 5]	[0, 0, 5, 3]	[5, 3, 4, 5]	[1, 2, 2, 3]	[2, 3, 4, 4]	[2, 3, 1, 2]	[2, 1, 2, 2]	[5, 4, 5, 6]	[4, 5, 5, 10]	[1, 1, 4, 3]	[2, 0, 0, 0]	[3, 3, 1, 5]	[3, 0, 4, 8]	[4, 2, 6, 5]	[7, 4, 4, 5]	[2, 2, 3, 7]	[5, 1, 4, 7]	[2, 2, 3, 5]	[2, 3, 6, 4]	[5, 3, 2, 3]	[7, 6, 4, 4]	[2, 5, 8, 11]	[4, 2, 2, 3]	[1, 7, 4, 1]	[4, 3, 7, 5]	[5, 1, 2, 4]	[3, 1, 1, 1]	[1, 1, 2, 1]	[5, 13, 4, 4]	[3, 3, 4, 4]	[1, 1, 6, 1]	[0, 4, 2, 5]	[2, 3, 3, 1]	[1, 0, 4, 3]	[2, 2, 2, 0]	[3, 0, 1, 4]	[4, 6, 4, 3]	[1, 0, 4, 3]	[1, 1, 2, 2]	[0, 1, 1, 2]	[2, 2, 1, 4]	[4, 1, 2, 3]	[1, 2, 2, 4]	[2, 2, 2, 0]	[8, 2, 3, 4]	[1, 2, 0, 2]	[2, 1, 0, 3]	[0, 1, 0, 2]	[0, 2, 1, 1]	[1, 2, 3, 1]	[1, 2, 1, 2]	[0, 2, 3, 2]	[1, 0, 0, 1]
