origin,day_of_week,decimal_time,wait|15417,wait|4040,destination,travel_time
4031,2,4.4,18.3,18.3,1405,27.75
4031,2,4.7,17.25,17.25,1405,28.88
4031,2,4.98,15.92,15.92,1405,30.48
4031,2,5.25,18.52,18.52,1405,29.45
4031,2,5.78,12.85,12.85,1405,31.78
4031,2,6.0,12.08,12.08,1405,33.87
4031,2,6.2,11.18,11.18,1405,34.37
4031,2,6.4,8.3,8.3,1405,35.6
4031,2,6.53,12.68,12.68,1405,37.4
4031,2,6.75,6.0,6.0,1405,45.05
4031,2,6.85,11.03,11.03,1405,42.0
4031,2,7.03,5.85,5.85,1405,46.92
4031,2,7.12,6.7,6.7,1405,42.08
4031,2,7.23,8.42,8.42,1405,49.0
4031,2,7.38,6.22,6.22,1405,50.77
4031,2,7.48,8.07,8.07,1405,44.52
4031,2,7.62,7.58,7.58,1405,46.65
4031,2,7.73,14.0,14.0,1405,46.92
4031,2,7.97,4.78,4.78,1405,54.4
4031,2,8.05,7.58,7.58,1405,48.27
4031,2,8.18,6.5,6.5,1405,46.85
4031,2,8.28,8.92,8.92,1405,46.02
4031,2,8.43,11.43,11.43,1405,43.77
4031,2,8.63,12.02,12.02,1405,49.55
4031,2,8.83,13.53,13.53,1405,38.63
4031,2,9.05,15.58,15.58,1405,41.88
4031,2,9.32,14.38,14.38,1405,40.82
4031,2,9.55,15.48,15.48,1405,37.62
4031,2,9.82,18.05,18.05,1405,41.72
4031,2,10.12,17.18,17.18,1405,39.9
4031,2,10.4,18.45,18.45,1405,40.08
4031,2,10.7,19.0,19.0,1405,41.18
4031,2,11.02,17.77,17.77,1405,39.07
4031,2,11.32,15.22,15.22,1405,38.73
4031,2,11.57,22.05,22.05,1405,43.93
4031,2,11.93,18.63,18.63,1405,37.93
4031,2,12.55,17.72,17.72,1405,41.55
4031,2,12.85,16.43,16.43,1405,38.9
4031,2,13.12,15.5,15.5,1405,38.72
4031,2,13.38,15.4,15.4,1405,39.45
4031,2,13.63,13.98,13.98,1405,42.93
4031,2,13.87,13.1,13.1,1405,40.53
4031,2,14.08,10.65,10.65,1405,44.92
4031,2,14.27,9.75,9.75,1405,40.22
4031,2,14.43,13.62,13.62,1405,41.37
4031,2,14.65,21.75,21.75,1405,41.92
4031,2,15.02,10.23,10.23,1405,43.18
4031,2,15.18,7.37,7.37,1405,39.37
4031,2,15.32,13.28,13.28,1405,39.65
4031,2,15.53,10.37,10.37,1405,44.4
4031,2,15.7,9.67,9.67,1405,47.78
4031,2,15.87,11.42,11.42,1405,39.82
4031,2,16.07,11.83,11.83,1405,49.88
