origin,day_of_week,decimal_time,wait|14179,destination,travel_time
4105,2,5.32,19.3,4106,0.33
4105,2,5.63,19.62,4106,0.68
4105,2,5.97,17.65,4106,0.28
4105,2,6.27,15.95,4106,0.95
4105,2,6.53,18.23,4106,0.77
4105,2,6.83,16.82,4106,0.68
4105,2,7.12,17.7,4106,0.82
4105,2,7.4,8.58,4106,2.07
4105,2,7.55,16.17,4106,1.63
4105,2,7.82,12.7,4106,2.05
4105,2,8.03,10.18,4106,1.08
4105,2,8.2,8.92,4106,0.93
4105,2,8.35,7.58,4106,0.77
4105,2,8.47,10.5,4106,0.85
4105,2,8.65,5.2,4106,1.1
4105,2,8.73,10.33,4106,0.93
4105,2,8.92,2.25,4106,1.43
4105,2,8.95,9.42,4106,0.68
4105,2,9.1,11.13,4106,1.15
4105,2,9.28,2.13,4106,0.47
4105,2,9.32,10.1,4106,0.27
4105,2,9.5,4.75,4106,0.67
4105,2,9.57,7.98,4106,1.0
4105,2,9.7,8.63,4106,0.23
4105,2,9.85,14.92,4106,0.88
4105,2,10.1,9.35,4106,1.55
4105,2,10.25,13.17,4106,1.08
4105,2,10.47,11.85,4106,1.22
4105,2,10.67,25.12,4106,1.27
4105,2,11.08,14.37,4106,2.13
4105,2,11.33,13.77,4106,1.9
4105,2,11.55,19.95,4106,1.98
4105,2,11.88,20.72,4106,0.9
4105,2,12.23,18.87,4106,1.18
4105,2,12.55,17.53,4106,1.25
4105,2,12.85,16.05,4106,1.93
4105,2,13.12,18.65,4106,0.58
4105,2,13.42,21.17,4106,2.07
4105,2,13.77,33.12,4106,1.88
4105,2,14.33,15.32,4106,2.02
4105,2,14.58,23.55,4106,2.45
4105,2,14.97,7.35,4106,2.22
4105,2,15.1,15.42,4106,1.75
4105,2,15.35,14.02,4106,1.23
4105,2,15.58,8.68,4106,1.35
4105,2,15.73,11.35,4106,1.32
4105,2,15.92,23.23,4106,2.52
4105,2,16.3,12.82,4106,2.27
4105,2,16.52,7.72,4106,1.35
4105,2,16.65,18.38,4106,2.65
4105,2,16.95,4.7,4106,1.7
4105,2,17.03,12.63,4106,2.25
4105,2,17.25,15.48,4106,1.63
4105,2,17.5,16.4,4106,2.25
4105,2,17.78,3.87,4106,1.37
4105,2,17.83,7.7,4106,0.9
4105,2,17.97,18.12,4106,2.23
4105,2,18.27,2.97,4106,1.27
4105,2,18.32,16.23,4106,2.17
4105,2,18.58,7.33,4106,1.7
4105,2,18.72,15.55,4106,2.12
4105,2,18.97,15.3,4106,1.02
4105,2,19.23,17.77,4106,1.9
4105,2,19.52,22.97,4106,1.68
4105,2,19.9,18.67,4106,0.92
4105,2,20.22,19.68,4106,2.55
4105,2,20.55,16.0,4106,1.6
4105,2,20.82,24.2,4106,0.52
4105,2,21.22,24.45,4106,1.4
4105,2,21.62,16.62,4106,2.22
4105,2,21.9,21.77,4106,0.58
4105,2,22.27,22.37,4106,1.22
4105,2,22.63,,4106,0.95
4105,3,5.3,19.77,4106,0.6
4105,3,5.62,19.02,4106,0.28
4105,3,5.93,18.92,4106,0.32
4105,3,6.25,31.98,4106,0.72
4105,3,6.78,17.7,4106,0.33
4105,3,7.08,15.37,4106,1.67
4105,3,7.33,13.33,4106,0.52
4105,3,7.57,16.92,4106,1.52
4105,3,7.85,16.47,4106,0.73
4105,3,8.12,5.25,4106,1.43
4105,3,8.2,9.02,4106,0.83
4105,3,8.35,18.15,4106,1.05
4105,3,8.65,10.27,4106,0.8
4105,3,8.83,1.82,4106,1.7
4105,3,8.87,7.73,4106,1.13
4105,3,8.98,5.4,4106,1.22
4105,3,9.08,10.63,4106,1.08
4105,3,9.25,3.87,4106,0.97
4105,3,9.32,10.17,4106,0.48
4105,3,9.48,3.78,4106,1.02
4105,3,9.55,10.2,4106,0.67
4105,3,9.72,10.87,4106,1.03
4105,3,9.9,8.57,4106,0.42
4105,3,10.05,26.3,4106,0.82
4105,3,10.48,15.3,4106,1.07
4105,3,10.73,14.07,4106,1.87
4105,3,10.97,19.95,4106,1.1
4105,3,11.3,18.73,4106,1.35
4105,3,11.62,15.6,4106,1.22
4105,3,11.88,18.02,4106,1.55
4105,3,12.18,15.58,4106,1.5
4105,3,12.43,22.97,4106,1.73
4105,3,12.82,21.0,4106,1.03
4105,3,13.17,13.72,4106,1.07
4105,3,13.4,22.05,4106,1.18
4105,3,13.77,15.9,4106,2.03
4105,3,14.03,19.07,4106,2.18
4105,3,14.35,13.12,4106,2.57
4105,3,14.57,20.57,4106,0.98
4105,3,14.92,17.38,4106,1.52
4105,3,15.2,6.85,4106,2.33
4105,3,15.32,28.22,4106,2.07
4105,3,15.78,14.27,4106,2.18
4105,3,16.02,5.28,4106,1.57
4105,3,16.12,12.52,4106,1.22
4105,3,16.32,11.83,4106,0.78
4105,3,16.52,8.92,4106,1.87
4105,3,16.67,10.05,4106,1.38
4105,3,16.83,12.67,4106,2.18
4105,3,17.05,4.5,4106,1.33
4105,3,17.12,22.17,4106,2.08
4105,3,17.48,2.83,4106,2.02
4105,3,17.53,26.05,4106,2.33
4105,3,17.97,14.48,4106,1.98
4105,3,18.22,3.35,4106,1.28
4105,3,18.27,19.02,4106,1.02
4105,3,18.58,10.67,4106,2.4
4105,3,18.77,19.63,4106,1.45
4105,3,19.08,6.83,4106,1.53
4105,3,19.2,21.13,4106,1.27
4105,3,19.55,37.82,4106,1.72
4105,3,20.18,21.28,4106,2.0
4105,3,20.53,22.87,4106,1.1
4105,3,20.92,16.1,4106,1.95
4105,3,21.18,41.9,4106,2.1
4105,3,21.88,46.7,4106,2.03
4105,3,22.67,,4106,1.22
4105,4,5.32,18.87,4106,0.65
4105,4,5.63,20.12,4106,1.28
4105,4,5.97,20.0,4106,0.3
4105,4,6.3,13.03,4106,1.27
4105,4,6.52,17.37,4106,0.7
4105,4,6.82,17.28,4106,0.82
4105,4,7.1,16.58,4106,0.42
4105,4,7.38,11.8,4106,0.98
4105,4,7.57,13.67,4106,1.73
4105,4,7.8,9.1,4106,1.0
4105,4,7.95,15.08,4106,0.72
4105,4,8.2,10.68,4106,1.27
4105,4,8.38,7.03,4106,0.95
4105,4,8.5,9.62,4106,1.02
4105,4,8.67,8.03,4106,1.13
4105,4,8.8,8.42,4106,1.6
4105,4,8.93,2.38,4106,1.93
4105,4,8.97,5.7,4106,0.53
4105,4,9.07,7.78,4106,0.98
4105,4,9.2,9.72,4106,0.95
