origin,day_of_week,decimal_time,wait|15417,wait|4040,destination,travel_time
15220,2,4.68,17.08,,1405,9.87
15220,2,4.98,19.77,,1405,12.22
15220,2,5.3,15.18,,1405,11.3
15220,2,5.55,33.97,,1405,11.0
15220,2,6.12,11.85,,1405,11.8
15220,2,6.32,13.47,,1405,14.88
15220,2,6.55,13.58,,1405,14.0
15220,2,6.77,8.12,,1405,12.83
15220,2,6.9,17.88,,1405,14.82
15220,2,7.2,3.35,,1405,17.27
15220,2,7.27,15.87,,1405,16.87
15220,2,7.53,0.0,,1405,16.95
15220,2,7.53,11.02,,1405,17.97
15220,2,7.72,10.72,,1405,20.57
15220,2,7.88,3.4,,1405,20.03
15220,2,7.95,12.82,,1405,16.6
15220,2,8.15,6.83,,1405,13.98
15220,2,8.27,15.17,,1405,15.0
15220,2,8.52,4.35,,1405,21.32
15220,2,8.6,5.85,,1405,15.62
15220,2,8.7,3.57,,1405,15.93
15220,2,8.75,9.12,,1405,18.03
15220,2,8.9,13.82,,1405,15.58
15220,2,9.13,6.4,,1405,18.98
15220,2,9.25,13.17,,1405,13.68
15220,2,9.47,16.1,,1405,17.3
15220,2,9.73,12.78,,1405,15.72
15220,2,9.95,14.78,,1405,14.12
15220,2,10.18,19.0,,1405,18.92
15220,2,10.5,20.98,,1405,16.15
15220,2,10.85,14.62,,1405,12.53
15220,2,11.1,19.92,,1405,17.47
15220,2,11.43,19.0,,1405,14.43
15220,2,11.75,18.58,,1405,12.87
15220,2,12.07,16.42,,1405,14.7
15220,2,12.33,22.62,,1405,14.33
15220,2,13.03,14.08,,1405,12.92
15220,2,13.27,17.5,,1405,13.9
15220,2,13.57,13.93,,1405,12.65
15220,2,13.78,19.97,,1405,14.95
15220,2,14.12,9.53,,1405,13.87
15220,2,14.28,16.38,,1405,15.92
15220,2,14.55,8.3,,1405,17.02
15220,2,14.7,10.0,,1405,14.67
15220,2,14.87,10.83,,1405,15.57
15220,2,15.03,27.03,,1405,18.9
15220,2,15.48,6.57,,1405,14.88
15220,2,15.6,7.48,,1405,14.73
15220,2,15.73,17.3,,1405,14.9
15220,2,16.02,14.22,,1405,15.63
15220,2,16.25,1.53,,1405,15.17
15220,2,16.28,16.95,,1405,15.33
15220,2,16.57,11.58,,1405,19.87
15220,2,16.75,4.67,,1405,20.78
15220,2,16.83,12.72,,1405,19.02
15220,2,17.05,10.1,,1405,17.52
15220,2,17.22,6.43,,1405,18.57
15220,2,17.32,23.77,,1405,15.53
15220,2,17.72,10.68,,1405,19.57
15220,2,17.88,14.25,,1405,17.63
15220,2,18.13,18.6,,1405,18.67
15220,2,18.43,19.18,,1405,17.08
15220,2,18.77,18.42,,1405,17.72
15220,2,19.07,20.52,,1405,13.93
15220,2,19.4,25.92,,1405,17.03
15220,2,19.83,18.33,,1405,13.85
15220,2,20.15,20.75,,1405,15.83
15220,2,20.48,22.62,,1405,11.58
15220,2,20.87,22.77,,1405,12.57
15220,2,21.25,23.17,,1405,12.97
15220,2,21.63,22.47,,1405,11.92
15220,2,22.0,,,1405,12.13
15220,3,4.65,19.55,,1405,10.13
15220,3,4.98,19.27,,1405,10.75
15220,3,5.3,16.5,,1405,13.92
15220,3,5.57,31.2,,1405,12.02
15220,3,6.08,15.33,,1405,13.0
15220,3,6.35,13.27,,1405,13.68
15220,3,6.57,10.5,,1405,15.1
15220,3,6.75,9.77,,1405,12.65
15220,3,6.9,15.43,,1405,14.18
15220,3,7.17,8.5,,1405,15.97
15220,3,7.3,9.07,,1405,17.52
15220,3,7.45,16.2,,1405,20.15
15220,3,7.73,10.8,,1405,24.95
15220,3,7.9,1.98,,1405,20.78
15220,3,7.93,11.9,,1405,20.55
15220,3,8.13,9.7,,1405,18.23
15220,3,8.3,6.58,,1405,17.53
15220,3,8.42,3.9,,1405,14.3
15220,3,8.47,9.23,,1405,16.07
15220,3,8.63,8.65,,1405,17.62
15220,3,8.77,13.05,,1405,18.53
15220,3,8.98,8.1,,1405,16.15
15220,3,9.12,11.02,,1405,15.8
15220,3,9.3,29.7,,1405,15.42
15220,3,9.8,8.38,,1405,15.13
15220,3,9.95,15.22,,1405,13.33
15220,3,10.2,18.33,,1405,13.28
15220,3,10.5,22.95,,1405,14.18
15220,3,10.88,14.78,,1405,14.38
15220,3,11.13,17.58,,1405,14.63
15220,3,11.42,14.25,,1405,15.28
15220,3,11.67,23.0,,1405,14.6
15220,3,12.05,17.92,,1405,14.55
15220,3,12.35,18.0,,1405,15.82
15220,3,12.65,23.5,,1405,14.8
15220,3,13.03,16.17,,1405,18.13
15220,3,13.3,17.3,,1405,13.08
15220,3,13.6,12.68,,1405,13.83
15220,3,13.8,16.52,,1405,16.25
15220,3,14.08,15.02,,1405,16.05
15220,3,14.33,12.82,,1405,15.52
15220,3,14.55,18.8,,1405,16.62
15220,3,14.85,13.03,,1405,17.95
15220,3,15.07,6.18,,1405,15.72
15220,3,15.18,18.63,,1405,15.48
15220,3,15.48,9.42,,1405,14.18
15220,3,15.65,6.92,,1405,12.63
15220,3,15.77,13.75,,1405,14.72
15220,3,15.98,13.12,,1405,17.73
15220,3,16.2,5.48,,1405,17.08
15220,3,16.3,12.8,,1405,14.6
15220,3,16.52,7.98,,1405,16.02
15220,3,16.65,20.22,,1405,17.8
15220,3,16.98,16.2,,1405,16.27
15220,3,17.25,7.68,,1405,19.85
15220,3,17.38,18.48,,1405,13.32
15220,3,17.68,11.02,,1405,20.75
15220,3,17.87,20.6,,1405,16.05
15220,3,18.22,6.42,,1405,17.83
15220,3,18.32,30.07,,1405,17.8
15220,3,18.82,34.95,,1405,14.17
15220,3,19.4,22.92,,1405,17.82
15220,3,19.78,22.37,,1405,13.48
15220,3,20.17,16.67,,1405,13.78
15220,3,20.43,47.25,,1405,14.2
15220,3,21.23,24.85,,1405,13.08
15220,3,21.63,22.63,,1405,11.02
15220,3,22.02,,,1405,11.45
15220,4,4.67,19.6,,1405,11.68
15220,4,4.98,18.57,,1405,12.13
15220,4,5.3,18.13,,1405,11.83
15220,4,5.6,15.38,,1405,13.45
15220,4,5.85,15.12,,1405,12.2
15220,4,6.1,15.02,,1405,11.77
15220,4,6.35,12.23,,1405,12.82
15220,4,6.57,12.85,,1405,14.4
15220,4,6.78,10.02,,1405,12.97
15220,4,6.95,4.18,,1405,14.72
15220,4,7.02,18.73,,1405,15.9
15220,4,7.32,6.98,,1405,15.8
15220,4,7.43,5.83,,1405,18.75
15220,4,7.53,19.22,,1405,19.87
15220,4,7.85,7.65,,1405,15.4
15220,4,7.98,0.12,,1405,16.03
15220,4,7.98,5.3,,1405,15.1
15220,4,8.08,10.02,,1405,16.32
15220,4,8.25,13.0,,1405,16.82
15220,4,8.47,1.12,,1405,19.7
15220,4,8.48,9.47,,1405,17.08
15220,4,8.63,7.0,,1405,18.25
15220,4,8.75,9.13,,1405,22.18
15220,4,8.9,13.12,,1405,15.6
15220,4,9.12,10.98,,1405,12.37
15220,4,9.3,8.95,,1405,16.78
15220,4,9.45,22.97,,1405,14.87
15220,4,9.83,5.98,,1405,16.12
15220,4,9.93,19.52,,1405,15.08
15220,4,10.27,17.03,,1405,13.38
15220,4,10.55,20.0,,1405,15.22
15220,4,10.88,15.67,,1405,17.35
15220,4,11.13,15.43,,1405,15.82
15220,4,11.4,17.48,,1405,20.22
15220,4,11.68,24.6,,1405,16.77
15220,4,12.1,17.85,,1405,21.02
15220,4,12.4,25.9,,1405,15.77
15220,4,12.83,4.92,,1405,19.27
15220,4,12.92,25.27,,1405,16.52
15220,4,13.33,17.6,,1405,19.28
15220,4,13.63,8.8,,1405,19.73
15220,4,13.77,19.2,,1405,16.7
15220,4,14.1,6.48,,1405,14.68
15220,4,14.2,35.52,,1405,16.48
15220,4,14.8,2.23,,1405,19.58
15220,4,14.83,6.37,,1405,17.32
15220,4,14.93,4.6,,1405,18.08
15220,4,15.02,18.42,,1405,17.42
15220,4,15.32,16.0,,1405,14.7
15220,4,15.58,1.07,,1405,15.93
15220,4,15.6,14.43,,1405,14.92
15220,4,15.85,7.2,,1405,15.47
15220,4,15.97,10.35,,1405,17.77
15220,4,16.13,20.43,,1405,15.03
15220,4,16.48,2.08,,1405,17.38
15220,4,16.52,31.43,,1405,16.6
15220,4,17.03,0.68,,1405,16.5
15220,4,17.05,0.92,,1405,17.23
15220,4,17.07,12.52,,1405,17.05
15220,4,17.27,7.23,,1405,16.48
15220,4,17.4,17.58,,1405,16.53
15220,4,17.68,13.9,,1405,16.17
15220,4,17.92,9.53,,1405,16.33
15220,4,18.08,19.75,,1405,16.25
15220,4,18.4,27.0,,1405,16.55
15220,4,18.85,17.58,,1405,16.62
15220,4,19.15,20.62,,1405,13.33
15220,4,19.48,18.57,,1405,13.87
15220,4,19.8,18.17,,1405,14.95
15220,4,20.1,26.22,,1405,10.53
15220,4,20.53,20.52,,1405,15.55
15220,4,20.88,23.45,,1405,10.58
15220,4,21.27,20.93,,1405,12.88
15220,4,21.62,21.52,,1405,13.25
15220,4,21.98,,,1405,13.38
15220,5,5.65,22.82,,1405,11.25
15220,5,6.03,21.72,,1405,11.28
15220,5,6.38,20.43,,1405,11.22
15220,5,6.73,23.7,,1405,12.38
15220,5,7.13,13.18,,1405,10.77
15220,5,7.35,17.53,,1405,12.2
15220,5,7.63,21.48,,1405,11.0
15220,5,8.0,15.45,,1405,11.33
15220,5,8.25,22.77,,1405,12.68
15220,5,8.63,14.05,,1405,13.13
15220,5,8.87,30.75,,1405,12.97
15220,5,9.38,5.82,,1405,17.65
15220,5,9.48,21.82,,1405,13.98
15220,5,9.83,15.27,,1405,15.85
15220,5,10.1,17.6,,1405,17.2
15220,5,10.38,18.1,,1405,13.9
15220,5,10.68,32.67,,1405,18.6
15220,5,11.23,0.15,,1405,13.87
15220,5,11.23,18.05,,1405,17.18
15220,5,11.53,19.9,,1405,18.68
15220,5,11.87,12.82,,1405,16.93
15220,5,12.08,20.47,,1405,20.18
15220,5,12.42,19.88,,1405,16.67
15220,5,12.75,15.97,,1405,21.6
15220,5,13.02,17.1,,1405,19.0
15220,5,13.3,17.75,,1405,16.97
15220,5,13.6,20.47,,1405,22.2
15220,5,13.95,18.88,,1405,15.67
15220,5,14.25,14.4,,1405,15.87
15220,5,14.5,18.78,,1405,18.45
15220,5,14.82,16.25,,1405,17.73
15220,5,15.08,21.3,,1405,17.38
15220,5,15.43,16.47,,1405,15.08
15220,5,15.72,15.13,,1405,18.67
15220,5,15.97,20.53,,1405,14.92
15220,5,16.3,19.43,,1405,15.93
15220,5,16.63,15.47,,1405,14.8
15220,5,16.88,23.58,,1405,13.37
15220,5,17.28,17.33,,1405,13.75
15220,5,17.57,17.9,,1405,12.85
15220,5,17.87,32.92,,1405,15.7
15220,5,18.42,17.47,,1405,15.43
15220,5,18.7,25.83,,1405,16.0
15220,5,19.13,,,1405,12.27
15220,6,6.63,22.62,,1405,14.02
15220,6,7.0,21.45,,1405,13.0
15220,6,7.37,18.77,,1405,12.12
15220,6,7.68,24.63,,1405,14.72
15220,6,8.08,25.25,,1405,12.45
15220,6,8.5,20.8,,1405,13.77
15220,6,8.85,11.8,,1405,11.67
15220,6,9.05,25.07,,1405,12.02
15220,6,9.47,15.65,,1405,10.42
15220,6,9.73,19.05,,1405,13.97
15220,6,10.05,24.62,,1405,12.15
15220,6,10.45,10.0,,1405,13.65
15220,6,10.62,19.23,,1405,14.6
15220,6,10.95,20.52,,1405,15.7
15220,6,11.28,18.42,,1405,16.33
15220,6,11.6,17.85,,1405,13.8
15220,6,11.88,36.7,,1405,13.95
15220,6,12.5,9.52,,1405,19.8
15220,6,12.67,20.77,,1405,14.97
15220,6,13.0,23.37,,1405,16.15
15220,6,13.4,12.9,,1405,15.48
15220,6,13.62,24.38,,1405,15.72
15220,6,14.02,13.75,,1405,15.43
15220,6,14.25,15.47,,1405,17.77
15220,6,14.5,23.43,,1405,14.28
15220,6,14.9,17.33,,1405,16.7
15220,6,15.18,14.38,,1405,17.25
15220,6,15.42,23.95,,1405,16.97
15220,6,15.82,14.13,,1405,21.93
15220,6,16.07,22.42,,1405,14.88
15220,6,16.43,16.03,,1405,17.38
15220,6,16.7,19.93,,1405,14.42
15220,6,17.03,19.47,,1405,19.68
15220,6,17.35,24.97,,1405,16.0
15220,6,17.77,19.95,,1405,16.55
15220,6,18.1,19.15,,1405,14.92
15220,6,18.42,20.43,,1405,13.05
15220,6,18.77,19.55,,1405,13.32
15220,6,19.08,,,1405,11.82
15220,0,4.65,18.73,,1405,10.67
15220,0,4.97,19.45,,1405,11.72
15220,0,5.28,16.1,,1405,12.03
15220,0,5.55,13.93,,1405,11.88
15220,0,5.78,17.35,,1405,11.85
15220,0,6.08,15.62,,1405,12.93
15220,0,6.33,12.73,,1405,14.25
15220,0,6.55,10.85,,1405,14.88
15220,0,6.73,12.67,,1405,14.77
15220,0,6.93,13.62,,1405,15.5
15220,0,7.17,5.35,,1405,18.88
15220,0,7.25,15.05,,1405,15.13
15220,0,7.5,0.87,,1405,26.13
15220,0,7.52,20.15,,1405,26.32
15220,0,7.85,3.95,,1405,21.13
15220,0,7.92,9.15,,1405,18.22
15220,0,8.08,7.02,,1405,15.48
15220,0,8.2,8.68,,1405,16.55
15220,0,8.33,14.47,,1405,18.1
15220,0,8.58,1.73,,1405,19.32
15220,0,8.6,8.0,,1405,18.78
15220,0,8.73,5.2,,1405,16.52
15220,0,8.83,13.07,,1405,14.22
15220,0,9.05,1.28,,1405,16.77
15220,0,9.07,11.62,,1405,16.88
15220,0,9.27,11.83,,1405,15.38
15220,0,9.45,15.15,,1405,16.17
15220,0,9.72,16.38,,1405,16.75
15220,0,9.98,17.4,,1405,15.52
15220,0,10.27,10.75,,1405,15.05
15220,0,10.45,19.42,,1405,13.42
15220,0,10.78,21.0,,1405,14.88
15220,0,11.13,15.85,,1405,14.9
15220,0,11.38,19.35,,1405,16.38
15220,0,11.72,19.78,,1405,13.8
15220,0,12.03,20.5,,1405,13.9
15220,0,12.38,13.82,,1405,14.55
15220,0,12.62,23.17,,1405,13.83
15220,0,13.0,17.4,,1405,18.1
15220,0,13.28,16.13,,1405,13.07
15220,0,13.57,12.08,,1405,14.92
15220,0,13.77,16.0,,1405,14.2
15220,0,14.03,16.18,,1405,14.08
15220,0,14.3,11.03,,1405,14.43
15220,0,14.48,13.92,,1405,16.37
15220,0,14.72,6.87,,1405,15.63
15220,0,14.83,12.78,,1405,15.52
15220,0,15.03,10.57,,1405,12.92
15220,0,15.22,19.78,,1405,14.5
15220,0,15.55,13.2,,1405,13.6
15220,0,15.77,0.72,,1405,17.57
15220,0,15.78,9.93,,1405,17.07
15220,0,15.95,11.88,,1405,17.7
15220,0,16.13,7.23,,1405,15.9
15220,0,16.27,9.67,,1405,18.92
15220,0,16.42,15.3,,1405,13.03
15220,0,16.68,8.93,,1405,16.72
15220,0,16.83,8.82,,1405,19.98
15220,0,16.97,11.85,,1405,19.93
15220,0,17.17,11.05,,1405,18.2
15220,0,17.35,18.3,,1405,17.97
15220,0,17.67,21.92,,1405,19.75
15220,0,18.03,6.0,,1405,18.98
15220,0,18.13,17.5,,1405,15.78
15220,0,18.42,16.15,,1405,19.73
15220,0,18.68,23.4,,1405,15.97
15220,0,19.08,18.87,,1405,16.78
15220,0,19.38,24.58,,1405,16.42
15220,0,19.8,18.67,,1405,14.33
15220,0,20.12,30.07,,1405,12.82
15220,0,20.62,13.23,,1405,11.38
15220,0,20.83,27.22,,1405,11.58
15220,0,21.28,20.38,,1405,10.05
15220,0,21.63,22.57,,1405,13.5
15220,0,22.0,,,1405,10.8
15220,1,4.65,19.65,,1405,11.45
15220,1,4.97,17.12,,1405,12.12
15220,1,5.27,17.57,,1405,12.17
15220,1,5.55,13.92,,1405,12.42
15220,1,5.78,17.52,,1405,12.57
15220,1,6.08,17.95,,1405,12.13
15220,1,6.37,11.52,,1405,13.42
15220,1,6.57,10.58,,1405,14.32
15220,1,6.75,10.02,,1405,13.6
15220,1,6.92,15.02,,1405,15.17
15220,1,7.17,5.03,,1405,14.53
15220,1,7.25,13.77,,1405,17.8
15220,1,7.47,6.38,,1405,18.02
15220,1,7.58,12.73,,1405,20.35
15220,1,7.8,13.22,,1405,22.95
15220,1,8.02,0.77,,1405,17.77
15220,1,8.03,11.25,,1405,20.58
15220,1,8.22,2.97,,1405,16.6
15220,1,8.27,12.17,,1405,16.08
15220,1,8.47,7.57,,1405,19.65
15220,1,8.58,10.9,,1405,18.87
15220,1,8.77,1.87,,1405,20.95
15220,1,8.8,7.43,,1405,18.87
15220,1,8.93,8.73,,1405,17.67
15220,1,9.07,16.67,,1405,17.73
15220,1,9.35,5.32,,1405,14.43
15220,1,9.43,19.18,,1405,15.03
15220,1,9.77,8.8,,1405,12.67
15220,1,9.9,16.0,,1405,13.77
15220,1,10.17,23.0,,1405,14.32
15220,1,10.55,12.92,,1405,15.87
15220,1,10.77,21.43,,1405,16.22
15220,1,11.13,14.58,,1405,12.55
15220,1,11.37,20.22,,1405,16.92
15220,1,11.72,21.68,,1405,13.75
15220,1,12.07,14.08,,1405,16.18
15220,1,12.3,20.55,,1405,16.7
15220,1,12.65,19.55,,1405,15.45
15220,1,12.97,15.12,,1405,18.02
15220,1,13.23,19.77,,1405,17.33
15220,1,13.55,14.07,,1405,14.5
15220,1,13.78,19.67,,1405,15.82
15220,1,14.12,12.47,,1405,14.87
15220,1,14.32,9.77,,1405,18.05
15220,1,14.48,8.92,,1405,15.07
15220,1,14.63,16.22,,1405,18.2
15220,1,14.9,4.15,,1405,16.9
15220,1,14.98,14.15,,1405,17.05
15220,1,15.22,11.1,,1405,15.67
15220,1,15.4,12.28,,1405,17.78
15220,1,15.6,6.33,,1405,15.47
15220,1,15.7,21.22,,1405,15.73
15220,1,16.07,6.62,,1405,17.57
15220,1,16.17,7.43,,1405,13.27
15220,1,16.3,16.68,,1405,17.45
15220,1,16.57,3.2,,1405,18.88
15220,1,16.63,13.03,,1405,17.83
15220,1,16.85,7.38,,1405,18.85
15220,1,16.97,15.92,,1405,16.33
15220,1,17.23,3.83,,1405,16.27
15220,1,17.3,26.78,,1405,15.48
15220,1,17.73,6.1,,1405,20.08
15220,1,17.85,15.77,,1405,20.62
15220,1,18.1,13.95,,1405,18.03
15220,1,18.33,25.07,,1405,16.53
15220,1,18.75,23.47,,1405,13.57
15220,1,19.15,12.1,,1405,14.5
15220,1,19.35,27.2,,1405,15.58
15220,1,19.8,15.22,,1405,15.32
15220,1,20.05,28.0,,1405,15.47
15220,1,20.52,19.38,,1405,14.4
15220,1,20.85,28.13,,1405,10.88
15220,1,21.32,15.5,,1405,12.53
15220,1,21.57,27.67,,1405,12.37
15220,1,22.03,,,1405,13.08
15220,2,4.72,17.72,,1405,12.4
15220,2,5.0,17.48,,1405,13.45
15220,2,5.3,16.12,,1405,12.95
15220,2,5.57,17.12,,1405,12.3
15220,2,5.85,15.55,,1405,10.82
15220,2,6.12,14.18,,1405,12.33
15220,2,6.35,13.08,,1405,12.65
15220,2,6.57,13.83,,1405,15.75
15220,2,6.8,10.72,,1405,9.9
15220,2,6.97,15.67,,1405,14.52
15220,2,7.23,5.62,,1405,16.27
15220,2,7.33,6.57,,1405,13.55
15220,2,7.43,9.32,,1405,22.62
15220,2,7.6,11.92,,1405,22.83
15220,2,7.78,10.87,,1405,22.78
15220,2,7.97,3.2,,1405,20.05
15220,2,8.03,6.88,,1405,19.77
15220,2,8.13,11.47,,1405,17.03
15220,2,8.33,6.4,,1405,21.52
15220,2,8.43,7.28,,1405,15.43
15220,2,8.57,5.92,,1405,22.0
15220,2,8.65,7.33,,1405,18.98
15220,2,8.78,11.08,,1405,16.48
15220,2,8.97,7.43,,1405,13.03
15220,2,9.08,11.52,,1405,15.87
15220,2,9.28,10.55,,1405,18.43
15220,2,9.45,20.25,,1405,16.77
15220,2,9.8,10.7,,1405,15.7
15220,2,9.97,14.07,,1405,13.52
15220,2,10.2,17.05,,1405,10.7
15220,2,10.48,19.57,,1405,15.2
15220,2,10.82,17.85,,1405,19.22
15220,2,11.12,23.78,,1405,15.35
15220,2,11.52,12.62,,1405,14.75
15220,2,11.72,23.18,,1405,15.12
15220,2,12.1,14.52,,1405,14.38
15220,2,12.35,17.68,,1405,15.18
15220,2,12.65,21.93,,1405,15.68
15220,2,13.02,14.98,,1405,15.65
15220,2,13.27,20.78,,1405,17.75
15220,2,13.6,10.48,,1405,14.23
15220,2,13.78,18.42,,1405,15.33
15220,2,14.08,9.88,,1405,18.73
15220,2,14.25,18.42,,1405,14.42
15220,2,14.57,9.62,,1405,18.55
15220,2,14.72,7.43,,1405,14.82
15220,2,14.85,13.18,,1405,18.5
15220,2,15.07,7.73,,1405,17.28
15220,2,15.2,22.72,,1405,13.47
15220,2,15.57,2.0,,1405,14.78
15220,2,15.6,7.45,,1405,13.43
15220,2,15.73,13.53,,1405,15.28
15220,2,15.95,15.9,,1405,12.85
15220,2,16.22,16.62,,1405,15.5
15220,2,16.5,9.42,,1405,14.33
15220,2,16.65,8.83,,1405,13.93
15220,2,16.8,8.6,,1405,16.28
15220,2,16.95,11.1,,1405,18.67
15220,2,17.13,10.72,,1405,19.58
15220,2,17.3,19.32,,1405,19.82
15220,2,17.63,16.48,,1405,18.9
15220,2,17.9,14.08,,1405,20.92
15220,2,18.13,16.02,,1405,17.98
15220,2,18.4,21.85,,1405,18.73
15220,2,18.77,21.87,,1405,14.02
15220,2,19.13,19.28,,1405,16.27
15220,2,19.45,17.08,,1405,14.8
15220,2,19.73,23.77,,1405,15.73
15220,2,20.13,21.83,,1405,12.13
15220,2,20.5,19.3,,1405,14.98
15220,2,20.82,23.92,,1405,13.48
15220,2,21.22,23.68,,1405,15.2
15220,2,21.62,21.9,,1405,13.42
15220,2,21.98,,,1405,12.2
15220,3,4.65,28.32,,1405,11.18
15220,3,5.12,10.88,,1405,17.33
15220,3,5.3,13.97,,1405,11.63
15220,3,5.53,15.08,,1405,12.35
15220,3,5.78,17.57,,1405,12.73
15220,3,6.08,15.15,,1405,11.62
15220,3,6.33,14.22,,1405,13.93
15220,3,6.57,12.18,,1405,15.42
15220,3,6.78,9.48,,1405,11.98
15220,3,6.93,14.32,,1405,16.53
15220,3,7.17,2.98,,1405,16.85
15220,3,7.22,17.72,,1405,16.62
15220,3,7.52,1.0,,1405,18.52
15220,3,7.53,16.25,,1405,19.22
15220,3,7.8,12.65,,1405,19.82
15220,3,8.02,4.02,,1405,15.38
15220,3,8.08,4.03,,1405,17.12
15220,3,8.15,7.35,,1405,17.07
15220,3,8.27,13.8,,1405,14.3
15220,3,8.5,14.05,,1405,19.03
15220,3,8.73,0.12,,1405,15.4
15220,3,8.73,7.9,,1405,13.55
15220,3,8.87,4.92,,1405,17.82
15220,3,8.95,19.45,,1405,15.98
15220,3,9.28,1.58,,1405,17.43
15220,3,9.3,10.93,,1405,13.95
15220,3,9.48,14.98,,1405,15.03
15220,3,9.73,12.92,,1405,14.1
15220,3,9.95,13.12,,1405,12.87
15220,3,10.17,22.87,,1405,12.32
15220,3,10.55,18.13,,1405,17.87
15220,3,10.85,15.2,,1405,14.03
15220,3,11.1,20.03,,1405,15.95
15220,3,11.43,15.65,,1405,16.95
15220,3,11.7,19.28,,1405,14.03
15220,3,12.02,24.43,,1405,18.57
15220,3,12.43,10.33,,1405,15.3
15220,3,12.6,21.98,,1405,17.25
15220,3,12.97,18.13,,1405,15.22
15220,3,13.27,17.88,,1405,14.97
15220,3,13.57,18.73,,1405,14.97
15220,3,13.88,12.3,,1405,15.53
15220,3,14.08,14.1,,1405,17.03
15220,3,14.32,16.05,,1405,15.33
15220,3,14.58,6.9,,1405,14.8
15220,3,14.7,6.3,,1405,12.38
15220,3,14.8,16.67,,1405,17.42
15220,3,15.08,9.27,,1405,19.08
15220,3,15.23,11.78,,1405,13.83
15220,3,15.43,12.25,,1405,14.7
15220,3,15.63,10.73,,1405,15.75
15220,3,15.82,5.58,,1405,15.92
15220,3,15.92,16.7,,1405,16.47
15220,3,16.18,12.25,,1405,15.67
15220,3,16.4,9.25,,1405,17.25
15220,3,16.55,10.18,,1405,16.15
15220,3,16.72,3.38,,1405,19.17
15220,3,16.77,15.4,,1405,18.57
15220,3,17.03,5.35,,1405,16.98
15220,3,17.12,14.23,,1405,21.0
15220,3,17.35,16.4,,1405,14.78
15220,3,17.63,13.73,,1405,21.15
15220,3,17.87,20.43,,1405,17.65
15220,3,18.2,10.0,,1405,19.1
15220,3,18.37,27.2,,1405,15.95
15220,3,18.82,11.48,,1405,21.9
15220,3,19.02,21.58,,1405,15.88
15220,3,19.37,30.77,,1405,15.7
15220,3,19.88,16.03,,1405,13.93
15220,3,20.15,22.45,,1405,12.37
15220,3,20.53,21.82,,1405,12.62
15220,3,20.88,20.33,,1405,13.67
15220,3,21.23,24.67,,1405,14.58
15220,3,21.63,24.62,,1405,12.77
15220,3,22.05,,,1405,11.3
15220,4,4.65,18.15,,1405,13.37
15220,4,4.95,18.67,,1405,10.7
15220,4,5.27,18.27,,1405,13.2
15220,4,5.57,12.58,,1405,11.9
15220,4,5.78,21.08,,1405,11.37
15220,4,6.13,12.1,,1405,10.13
15220,4,6.33,8.87,,1405,14.73
15220,4,6.48,15.17,,1405,12.5
15220,4,6.73,13.07,,1405,14.92
15220,4,6.95,11.8,,1405,15.98
15220,4,7.15,9.23,,1405,14.27
15220,4,7.3,9.12,,1405,16.33
15220,4,7.45,3.1,,1405,20.87
15220,4,7.5,12.85,,1405,19.72
15220,4,7.72,9.0,,1405,19.77
15220,4,7.87,7.62,,1405,21.82
15220,4,8.0,5.35,,1405,18.55
15220,4,8.08,7.83,,1405,17.88
15220,4,8.22,9.03,,1405,21.03
15220,4,8.37,16.52,,1405,23.35
15220,4,8.65,0.28,,1405,18.45
15220,4,8.65,13.98,,1405,18.38
15220,4,8.88,4.38,,1405,18.27
15220,4,8.95,8.68,,1405,16.82
15220,4,9.1,12.05,,1405,18.87
15220,4,9.3,10.98,,1405,15.12
15220,4,9.48,29.0,,1405,17.03
15220,4,9.97,16.97,,1405,13.88
15220,4,10.25,17.35,,1405,17.15
15220,4,10.53,18.5,,1405,13.55
15220,4,10.85,14.28,,1405,16.38
15220,4,11.08,22.6,,1405,14.05
15220,4,11.47,11.3,,1405,14.63
15220,4,11.65,24.23,,1405,15.05
15220,4,12.05,19.75,,1405,15.97
