origin,day_of_week,decimal_time,wait|3040,wait|3099,destination,travel_time
3068,2,4.17,,17.52,14128,10.07
3068,2,4.47,,39.42,14128,8.73
3068,2,5.12,,2.92,14128,7.88
3068,2,5.17,,11.95,14128,6.85
3068,2,5.37,,10.37,14128,6.45
3068,2,5.55,,11.08,14128,7.88
3068,2,5.73,,15.75,14128,7.58
3068,2,5.98,,10.0,14128,9.0
3068,2,6.15,,6.98,14128,9.78
3068,2,6.27,,6.63,14128,6.9
3068,2,6.38,,8.35,14128,9.3
3068,2,6.52,,5.92,14128,9.85
3068,2,6.62,,6.32,14128,8.93
3068,2,6.73,,13.12,14128,10.83
3068,2,6.95,,34.6,14128,8.65
3068,2,7.52,,13.28,14128,9.9
3068,2,7.75,,0.08,14128,9.27
3068,2,7.75,,4.6,14128,10.9
3068,2,7.82,,13.75,14128,11.35
3068,2,8.05,,22.2,14128,11.03
3068,2,8.42,,2.08,14128,11.3
3068,2,8.45,,11.9,14128,10.92
3068,2,8.65,,42.73,14128,8.7
3068,2,9.37,,0.48,14128,7.9
3068,2,9.37,,15.42,14128,7.5
3068,2,9.63,,5.48,14128,9.35
3068,2,9.72,,25.07,14128,9.75
3068,2,10.13,,6.23,14128,10.8
3068,2,10.25,,21.53,14128,8.53
3068,2,10.6,,16.05,14128,11.27
3068,2,10.87,,12.07,14128,14.25
3068,2,11.07,,18.0,14128,9.62
3068,2,11.37,,6.0,14128,11.1
3068,2,11.47,,15.27,14128,9.48
3068,2,11.73,,22.65,14128,11.78
3068,2,12.1,,5.88,14128,9.78
3068,2,12.2,,23.85,14128,10.08
3068,2,12.6,,4.27,14128,14.47
3068,2,12.67,,15.47,14128,11.1
3068,2,12.93,,13.17,14128,8.72
3068,2,13.15,,31.52,14128,11.85
3068,2,13.67,,25.23,14128,9.43
3068,2,14.1,,15.5,14128,10.17
3068,2,14.35,,10.5,14128,10.18
3068,2,14.53,,17.77,14128,13.13
3068,2,14.82,,2.92,14128,13.42
3068,2,14.87,,9.18,14128,13.95
3068,2,15.02,,16.85,14128,12.08
3068,2,15.3,,30.98,14128,15.15
3068,2,15.82,,10.78,14128,12.08
3068,2,16.0,,0.02,14128,14.7
3068,2,16.0,,13.7,14128,17.55
3068,2,16.23,,14.58,14128,14.15
3068,2,16.47,,6.27,14128,9.78
3068,2,16.58,,25.13,14128,12.4
3068,2,17.0,,1.8,14128,11.03
3068,2,17.03,,19.13,14128,14.72
3068,2,17.35,,1.82,14128,9.93
3068,2,17.38,,10.57,14128,11.12
3068,2,17.55,,22.5,14128,12.02
3068,2,17.93,,1.23,14128,10.02
3068,2,17.95,,35.95,14128,9.03
3068,2,18.55,,6.32,14128,12.57
3068,2,18.65,,11.82,14128,8.23
3068,2,19.07,,6.05,14128,8.22
3068,2,19.17,,17.93,14128,8.92
3068,2,19.47,,12.27,14128,10.2
3068,2,19.68,,14.75,14128,11.28
3068,2,19.92,,28.68,14128,10.4
3068,2,20.4,,16.35,14128,9.25
3068,2,20.67,,19.4,14128,8.08
3068,2,21.0,,15.1,14128,7.93
3068,2,21.25,,24.35,14128,8.75
3068,2,21.65,,5.45,14128,10.32
3068,2,21.75,,27.0,14128,12.5
3068,2,22.2,,25.87,14128,8.4
3068,2,22.62,,26.87,14128,8.93
3068,2,23.07,,22.43,14128,7.77
3068,2,23.45,,,14128,7.73
3068,3,4.17,,17.57,14128,6.52
3068,3,4.47,,22.48,14128,9.3
3068,3,4.83,,15.43,14128,7.83
3068,3,5.1,,8.25,14128,8.37
3068,3,5.23,,9.37,14128,8.75
3068,3,5.4,,18.73,14128,7.57
3068,3,5.7,,8.77,14128,7.95
