origin,day_of_week,decimal_time,wait|3040,wait|3099,destination,travel_time
17339,2,4.43,,16.2,16138,1.83
17339,2,4.72,,38.92,16138,2.8
17339,2,5.35,,3.47,16138,1.92
17339,2,5.42,,8.52,16138,1.38
17339,2,5.55,,12.92,16138,2.03
17339,2,5.77,,11.63,16138,2.23
17339,2,5.97,,14.6,16138,1.83
17339,2,6.22,,12.7,16138,2.2
17339,2,6.42,,6.62,16138,2.33
17339,2,6.53,,6.88,16138,2.12
17339,2,6.65,,9.53,16138,2.08
17339,2,6.8,,2.95,16138,3.17
17339,2,6.85,,9.67,16138,1.87
17339,2,7.02,,10.1,16138,2.07
17339,2,7.18,,39.73,16138,2.78
17339,2,7.85,,10.95,16138,3.23
17339,2,8.03,,8.93,16138,3.22
17339,2,8.18,,13.8,16138,3.37
17339,2,8.4,,18.13,16138,2.77
17339,2,8.72,,6.33,16138,2.93
17339,2,8.82,,6.5,16138,8.03
17339,2,8.92,,41.25,16138,3.07
17339,2,9.62,,1.43,16138,3.1
17339,2,9.63,,15.68,16138,2.22
17339,2,9.9,,6.22,16138,3.05
17339,2,10.0,,29.28,16138,2.78
17339,2,10.48,,1.23,16138,3.73
17339,2,10.52,,26.02,16138,2.8
17339,2,10.95,,25.4,16138,3.22
17339,2,11.37,,22.4,16138,3.93
17339,2,11.73,,2.33,16138,3.52
17339,2,11.78,,16.75,16138,3.52
17339,2,12.05,,21.85,16138,4.48
17339,2,12.42,,5.08,16138,2.98
17339,2,12.5,,29.45,16138,2.6
17339,2,13.0,,0.73,16138,3.42
17339,2,13.02,,13.2,16138,3.32
17339,2,13.23,,15.97,16138,2.75
17339,2,13.5,,28.58,16138,3.3
17339,2,13.97,,22.8,16138,4.37
17339,2,14.35,,22.18,16138,3.83
17339,2,14.72,,14.67,16138,3.45
17339,2,14.97,,17.5,16138,5.07
17339,2,15.25,,5.28,16138,4.2
17339,2,15.35,,4.53,16138,2.62
17339,2,15.42,,20.98,16138,3.35
17339,2,15.77,,27.33,16138,4.47
17339,2,16.23,,11.93,16138,4.37
17339,2,16.43,,4.67,16138,3.57
17339,2,16.5,,11.65,16138,2.8
17339,2,16.7,,7.75,16138,3.95
17339,2,16.83,,8.25,16138,3.62
17339,2,16.97,,22.3,16138,6.08
17339,2,17.33,,3.23,16138,3.78
