origin,day_of_week,decimal_time,wait|3040,wait|3099,destination,travel_time
3060,2,4.08,,17.67,14128,15.12
3060,2,4.38,,39.25,14128,13.63
3060,2,5.03,,2.83,14128,12.95
3060,2,5.08,,12.65,14128,12.0
3060,2,5.3,,10.13,14128,10.9
3060,2,5.47,,10.2,14128,12.57
3060,2,5.63,,16.53,14128,13.15
3060,2,5.92,,9.67,14128,13.78
3060,2,6.07,,7.45,14128,14.9
3060,2,6.2,,4.7,14128,11.55
3060,2,6.27,,9.83,14128,15.88
3060,2,6.43,,4.55,14128,14.95
3060,2,6.52,,7.5,14128,15.4
3060,2,6.63,,13.08,14128,16.12
3060,2,6.85,,33.1,14128,13.97
3060,2,7.42,,11.72,14128,16.72
3060,2,7.6,,0.13,14128,19.37
3060,2,7.6,,5.27,14128,17.52
3060,2,7.7,,15.67,14128,19.02
3060,2,7.95,,21.4,14128,16.78
3060,2,8.32,,2.75,14128,17.85
3060,2,8.35,,12.53,14128,16.8
3060,2,8.57,,42.53,14128,13.95
3060,2,9.28,,0.12,14128,13.43
3060,2,9.28,,15.25,14128,13.23
3060,2,9.53,,3.97,14128,15.33
3060,2,9.6,,27.62,14128,17.25
3060,2,10.05,,5.35,14128,15.75
3060,2,10.15,,21.27,14128,14.37
3060,2,10.5,,15.25,14128,17.37
3060,2,10.75,,12.82,14128,21.15
3060,2,10.97,,18.97,14128,15.77
3060,2,11.28,,5.3,14128,16.28
3060,2,11.37,,15.8,14128,15.37
3060,2,11.63,,20.92,14128,17.13
3060,2,11.98,,6.98,14128,16.87
3060,2,12.1,,22.95,14128,16.07
3060,2,12.48,,3.93,14128,21.35
3060,2,12.55,,19.33,14128,18.32
3060,2,12.87,,10.88,14128,12.07
3060,2,13.05,,30.82,14128,17.48
3060,2,13.57,,23.28,14128,15.77
3060,2,13.95,,17.45,14128,18.45
3060,2,14.25,,10.68,14128,16.52
3060,2,14.42,,18.02,14128,19.28
3060,2,14.72,,2.55,14128,19.32
3060,2,14.77,,10.47,14128,20.22
