route,first_departure,last_arrival,type
80,04:13:00,23:59:59,U
81,00:00:00,23:59:59,W
81,00:00:00,23:59:59,S
81,00:00:00,23:59:59,U
81W,04:50:00,23:24:00,W
81W,04:48:00,23:10:00,S
81W,08:15:00,23:05:00,U
82,03:59:00,23:59:59,W
82,04:14:00,23:59:59,S
82,04:09:00,23:59:59,U
84,04:55:00,22:58:00,W
84,04:55:00,21:11:00,S
84,07:25:00,20:59:00,U
85,03:37:00,23:59:59,W
85,03:55:00,23:59:59,S
85,03:55:00,23:59:59,U
85A,05:06:00,21:53:00,W
85A,05:45:00,20:13:00,S
86,05:15:00,22:48:00,W
87,00:00:00,23:59:59,W
87,00:00:00,23:59:59,S
87,00:00:00,23:59:59,U
88,04:40:00,23:15:00,W
88,05:40:00,23:15:00,S
88,06:40:00,23:12:00,U
90,04:15:00,23:59:59,W
90,04:25:00,23:04:00,S
90,06:15:00,22:31:00,U
91,04:10:00,23:48:00,W
91,05:35:00,23:29:00,S
91,06:15:00,23:11:00,U
92,04:15:00,23:35:00,W
92,04:15:00,22:57:00,S
92,05:25:00,22:50:00,U
93,04:48:00,22:53:00,W
93,06:30:00,21:27:00,S
94,03:46:00,23:59:59,W
94,04:55:00,23:59:59,S
94,05:28:00,23:45:00,U
95,04:25:00,23:59:59,W
95,04:27:00,23:59:59,S
95,04:57:00,23:59:59,U
96,05:21:00,19:59:00,W
97,04:50:00,23:46:00,W
97,06:25:00,23:21:00,S
97,06:30:00,23:25:00,U
100,05:15:00,20:21:00,W
103,04:25:00,23:59:59,W
103,04:35:00,23:44:00,S
103,04:30:00,23:56:00,U
106,04:40:00,23:15:00,W
106,04:40:00,22:42:00,S
106,04:37:00,22:53:00,U
108,05:25:00,21:48:00,W
111,04:25:00,23:59:59,W
111,04:51:00,23:59:59,S
111,05:31:00,23:59:59,U
111A,06:15:00,20:25:00,W
111A,06:15:00,20:26:00,S
111A,06:15:00,20:25:00,U
112,04:09:00,23:28:00,W
112,04:22:00,23:34:00,S
112,04:46:00,23:30:00,U
115,04:20:00,23:59:59,W
115,04:37:00,23:55:00,S
115,05:18:00,23:59:59,U
119,03:57:00,23:59:59,W
119,05:05:00,23:59:59,S
119,04:55:00,23:59:59,U
120,06:45:00,10:06:00,W
120,15:45:00,18:55:00,W
121,06:35:00,10:23:00,W
121,15:35:00,19:03:00,W
124,08:23:00,23:17:00,W
124,08:35:00,23:19:00,S
124,08:35:00,23:15:00,U
125,06:10:00,10:22:00,W
125,14:45:00,20:13:00,W
126,04:45:00,23:59:59,W
126,05:34:00,23:59:59,S
126,05:34:00,23:59:59,U
132,06:21:00,09:35:00,W
132,15:25:00,19:10:00,W
134,06:10:00,10:24:00,W
134,15:40:00,19:35:00,W
135,05:40:00,10:32:00,W
135,14:55:00,20:09:00,W
136,05:40:00,10:19:00,W
136,15:40:00,19:53:00,W
143,06:25:00,10:00:00,W
143,15:55:00,19:38:00,W
146,04:55:00,23:59:59,W
146,05:55:00,23:59:59,S
146,05:55:00,23:59:59,U
147,04:05:00,23:52:00,W
147,04:35:00,23:54:00,U
147,05:14:00,23:52:00,S
148,05:55:00,10:33:00,W
148,14:55:00,19:45:00,W
151,03:55:00,23:59:59,W
151,04:25:00,23:59:59,S
151,04:15:00,23:59:59,U
152,04:22:00,23:59:59,W
152,05:09:00,21:55:00,S
152,07:04:00,21:47:00,U
155,04:40:00,23:59:59,W
155,04:55:00,23:59:59,S
155,05:15:00,23:59:59,U
156,05:10:00,21:14:00,W
157,05:25:00,20:32:00,W
165,05:31:00,09:51:00,W
165,14:49:00,18:58:00,W
171,07:27:00,19:02:00,W
171,07:57:00,19:02:00,S
171,07:57:00,19:02:00,U
172,07:25:00,19:03:00,W
172,07:55:00,19:07:00,S
172,07:55:00,19:07:00,U
192,06:25:00,10:03:00,W
192,15:40:00,20:04:00,W
201,04:55:00,21:08:00,W
201,08:50:00,20:21:00,S
206,07:00:00,09:22:00,W
206,14:13:00,18:21:00,W
