hour	Columbus & Randolph	Randolph & Stetson	Wacker (Upper) & Stetson	Wacker (Upper) & Michigan	Wacker (Upper) & Wabash	State & Lake	State & Washington	State & Monroe	State & Jackson	State & Van Buren	State & Harrison/Congress	Balbo & State	Balbo & Michigan	Balbo & Columbus	1100 S Columbus (Pedestrian Underpass)	Lake Park & 47th Street 	Lake Park & 48th Street	Lake Park & 49th Street	5000 S Lake Park	Lake Park & E. Hyde Park Blvd	E Hyde Park & Cornell	S Hyde Park & E. Hyde Park Blvd.	5200 S S Hyde Park	S Hyde Park & 53rd Street	S Hyde Park & 54th Street	5440 S S Hyde Park	S Hyde Park & 55th Street	S Hyde Park & 56th Street	Stony Island & 57th Street	Stony Island & 59th Street	Stony Island & 60th Street	Stony Island & 61st Street	Stony Island & 62nd Street	Stony Island & 63rd Street	Stony Island & 64th Street	Stony Island & 65th Street	67th Street & Cornell	67th Street & East End	67th Street & Cregier	67th Street & Bennett	67th Street & Jeffery	67th Street & Chappel	67th Street & Clyde	67th Street & Paxton	67th Street & Crandon	67th Street & Oglesby	67th Street & South Shore	S. Shore Drive & 68th Street	S. Shore Drive & 69th Street	S. Shore Drive & 70th Street	S. Shore Drive & 71st Street	S. Shore Drive & Coles	S. Shore Drive & 72nd Street	S. Shore Drive & 73rd Street	S. Shore Drive & 74th Street	S. Shore Drive & 75th Street	S. Shore Drive & 76th Street	S. Shore Drive & 77th Street	S. Shore Drive & 78th Street	S. Shore Drive & Cheltenham	S. Shore Drive & 79th Street	79th Street & Lake Shore Drive
11	[3, 2, 1, 4]	[2, 2, 2, 3]	[2, 2, 1, 3]	[2, 6, 1, 3]	[2, 6, 4, 0]	[3, 2, 4, 7]	[6, 0, 5, 2]	[5, 4, 4, 2]	[4, 4, 8, 6]	[4, 6, 7, 2]	[4, 7, 8, 8]	[8, 7, 3, 4]	[5, 5, 5, 10]	[7, 6, 4, 8]	[7, 4, 4, 11]	[4, 7, 5, 6]	[5, 5, 5, 7]	[8, 10, 2, 5]	[8, 7, 3, 6]	[6, 7, 4, 3]	[5, 6, 4, 5]	[6, 10, 7, 2]	[6, 11, 3, 6]	[6, 8, 6, 6]	[9, 6, 6, 8]	[8, 4, 4, 12]	[4, 6, 10, 9]	[7, 13, 5, 6]	[10, 10, 8, 11]	[6, 11, 6, 9]	[6, 11, 11, 8]	[5, 13, 8, 7]	[5, 11, 7, 10]	[6, 9, 6, 11]	[7, 8, 7, 10]	[5, 10, 10, 11]	[6, 17, 4, 12]	[8, 11, 11, 7]	[8, 14, 10, 7]	[9, 8, 13, 9]	[12, 9, 8, 14]	[10, 12, 8, 10]	[10, 12, 5, 15]	[14, 7, 12, 9]	[11, 9, 12, 12]	[10, 12, 6, 15]	[11, 8, 13, 10]	[13, 9, 12, 5]	[14, 13, 9, 6]	[19, 13, 6, 7]	[15, 15, 5, 9]	[19, 13, 8, 7]	[15, 15, 6, 10]	[14, 15, 8, 5]	[16, 14, 3, 10]	[18, 11, 7, 8]	[18, 14, 6, 10]	[18, 15, 5, 13]	[19, 13, 8, 10]	[16, 13, 12, 11]	[15, 10, 10, 12]	[10, 5, 2, 10]
12	[3, 2, 1, 2]	[3, 1, 1, 1]	[1, 3, 0, 2]	[0, 2, 2, 4]	[1, 4, 3, 5]	[0, 4, 4, 5]	[3, 4, 2, 2]	[3, 6, 0, 5]	[2, 4, 3, 6]	[2, 4, 4, 3]	[2, 6, 5, 5]	[2, 6, 6, 9]	[2, 3, 7, 10]	[3, 5, 6, 4]	[5, 5, 6, 6]	[11, 5, 7, 8]	[8, 8, 8, 6]	[9, 5, 8, 7]	[8, 8, 5, 6]	[11, 5, 7, 10]	[6, 11, 10, 11]	[10, 11, 4, 8]	[10, 10, 7, 12]	[11, 12, 5, 13]	[16, 6, 10, 12]	[15, 12, 7, 9]	[14, 10, 7, 9]	[15, 7, 8, 10]	[8, 16, 9, 17]	[7, 19, 13, 16]	[10, 18, 8, 16]	[11, 16, 9, 15]	[9, 17, 14, 15]	[12, 16, 14, 13]	[13, 17, 4, 16]	[12, 12, 13, 12]	[10, 13, 13, 11]	[9, 24, 4, 11]	[7, 22, 12, 10]	[10, 20, 15, 9]	[9, 16, 15, 8]	[7, 20, 10, 11]	[9, 13, 16, 10]	[10, 19, 12, 12]	[11, 20, 10, 15]	[10, 20, 9, 12]	[13, 15, 10, 13]	[11, 12, 16, 9]	[17, 10, 12, 11]	[14, 21, 8, 6]	[13, 18, 10, 10]	[15, 18, 9, 8]	[16, 20, 6, 9]	[18, 16, 7, 10]	[21, 14, 10, 7]	[16, 22, 13, 7]	[22, 17, 13, 9]	[23, 11, 8, 9]	[22, 11, 12, 5]	[26, 13, 13, 8]	[17, 18, 12, 6]	[15, 11, 15, 12]
13	[2, 6, 5, 8]	[1, 7, 3, 10]	[7, 1, 6, 5]	[7, 4, 4, 7]	[5, 6, 5, 4]	[6, 5, 6, 7]	[4, 8, 4, 10]	[6, 6, 7, 8]	[5, 7, 9, 11]	[7, 4, 12, 9]	[6, 8, 12, 8]	[6, 12, 4, 9]	[8, 8, 7, 7]	[11, 6, 7, 10]	[11, 6, 7, 9]	[12, 10, 11, 8]	[13, 12, 13, 8]	[12, 8, 16, 8]	[11, 10, 12, 11]	[12, 13, 13, 13]	[18, 9, 11, 14]	[13, 16, 9, 12]	[15, 16, 8, 20]	[11, 14, 15, 14]	[17, 14, 12, 11]	[16, 15, 12, 7]	[17, 14, 11, 11]	[17, 12, 11, 13]	[10, 26, 11, 12]	[13, 13, 18, 12]	[14, 21, 8, 20]	[16, 20, 12, 15]	[17, 18, 15, 13]	[17, 14, 11, 9]	[16, 14, 7, 13]	[16, 12, 6, 14]	[8, 9, 14, 14]	[8, 15, 11, 18]	[9, 13, 13, 14]	[8, 12, 14, 13]	[11, 11, 15, 14]	[11, 18, 10, 13]	[13, 14, 15, 11]	[14, 14, 13, 10]	[14, 15, 13, 10]	[17, 15, 14, 8]	[13, 22, 10, 11]	[16, 12, 14, 15]	[18, 20, 12, 13]	[17, 22, 9, 13]	[18, 16, 16, 16]	[20, 13, 15, 22]	[16, 19, 16, 12]	[20, 15, 14, 14]	[23, 14, 14, 21]	[26, 19, 5, 9]	[24, 17, 10, 12]	[29, 15, 8, 9]	[27, 15, 7, 7]	[27, 15, 11, 5]	[26, 15, 4, 13]	[14, 15, 8, 8]
14	[1, 2, 3, 4]	[1, 3, 1, 7]	[2, 3, 2, 7]	[1, 1, 4, 5]	[4, 2, 4, 7]	[5, 5, 5, 4]	[4, 8, 5, 5]	[5, 5, 6, 7]	[6, 4, 9, 10]	[5, 6, 14, 12]	[5, 10, 7, 19]	[7, 12, 9, 16]	[7, 19, 10, 12]	[6, 20, 11, 16]	[5, 20, 8, 15]	[11, 18, 17, 20]	[18, 14, 13, 17]	[20, 12, 8, 25]	[17, 13, 16, 15]	[17, 15, 13, 15]	[15, 21, 19, 14]	[18, 17, 16, 19]	[19, 17, 15, 19]	[18, 20, 15, 8]	[18, 22, 11, 22]	[23, 21, 13, 14]	[24, 24, 15, 13]	[26, 17, 15, 17]	[22, 18, 9, 18]	[20, 20, 15, 21]	[19, 21, 12, 27]	[23, 18, 14, 25]	[21, 21, 11, 25]	[20, 24, 10, 20]	[22, 23, 9, 18]	[26, 20, 19, 13]	[12, 26, 23, 20]	[19, 15, 21, 13]	[14, 22, 17, 13]	[14, 23, 17, 12]	[27, 15, 15, 18]	[19, 26, 9, 23]	[22, 25, 13, 25]	[18, 29, 13, 21]	[25, 22, 16, 17]	[20, 28, 12, 15]	[18, 25, 19, 12]	[22, 17, 21, 13]	[25, 17, 16, 18]	[31, 22, 16, 13]	[31, 22, 10, 18]	[30, 17, 15, 16]	[25, 22, 17, 20]	[30, 19, 15, 15]	[25, 23, 12, 16]	[24, 19, 18, 13]	[21, 18, 22, 12]	[26, 17, 21, 12]	[24, 25, 24, 8]	[25, 26, 23, 9]	[31, 26, 19, 16]	[21, 22, 18, 18]
15	[6, 3, 4, 2]	[3, 8, 4, 1]	[3, 2, 6, 6]	[5, 5, 5, 2]	[4, 4, 8, 3]	[10, 1, 6, 6]	[5, 5, 7, 8]	[4, 7, 10, 9]	[9, 8, 4, 14]	[11, 5, 7, 6]	[6, 9, 12, 8]	[10, 5, 10, 10]	[6, 18, 8, 16]	[19, 9, 13, 10]	[16, 14, 12, 16]	[18, 18, 19, 26]	[20, 14, 23, 17]	[25, 13, 19, 21]	[17, 22, 17, 21]	[26, 16, 18, 15]	[23, 20, 22, 15]	[16, 25, 22, 13]	[20, 22, 20, 21]	[22, 16, 23, 15]	[20, 21, 20, 16]	[21, 26, 17, 20]	[23, 29, 23, 18]	[21, 25, 28, 22]	[20, 34, 18, 29]	[24, 24, 25, 21]	[22, 32, 17, 21]	[21, 26, 23, 22]	[25, 22, 22, 18]	[19, 29, 21, 20]	[21, 28, 15, 23]	[22, 22, 23, 21]	[15, 23, 18, 15]	[13, 25, 19, 13]	[17, 21, 20, 12]	[15, 24, 16, 11]	[18, 18, 10, 12]	[12, 25, 11, 13]	[16, 22, 11, 12]	[15, 20, 12, 13]	[16, 17, 19, 13]	[15, 14, 20, 15]	[16, 12, 18, 18]	[15, 18, 13, 15]	[21, 18, 13, 21]	[19, 18, 15, 17]	[17, 16, 18, 16]	[17, 20, 19, 11]	[19, 17, 16, 17]	[17, 24, 16, 13]	[26, 21, 16, 12]	[24, 18, 22, 11]	[24, 18, 22, 14]	[28, 19, 13, 17]	[28, 18, 21, 10]	[22, 29, 16, 9]	[18, 27, 17, 13]	[19, 20, 17, 6]
16	[5, 2, 4, 1]	[1, 4, 2, 3]	[1, 4, 2, 5]	[5, 2, 7, 6]	[5, 5, 7, 6]	[7, 7, 7, 7]	[5, 7, 7, 7]	[5, 10, 8, 5]	[13, 5, 6, 7]	[5, 11, 8, 7]	[9, 12, 9, 15]	[9, 9, 16, 11]	[9, 11, 12, 14]	[10, 15, 15, 9]	[13, 13, 15, 10]	[15, 20, 9, 11]	[20, 16, 12, 12]	[20, 13, 15, 9]	[21, 14, 13, 11]	[27, 16, 8, 11]	[14, 21, 9, 11]	[14, 16, 15, 13]	[20, 16, 12, 12]	[16, 16, 14, 15]	[16, 17, 16, 12]	[17, 16, 16, 11]	[13, 21, 10, 18]	[15, 20, 14, 15]	[13, 20, 16, 13]	[10, 22, 11, 14]	[14, 18, 14, 9]	[14, 20, 8, 11]	[12, 19, 8, 15]	[12, 16, 5, 16]	[14, 15, 7, 17]	[20, 13, 8, 16]	[15, 14, 16, 20]	[11, 11, 13, 17]	[11, 12, 15, 13]	[6, 13, 15, 12]	[13, 13, 11, 14]	[13, 14, 12, 16]	[14, 14, 13, 11]	[15, 17, 8, 13]	[14, 15, 10, 11]	[20, 13, 10, 16]	[18, 19, 9, 13]	[19, 10, 19, 10]	[17, 14, 17, 12]	[20, 15, 11, 15]	[26, 10, 9, 15]	[25, 16, 10, 6]	[23, 16, 10, 12]	[27, 15, 7, 13]	[23, 16, 7, 12]	[18, 22, 10, 15]	[24, 23, 8, 10]	[22, 24, 10, 13]	[15, 29, 9, 11]	[24, 25, 11, 13]	[25, 17, 19, 15]	[9, 17, 9, 12]
17	[1, 6, 4, 4]	[4, 7, 2, 3]	[3, 7, 6, 1]	[5, 7, 5, 5]	[7, 6, 5, 5]	[4, 10, 13, 9]	[10, 16, 11, 9]	[11, 13, 21, 8]	[15, 12, 12, 14]	[11, 12, 17, 12]	[9, 13, 12, 14]	[13, 11, 8, 9]	[15, 3, 11, 18]	[12, 10, 10, 16]	[10, 11, 14, 16]	[15, 13, 7, 8]	[14, 11, 6, 12]	[16, 11, 12, 12]	[11, 15, 18, 8]	[12, 15, 16, 11]	[4, 19, 16, 11]	[13, 15, 15, 19]	[14, 15, 15, 13]	[13, 17, 16, 17]	[14, 17, 11, 18]	[14, 18, 19, 12]	[16, 15, 17, 11]	[20, 19, 15, 18]	[10, 17, 17, 19]	[14, 18, 15, 24]	[21, 25, 12, 18]	[18, 21, 16, 20]	[22, 24, 14, 22]	[20, 27, 15, 18]	[31, 14, 19, 16]	[27, 23, 17, 16]	[13, 19, 18, 20]	[22, 20, 9, 11]	[22, 19, 10, 16]	[24, 18, 8, 9]	[17, 15, 22, 8]	[13, 26, 11, 12]	[15, 18, 13, 15]	[14, 22, 12, 13]	[14, 21, 14, 11]	[12, 23, 12, 9]	[17, 9, 15, 12]	[14, 14, 12, 4]	[11, 9, 15, 5]	[15, 9, 12, 7]	[15, 10, 6, 9]	[13, 11, 10, 11]	[14, 15, 13, 10]	[12, 16, 16, 13]	[19, 10, 13, 15]	[14, 16, 13, 16]	[18, 16, 13, 10]	[14, 17, 10, 6]	[11, 20, 11, 10]	[15, 17, 11, 9]	[20, 12, 12, 9]	[7, 5, 11, 9]
18	[6, 5, 5, 6]	[5, 8, 4, 4]	[7, 6, 6, 8]	[5, 18, 9, 9]	[9, 9, 10, 11]	[11, 7, 11, 14]	[10, 11, 13, 15]	[10, 12, 15, 12]	[14, 12, 8, 18]	[19, 14, 7, 21]	[19, 13, 17, 18]	[12, 22, 17, 23]	[15, 19, 16, 18]	[19, 31, 19, 19]	[24, 27, 19, 16]	[26, 27, 25, 20]	[33, 21, 22, 20]	[28, 29, 19, 23]	[29, 36, 25, 21]	[24, 29, 38, 15]	[28, 26, 29, 28]	[24, 27, 30, 32]	[24, 30, 30, 37]	[29, 23, 41, 31]	[37, 18, 35, 35]	[37, 32, 26, 36]	[30, 38, 29, 28]	[27, 41, 27, 29]	[30, 42, 30, 26]	[32, 37, 33, 23]	[38, 38, 23, 16]	[39, 43, 21, 16]	[37, 42, 21, 19]	[42, 38, 19, 19]	[37, 38, 29, 23]	[38, 34, 25, 29]	[25, 41, 27, 42]	[26, 50, 23, 26]	[26, 45, 30, 23]	[28, 47, 26, 28]	[34, 30, 41, 21]	[34, 43, 15, 28]	[33, 39, 16, 25]	[33, 40, 19, 29]	[42, 31, 22, 24]	[43, 30, 29, 26]	[38, 34, 24, 28]	[44, 30, 35, 26]	[48, 29, 32, 25]	[53, 34, 26, 22]	[43, 34, 35, 24]	[49, 38, 36, 35]	[46, 37, 31, 23]	[54, 33, 33, 22]	[49, 44, 28, 27]	[53, 26, 32, 25]	[42, 33, 30, 24]	[37, 39, 32, 17]	[39, 35, 35, 20]	[37, 32, 37, 29]	[40, 34, 24, 25]	[14, 23, 14, 15]
19	[8, 6, 0, 4]	[7, 10, 5, 4]	[0, 5, 6, 6]	[3, 1, 5, 6]	[3, 6, 5, 5]	[5, 7, 4, 4]	[3, 8, 5, 4]	[8, 5, 5, 7]	[8, 4, 11, 4]	[8, 8, 5, 6]	[12, 8, 8, 7]	[12, 10, 12, 5]	[13, 9, 7, 12]	[10, 9, 12, 7]	[19, 11, 13, 8]	[7, 15, 6, 9]	[5, 14, 9, 5]	[11, 8, 9, 11]	[10, 11, 11, 9]	[9, 9, 7, 11]	[15, 7, 15, 9]	[8, 4, 11, 20]	[13, 7, 13, 14]	[9, 12, 10, 10]	[11, 15, 7, 18]	[12, 13, 12, 12]	[12, 8, 9, 10]	[13, 18, 6, 8]	[7, 13, 12, 15]	[14, 19, 14, 8]	[19, 19, 12, 15]	[17, 20, 17, 15]	[13, 11, 16, 23]	[19, 14, 13, 13]	[15, 11, 14, 15]	[22, 19, 9, 12]	[9, 14, 15, 15]	[9, 10, 13, 9]	[10, 14, 10, 10]	[16, 12, 11, 14]	[10, 16, 7, 11]	[11, 16, 8, 12]	[13, 14, 11, 14]	[20, 11, 11, 12]	[25, 8, 11, 10]	[16, 17, 17, 8]	[22, 8, 11, 4]	[24, 14, 12, 6]	[20, 17, 11, 9]	[23, 12, 15, 12]	[16, 13, 11, 11]	[14, 11, 7, 13]	[13, 11, 11, 10]	[11, 13, 10, 11]	[15, 14, 8, 14]	[11, 11, 12, 12]	[17, 11, 13, 9]	[19, 9, 8, 6]	[24, 6, 11, 7]	[20, 9, 10, 6]	[19, 13, 8, 6]	[8, 7, 7, 3]
20	[3, 4, 2, 1]	[3, 2, 3, 0]	[0, 3, 1, 2]	[3, 1, 1, 5]	[1, 3, 3, 4]	[6, 1, 1, 3]	[3, 1, 1, 4]	[6, 6, 4, 3]	[9, 1, 3, 1]	[6, 0, 1, 5]	[8, 4, 4, 5]	[3, 4, 5, 7]	[9, 7, 6, 3]	[6, 7, 12, 4]	[16, 8, 10, 6]	[14, 12, 11, 6]	[11, 14, 5, 7]	[14, 11, 8, 5]	[14, 13, 10, 10]	[15, 17, 7, 8]	[12, 17, 14, 12]	[13, 10, 9, 10]	[9, 9, 12, 15]	[10, 11, 12, 9]	[11, 7, 13, 16]	[9, 13, 9, 8]	[11, 15, 15, 9]	[9, 14, 10, 20]	[12, 13, 11, 8]	[12, 11, 9, 11]	[10, 12, 9, 14]	[8, 13, 9, 8]	[8, 13, 11, 11]	[12, 11, 12, 14]	[12, 10, 13, 13]	[16, 10, 10, 12]	[8, 14, 10, 8]	[15, 8, 4, 9]	[14, 9, 11, 8]	[12, 6, 8, 10]	[11, 9, 7, 14]	[13, 10, 9, 17]	[17, 9, 16, 15]	[12, 11, 10, 15]	[15, 11, 19, 12]	[15, 11, 12, 18]	[17, 13, 12, 12]	[12, 14, 20, 6]	[12, 13, 12, 15]	[10, 10, 12, 12]	[13, 5, 6, 20]	[15, 9, 12, 15]	[13, 12, 9, 16]	[19, 10, 5, 18]	[17, 14, 12, 17]	[23, 9, 10, 19]	[18, 10, 15, 11]	[18, 13, 16, 17]	[25, 11, 17, 7]	[20, 9, 9, 13]	[11, 14, 14, 17]	[7, 10, 13, 12]
21	[2, 3, 3, 1]	[3, 2, 4, 4]	[2, 4, 2, 2]	[7, 5, 4, 5]	[3, 3, 1, 2]	[2, 4, 2, 4]	[3, 4, 8, 3]	[3, 3, 3, 7]	[2, 6, 4, 3]	[0, 2, 3, 4]	[3, 3, 4, 2]	[3, 5, 4, 5]	[4, 1, 10, 2]	[7, 4, 4, 4]	[6, 7, 8, 7]	[6, 7, 7, 4]	[6, 3, 4, 3]	[8, 10, 7, 6]	[8, 6, 12, 5]	[5, 7, 7, 7]	[3, 2, 5, 4]	[1, 2, 3, 4]	[4, 4, 5, 2]	[4, 8, 3, 2]	[2, 4, 1, 3]	[4, 6, 3, 3]	[2, 4, 5, 3]	[5, 4, 3, 1]	[0, 4, 8, 3]	[6, 8, 6, 5]	[4, 8, 7, 2]	[7, 4, 7, 5]	[8, 9, 1, 7]	[5, 6, 3, 6]	[2, 6, 3, 4]	[2, 5, 7, 2]	[4, 2, 14, 4]	[6, 6, 9, 5]	[6, 8, 11, 6]	[9, 10, 8, 10]	[9, 9, 12, 11]	[8, 8, 6, 9]	[10, 9, 4, 12]	[9, 6, 7, 11]	[9, 10, 10, 5]	[10, 11, 8, 6]	[10, 5, 7, 6]	[7, 4, 4, 5]	[14, 10, 3, 10]	[11, 7, 10, 8]	[12, 9, 6, 2]	[11, 10, 3, 8]	[10, 10, 7, 5]	[12, 15, 8, 9]	[10, 9, 5, 8]	[9, 6, 11, 6]	[17, 11, 9, 5]	[16, 8, 4, 12]	[9, 8, 5, 6]	[5, 9, 8, 7]	[8, 9, 8, 3]	[6, 6, 2, 6]
22	[3, 5, 2, 3]	[7, 6, 8, 2]	[7, 5, 3, 6]	[1, 3, 10, 3]	[2, 5, 3, 1]	[2, 2, 5, 6]	[2, 4, 1, 4]	[5, 6, 7, 5]	[4, 2, 5, 2]	[5, 4, 1, 3]	[2, 4, 2, 6]	[7, 7, 6, 4]	[5, 2, 5, 5]	[6, 6, 5, 3]	[12, 12, 8, 8]	[2, 2, 8, 7]	[6, 3, 3, 5]	[3, 8, 9, 7]	[7, 7, 4, 9]	[2, 1, 2, 2]	[5, 4, 5, 3]	[4, 4, 4, 4]	[5, 9, 3, 8]	[7, 4, 4, 2]	[0, 4, 4, 5]	[2, 4, 4, 1]	[5, 8, 7, 4]	[3, 8, 4, 7]	[8, 4, 4, 3]	[6, 7, 7, 8]	[5, 10, 6, 6]	[7, 12, 12, 8]	[5, 11, 9, 4]	[5, 6, 12, 5]	[3, 8, 7, 7]	[4, 8, 10, 10]	[5, 4, 8, 7]	[8, 5, 5, 10]	[7, 6, 9, 7]	[3, 11, 2, 10]	[8, 8, 7, 11]	[3, 3, 9, 5]	[9, 6, 10, 6]	[7, 9, 7, 9]	[9, 7, 4, 6]	[10, 6, 5, 6]	[3, 15, 10, 6]	[7, 6, 5, 6]	[3, 11, 6, 9]	[10, 7, 8, 6]	[8, 6, 4, 11]	[8, 6, 6, 9]	[8, 4, 4, 6]	[5, 2, 4, 5]	[2, 2, 7, 5]	[7, 3, 4, 5]	[2, 9, 5, 2]	[6, 6, 0, 3]	[4, 6, 4, 2]	[5, 6, 2, 3]	[8, 2, 2, 3]	[5, 4, 6, 5]
23	[2, 2, 4, 3]	[0, 3, 1, 1]	[0, 2, 0, 1]	[2, 1, 5, 5]	[5, 1, 3, 1]	[1, 1, 0, 3]	[2, 0, 1, 2]	[0, 3, 2, 4]	[2, 2, 3, 2]	[5, 1, 4, 5]	[1, 9, 4, 1]	[0, 7, 4, 4]	[2, 1, 5, 7]	[7, 4, 3, 6]	[3, 1, 3, 2]	[1, 7, 3, 7]	[3, 10, 5, 3]	[2, 4, 2, 3]	[1, 2, 4, 4]	[1, 8, 10, 8]	[4, 4, 8, 7]	[3, 6, 2, 7]	[4, 4, 6, 2]	[3, 3, 6, 2]	[6, 3, 3, 1]	[5, 8, 6, 4]	[3, 2, 8, 4]	[1, 5, 9, 4]	[4, 2, 7, 3]	[6, 6, 4, 3]	[3, 9, 1, 3]	[4, 6, 4, 5]	[4, 5, 5, 0]	[7, 8, 3, 2]	[4, 8, 5, 6]	[5, 3, 9, 5]	[8, 6, 7, 4]	[8, 6, 7, 11]	[1, 4, 0, 3]	[2, 4, 3, 2]	[4, 4, 4, 3]	[5, 7, 2, 5]	[2, 6, 7, 9]	[2, 5, 2, 4]	[2, 6, 5, 4]	[6, 3, 5, 3]	[5, 2, 6, 5]	[3, 5, 2, 3]	[3, 4, 4, 6]	[5, 3, 4, 9]	[3, 9, 2, 7]	[2, 4, 3, 3]	[4, 4, 3, 4]	[4, 4, 5, 6]	[4, 6, 6, 7]	[8, 5, 1, 5]	[8, 5, 6, 4]	[4, 6, 1, 4]	[2, 8, 7, 0]	[3, 7, 5, 7]	[6, 7, 8, 6]	[6, 1, 2, 4]
