hour	Chicago & Austin Terminal	Chicago & Mayfield	Chicago & Menard 	Chicago & Waller 	Chicago & Central	Chicago & Pine	Chicago & Long	Chicago & Lockwood	Chicago & Laramie	Chicago & Leclaire	Chicago & Lavergne	Chicago & Lamon	Chicago & Cicero	Chicago & Kilpatrick	Chicago & Kilbourn 	Chicago & Kostner	Chicago & Kildare	Chicago & Keeler	Chicago & Karlov	Chicago & Pulaski	Chicago & Springfield	Chicago & Hamlin	Chicago & Lawndale	Chicago & Central Park	Chicago & St. Louis	Chicago & Homan	Chicago & Spaulding	Chicago & Kedzie	Chicago & Sacramento	Chicago & Troy	Chicago & Sacramento.1	Chicago & Grand	Chicago & California	Chicago & Washtenaw	Chicago & Rockwell	Chicago & Campbell	Chicago & Western	Chicago & Oakley	Chicago & Leavitt	Chicago & Hoyne	Chicago & Damen	Chicago & Wolcott	Chicago & Wood	Chicago & Paulina	Chicago & Ashland	Chicago & Bishop	Chicago & Noble	Chicago & Elizabeth 	Chicago & Milwaukee	Chicago & Ogden	Chicago & Sangamon 	Chicago & Halsted	700 W Chicago	Chicago & Larrabee	Chicago & Hudson	Chicago & Franklin (Brown Line)	Chicago & LaSalle	Chicago & Clark	Chicago & State (Red Line)	Chicago & Michigan	Chicago & Mies Van Der Rohe	Chicago & Fairbanks	Fairbanks & Huron	Fairbanks & Ohio	Illinois & McClurg	Illinois & Peshtigo	Illinois & Lake Shore	Navy Pier Terminal
10	[1, 0, 4, 2]	[0, 3, 3, 3]	[0, 0, 4, 1]	[0, 1, 2, 2]	[0, 1, 2, 2]	[0, 2, 2, 3]	[0, 1, 1, 4]	[2, 1, 2, 5]	[3, 2, 5, 1]	[2, 4, 2, 4]	[2, 4, 2, 4]	[4, 5, 2, 2]	[0, 3, 2, 2]	[1, 4, 3, 1]	[5, 1, 5, 4]	[2, 2, 2, 6]	[3, 0, 2, 4]	[4, 2, 4, 4]	[5, 4, 3, 8]	[4, 7, 4, 4]	[2, 6, 4, 9]	[5, 5, 5, 8]	[6, 2, 7, 8]	[6, 8, 5, 8]	[4, 6, 6, 7]	[2, 2, 7, 6]	[3, 3, 7, 4]	[1, 8, 7, 7]	[4, 5, 2, 12]	[0, 0, 0, 0]	[4, 5, 2, 12]	[3, 6, 7, 9]	[4, 4, 8, 9]	[4, 5, 8, 8]	[6, 9, 7, 8]	[9, 7, 11, 8]	[11, 11, 10, 16]	[11, 13, 9, 9]	[15, 4, 10, 9]	[12, 8, 8, 15]	[9, 10, 9, 9]	[8, 9, 14, 7]	[7, 7, 9, 9]	[10, 8, 11, 12]	[10, 15, 5, 11]	[13, 9, 12, 18]	[8, 10, 14, 17]	[12, 10, 16, 9]	[12, 10, 13, 14]	[12, 7, 15, 11]	[15, 11, 14, 11]	[12, 15, 14, 7]	[19, 15, 12, 9]	[16, 14, 15, 11]	[16, 21, 9, 19]	[13, 20, 12, 9]	[12, 25, 18, 16]	[16, 27, 15, 17]	[20, 22, 22, 23]	[26, 28, 22, 32]	[18, 36, 21, 28]	[28, 24, 28, 26]	[32, 20, 25, 17]	[31, 30, 41, 16]	[21, 30, 24, 23]	[24, 29, 29, 20]	[31, 34, 18, 20]	[22, 34, 22, 27]
11	[1, 0, 1, 4]	[1, 0, 1, 4]	[1, 1, 1, 3]	[1, 0, 6, 0]	[1, 2, 1, 1]	[1, 2, 2, 2]	[2, 2, 1, 4]	[2, 5, 1, 3]	[2, 2, 3, 2]	[5, 2, 2, 1]	[2, 5, 1, 1]	[5, 4, 4, 1]	[5, 5, 2, 5]	[5, 4, 7, 3]	[8, 5, 6, 4]	[6, 4, 6, 7]	[7, 10, 6, 5]	[7, 4, 6, 3]	[7, 2, 8, 8]	[5, 2, 9, 5]	[5, 7, 4, 7]	[4, 8, 11, 4]	[4, 9, 8, 6]	[3, 10, 6, 11]	[4, 10, 9, 4]	[9, 8, 5, 6]	[9, 11, 5, 7]	[6, 7, 6, 6]	[10, 10, 8, 9]	[0, 0, 0, 0]	[10, 10, 8, 9]	[6, 13, 12, 9]	[11, 10, 11, 8]	[10, 10, 11, 7]	[9, 7, 12, 8]	[11, 6, 9, 9]	[10, 8, 4, 13]	[5, 11, 6, 6]	[6, 11, 8, 6]	[7, 9, 6, 7]	[3, 10, 13, 9]	[5, 11, 15, 7]	[6, 15, 11, 11]	[13, 13, 6, 5]	[7, 12, 9, 14]	[12, 10, 9, 13]	[9, 15, 9, 13]	[11, 11, 10, 14]	[6, 20, 14, 8]	[10, 11, 13, 13]	[8, 13, 11, 16]	[13, 8, 14, 14]	[14, 10, 11, 16]	[14, 15, 9, 13]	[16, 15, 9, 16]	[18, 18, 14, 23]	[17, 18, 17, 8]	[11, 16, 19, 14]	[15, 18, 16, 14]	[21, 17, 11, 14]	[22, 18, 13, 11]	[22, 17, 10, 9]	[21, 13, 16, 13]	[18, 22, 16, 6]	[12, 21, 12, 10]	[11, 16, 11, 13]	[12, 14, 11, 7]	[12, 9, 12, 6]
12	[1, 0, 4, 1]	[1, 3, 1, 2]	[3, 0, 1, 3]	[3, 2, 0, 5]	[2, 3, 0, 3]	[4, 4, 2, 1]	[0, 1, 1, 3]	[3, 1, 1, 2]	[3, 6, 1, 1]	[5, 2, 2, 6]	[7, 1, 4, 6]	[6, 8, 5, 4]	[5, 9, 3, 8]	[5, 3, 10, 6]	[7, 4, 7, 5]	[7, 5, 6, 14]	[7, 3, 9, 11]	[3, 6, 10, 9]	[3, 5, 8, 7]	[5, 7, 9, 14]	[8, 7, 8, 8]	[11, 6, 7, 13]	[9, 8, 8, 12]	[9, 14, 10, 9]	[10, 8, 16, 16]	[12, 9, 9, 11]	[11, 10, 11, 10]	[12, 11, 13, 11]	[12, 11, 5, 15]	[0, 0, 0, 0]	[12, 11, 5, 15]	[12, 9, 16, 11]	[9, 10, 14, 11]	[11, 8, 13, 13]	[13, 8, 14, 14]	[13, 10, 12, 13]	[11, 18, 8, 13]	[8, 8, 11, 9]	[11, 7, 14, 13]	[9, 13, 13, 10]	[8, 8, 16, 7]	[6, 14, 10, 7]	[8, 10, 11, 12]	[11, 14, 9, 16]	[13, 12, 9, 13]	[6, 16, 11, 7]	[15, 9, 10, 16]	[17, 13, 7, 19]	[14, 18, 8, 15]	[15, 17, 11, 17]	[27, 17, 16, 10]	[18, 20, 16, 18]	[28, 17, 8, 19]	[20, 20, 10, 17]	[17, 14, 12, 18]	[11, 18, 13, 11]	[11, 11, 15, 13]	[14, 10, 16, 11]	[10, 10, 10, 15]	[12, 15, 7, 9]	[12, 20, 11, 4]	[12, 12, 13, 8]	[12, 11, 13, 11]	[12, 13, 8, 14]	[16, 13, 14, 3]	[11, 14, 11, 6]	[10, 14, 10, 5]	[13, 16, 7, 9]
13	[3, 2, 0, 5]	[2, 1, 0, 4]	[6, 3, 1, 3]	[6, 4, 2, 7]	[4, 4, 2, 9]	[2, 5, 2, 7]	[3, 10, 1, 7]	[4, 3, 3, 11]	[3, 4, 5, 6]	[4, 3, 5, 14]	[5, 2, 3, 7]	[4, 5, 4, 5]	[1, 6, 8, 4]	[0, 6, 5, 9]	[4, 7, 6, 9]	[7, 7, 7, 6]	[7, 2, 12, 6]	[6, 3, 8, 5]	[6, 6, 11, 6]	[14, 4, 6, 8]	[5, 6, 9, 11]	[5, 10, 6, 8]	[10, 9, 10, 12]	[13, 9, 4, 10]	[12, 6, 7, 10]	[9, 5, 7, 14]	[9, 8, 6, 11]	[9, 8, 6, 10]	[11, 5, 12, 13]	[0, 0, 0, 0]	[11, 5, 12, 13]	[8, 7, 8, 7]	[6, 7, 11, 8]	[10, 4, 11, 9]	[9, 11, 8, 12]	[14, 4, 13, 12]	[9, 12, 10, 12]	[9, 15, 12, 11]	[12, 12, 15, 11]	[13, 11, 23, 11]	[11, 18, 20, 13]	[14, 16, 17, 11]	[16, 18, 18, 10]	[21, 18, 15, 11]	[19, 20, 17, 13]	[22, 19, 21, 22]	[20, 15, 26, 15]	[33, 17, 21, 14]	[14, 21, 14, 20]	[21, 20, 14, 17]	[18, 16, 17, 16]	[15, 16, 18, 13]	[31, 14, 15, 18]	[25, 20, 21, 12]	[23, 26, 24, 10]	[25, 30, 17, 16]	[27, 21, 25, 12]	[17, 24, 22, 17]	[21, 25, 14, 20]	[28, 20, 13, 18]	[29, 14, 11, 23]	[22, 20, 22, 13]	[15, 12, 22, 21]	[17, 13, 17, 15]	[22, 19, 16, 10]	[22, 20, 16, 13]	[16, 27, 17, 7]	[22, 22, 13, 15]
14	[4, 7, 7, 9]	[5, 5, 10, 11]	[6, 5, 10, 10]	[8, 6, 4, 12]	[5, 8, 4, 12]	[8, 8, 9, 11]	[6, 8, 5, 16]	[8, 3, 8, 16]	[4, 6, 12, 9]	[9, 4, 10, 8]	[7, 3, 12, 11]	[7, 6, 10, 15]	[7, 7, 11, 14]	[8, 9, 8, 18]	[7, 5, 12, 19]	[15, 21, 19, 26]	[10, 22, 27, 26]	[12, 23, 23, 24]	[11, 19, 28, 27]	[9, 21, 20, 20]	[8, 16, 22, 24]	[14, 17, 28, 21]	[12, 21, 18, 31]	[17, 18, 25, 27]	[17, 14, 19, 37]	[10, 19, 16, 33]	[15, 25, 12, 20]	[19, 22, 20, 23]	[16, 17, 21, 33]	[0, 0, 0, 0]	[16, 17, 21, 33]	[11, 21, 21, 35]	[24, 16, 25, 21]	[21, 17, 24, 20]	[18, 15, 25, 35]	[15, 26, 17, 29]	[20, 25, 26, 27]	[19, 26, 33, 26]	[28, 23, 29, 27]	[27, 33, 28, 34]	[30, 28, 25, 36]	[26, 38, 36, 37]	[26, 35, 32, 33]	[31, 30, 29, 32]	[32, 29, 25, 33]	[34, 20, 22, 20]	[37, 30, 18, 21]	[33, 29, 17, 24]	[30, 37, 24, 26]	[38, 28, 33, 24]	[34, 32, 25, 24]	[30, 36, 24, 22]	[35, 34, 24, 25]	[31, 25, 34, 20]	[30, 28, 21, 26]	[26, 29, 20, 29]	[25, 12, 14, 25]	[21, 18, 21, 18]	[18, 17, 19, 16]	[10, 24, 8, 15]	[14, 24, 15, 12]	[18, 25, 11, 11]	[21, 18, 20, 13]	[31, 14, 13, 13]	[24, 21, 17, 13]	[20, 20, 20, 14]	[20, 16, 17, 17]	[14, 26, 15, 5]
15	[2, 4, 11, 7]	[2, 4, 12, 7]	[2, 7, 10, 15]	[4, 8, 14, 14]	[6, 7, 15, 19]	[4, 10, 12, 19]	[10, 9, 13, 21]	[8, 6, 20, 17]	[8, 13, 18, 15]	[8, 9, 17, 22]	[9, 9, 15, 20]	[10, 14, 17, 23]	[15, 17, 19, 26]	[11, 18, 22, 17]	[14, 16, 16, 27]	[18, 24, 31, 43]	[17, 22, 35, 36]	[16, 28, 44, 38]	[14, 34, 31, 47]	[17, 24, 41, 45]	[13, 33, 32, 34]	[19, 31, 37, 42]	[27, 31, 29, 44]	[30, 29, 35, 35]	[37, 29, 30, 39]	[35, 25, 25, 43]	[29, 31, 35, 37]	[37, 31, 33, 37]	[29, 32, 35, 38]	[0, 0, 0, 0]	[29, 32, 35, 38]	[37, 38, 28, 30]	[37, 36, 30, 29]	[45, 38, 25, 43]	[47, 35, 27, 34]	[51, 48, 31, 32]	[54, 51, 30, 38]	[42, 45, 46, 35]	[47, 42, 30, 46]	[48, 37, 47, 28]	[47, 47, 34, 37]	[50, 38, 39, 35]	[50, 39, 53, 36]	[52, 55, 50, 29]	[52, 60, 39, 34]	[54, 49, 46, 42]	[59, 51, 50, 35]	[56, 67, 42, 38]	[62, 63, 40, 40]	[55, 53, 52, 43]	[62, 48, 47, 47]	[70, 53, 37, 41]	[72, 53, 47, 31]	[59, 56, 38, 41]	[66, 49, 39, 43]	[61, 52, 30, 42]	[54, 49, 51, 37]	[48, 51, 43, 44]	[55, 51, 46, 36]	[59, 49, 43, 46]	[51, 55, 31, 49]	[49, 49, 42, 33]	[51, 32, 45, 34]	[46, 44, 38, 36]	[37, 45, 38, 29]	[43, 33, 44, 31]	[40, 26, 38, 31]	[40, 26, 35, 30]
16	[16, 14, 19, 34]	[17, 16, 16, 38]	[25, 14, 19, 38]	[14, 19, 29, 47]	[16, 24, 30, 60]	[21, 19, 37, 44]	[21, 21, 34, 51]	[19, 25, 39, 53]	[21, 25, 35, 46]	[23, 27, 36, 35]	[19, 28, 29, 54]	[21, 28, 27, 48]	[31, 31, 30, 42]	[23, 39, 30, 40]	[22, 31, 47, 44]	[19, 41, 35, 47]	[19, 34, 37, 47]	[22, 26, 40, 48]	[15, 24, 47, 51]	[24, 38, 42, 48]	[24, 39, 48, 45]	[22, 44, 35, 56]	[43, 33, 41, 60]	[32, 39, 51, 56]	[37, 32, 58, 58]	[36, 39, 49, 50]	[39, 44, 64, 47]	[48, 41, 56, 49]	[47, 56, 65, 56]	[0, 0, 0, 0]	[47, 56, 65, 56]	[47, 64, 57, 57]	[42, 67, 46, 60]	[41, 58, 59, 42]	[44, 62, 44, 49]	[54, 48, 41, 43]	[54, 46, 43, 46]	[45, 46, 50, 52]	[45, 42, 48, 46]	[50, 52, 46, 42]	[49, 52, 48, 45]	[44, 51, 41, 48]	[47, 39, 51, 45]	[43, 55, 43, 39]	[47, 45, 45, 36]	[57, 52, 31, 38]	[62, 44, 37, 42]	[57, 47, 44, 43]	[51, 46, 41, 39]	[55, 51, 36, 42]	[68, 41, 29, 44]	[53, 53, 38, 38]	[54, 49, 31, 49]	[51, 47, 45, 39]	[47, 50, 51, 32]	[51, 53, 39, 33]	[49, 43, 43, 43]	[42, 48, 39, 50]	[43, 33, 49, 40]	[48, 38, 42, 50]	[55, 43, 30, 44]	[55, 44, 45, 32]	[55, 51, 41, 33]	[49, 53, 40, 41]	[47, 44, 50, 42]	[41, 54, 44, 40]	[43, 54, 52, 38]	[57, 41, 46, 40]
17	[20, 8, 19, 24]	[18, 10, 19, 19]	[21, 11, 17, 29]	[17, 16, 14, 28]	[16, 20, 26, 31]	[21, 17, 21, 26]	[19, 21, 28, 36]	[32, 13, 23, 28]	[23, 27, 19, 29]	[27, 27, 22, 34]	[31, 19, 22, 39]	[32, 21, 17, 42]	[38, 26, 29, 38]	[33, 35, 32, 26]	[35, 23, 35, 51]	[32, 35, 36, 41]	[32, 32, 39, 44]	[37, 31, 35, 47]	[37, 22, 46, 44]	[34, 31, 36, 45]	[35, 37, 34, 29]	[44, 47, 34, 44]	[44, 46, 38, 39]	[40, 38, 50, 45]	[40, 40, 42, 52]	[41, 45, 41, 56]	[39, 41, 42, 51]	[42, 39, 51, 34]	[29, 51, 43, 36]	[0, 0, 0, 0]	[29, 51, 43, 36]	[41, 38, 44, 30]	[45, 38, 37, 40]	[41, 43, 42, 36]	[44, 39, 43, 46]	[56, 49, 46, 38]	[56, 45, 42, 43]	[36, 52, 49, 37]	[55, 42, 48, 40]	[52, 53, 42, 47]	[49, 52, 51, 48]	[53, 46, 52, 43]	[50, 51, 58, 33]	[54, 49, 52, 49]	[51, 55, 57, 39]	[49, 54, 37, 38]	[50, 43, 42, 35]	[50, 46, 40, 31]	[43, 60, 30, 29]	[47, 47, 36, 40]	[49, 44, 42, 34]	[61, 47, 31, 44]	[61, 41, 43, 43]	[67, 50, 45, 41]	[68, 47, 53, 32]	[66, 62, 38, 40]	[67, 51, 47, 45]	[58, 57, 56, 42]	[53, 65, 56, 47]	[67, 54, 31, 48]	[69, 56, 33, 50]	[63, 54, 40, 44]	[65, 56, 39, 34]	[53, 60, 50, 34]	[55, 61, 47, 58]	[56, 64, 55, 50]	[70, 61, 52, 42]	[52, 71, 52, 38]
18	[20, 26, 24, 42]	[20, 28, 26, 40]	[25, 24, 28, 41]	[21, 27, 35, 44]	[26, 36, 30, 34]	[32, 36, 39, 41]	[31, 42, 40, 45]	[41, 41, 39, 46]	[37, 53, 36, 42]	[47, 47, 43, 42]	[52, 40, 52, 40]	[57, 43, 47, 47]	[61, 46, 41, 40]	[55, 56, 32, 39]	[58, 48, 46, 33]	[62, 41, 49, 31]	[54, 52, 53, 40]	[54, 44, 52, 49]	[55, 51, 41, 45]	[47, 47, 51, 44]	[30, 23, 26, 18]	[29, 18, 13, 21]	[29, 20, 20, 21]	[26, 19, 22, 16]	[27, 24, 15, 24]	[24, 27, 23, 11]	[32, 25, 15, 16]	[35, 26, 15, 19]	[36, 21, 19, 17]	[0, 0, 0, 0]	[36, 21, 19, 17]	[43, 17, 26, 17]	[44, 18, 18, 24]	[42, 17, 20, 26]	[38, 22, 23, 23]	[38, 28, 22, 22]	[40, 29, 21, 26]	[32, 34, 22, 13]	[39, 29, 28, 15]	[43, 29, 23, 13]	[42, 26, 20, 15]	[37, 25, 21, 18]	[38, 32, 15, 16]	[37, 31, 14, 21]	[34, 31, 16, 23]	[38, 32, 23, 15]	[36, 25, 31, 19]	[41, 31, 17, 24]	[38, 29, 20, 10]	[41, 23, 21, 15]	[38, 25, 22, 18]	[36, 30, 17, 19]	[40, 21, 21, 19]	[38, 31, 13, 20]	[35, 24, 22, 17]	[32, 30, 24, 17]	[31, 32, 22, 16]	[28, 26, 27, 17]	[21, 36, 25, 20]	[33, 40, 33, 30]	[33, 38, 33, 32]	[42, 36, 31, 19]	[47, 34, 27, 20]	[40, 40, 36, 29]	[38, 46, 45, 28]	[47, 46, 39, 30]	[35, 42, 34, 29]	[43, 40, 40, 24]
19	[15, 14, 26, 48]	[15, 15, 26, 47]	[16, 14, 29, 47]	[22, 14, 37, 49]	[21, 18, 34, 42]	[24, 30, 25, 51]	[21, 27, 42, 45]	[23, 22, 40, 51]	[19, 18, 44, 40]	[21, 25, 39, 46]	[29, 25, 39, 39]	[27, 29, 42, 35]	[30, 31, 37, 45]	[29, 32, 42, 28]	[30, 28, 48, 40]	[32, 25, 49, 45]	[25, 34, 39, 36]	[31, 26, 40, 43]	[28, 27, 43, 42]	[19, 37, 35, 47]	[12, 6, 6, 13]	[16, 4, 4, 6]	[12, 7, 5, 7]	[8, 10, 8, 8]	[10, 11, 12, 5]	[8, 15, 10, 8]	[14, 8, 12, 8]	[11, 13, 13, 13]	[12, 15, 12, 12]	[0, 0, 0, 0]	[12, 15, 12, 12]	[8, 14, 10, 10]	[10, 15, 9, 7]	[11, 13, 12, 4]	[10, 12, 8, 5]	[6, 10, 13, 4]	[6, 10, 10, 4]	[7, 11, 8, 7]	[9, 10, 13, 9]	[10, 9, 9, 5]	[8, 7, 11, 8]	[12, 9, 9, 8]	[11, 7, 8, 13]	[11, 12, 12, 10]	[11, 14, 16, 12]	[12, 12, 12, 11]	[17, 11, 17, 16]	[12, 15, 16, 15]	[17, 18, 18, 11]	[18, 12, 16, 16]	[23, 13, 15, 15]	[25, 14, 14, 16]	[29, 11, 11, 14]	[20, 17, 12, 10]	[18, 19, 8, 14]	[17, 15, 15, 10]	[15, 16, 9, 20]	[19, 11, 16, 18]	[23, 19, 11, 18]	[23, 17, 13, 27]	[19, 18, 13, 19]	[26, 19, 15, 17]	[28, 17, 12, 16]	[25, 16, 15, 10]	[18, 21, 13, 18]	[18, 25, 15, 13]	[24, 14, 17, 14]	[17, 15, 20, 14]
20	[7, 14, 21, 26]	[7, 16, 20, 26]	[9, 21, 21, 27]	[16, 19, 27, 26]	[17, 17, 32, 26]	[24, 21, 26, 22]	[28, 22, 22, 26]	[32, 24, 24, 25]	[21, 24, 21, 28]	[27, 23, 29, 22]	[24, 16, 27, 20]	[25, 20, 26, 19]	[22, 16, 21, 25]	[25, 23, 17, 17]	[19, 26, 23, 16]	[15, 28, 25, 17]	[26, 28, 18, 10]	[18, 25, 20, 16]	[19, 28, 15, 16]	[16, 19, 18, 20]	[1, 8, 4, 4]	[6, 7, 2, 8]	[2, 5, 5, 5]	[3, 6, 6, 3]	[4, 9, 7, 7]	[2, 7, 8, 9]	[2, 7, 7, 12]	[6, 5, 5, 7]	[1, 3, 5, 6]	[0, 0, 0, 0]	[1, 3, 5, 6]	[3, 2, 6, 5]	[2, 3, 5, 4]	[3, 2, 7, 2]	[5, 5, 5, 6]	[6, 1, 6, 7]	[4, 6, 5, 6]	[5, 3, 7, 4]	[5, 5, 7, 8]	[8, 5, 6, 7]	[6, 9, 5, 4]	[4, 11, 9, 2]	[5, 14, 6, 10]	[5, 11, 7, 12]	[6, 15, 11, 7]	[11, 12, 7, 9]	[10, 10, 4, 11]	[10, 12, 10, 6]	[19, 8, 10, 6]	[9, 11, 13, 14]	[18, 8, 16, 11]	[13, 13, 8, 12]	[15, 10, 10, 14]	[12, 17, 11, 10]	[15, 9, 7, 14]	[16, 15, 10, 10]	[12, 16, 8, 9]	[15, 10, 6, 13]	[13, 18, 9, 16]	[12, 11, 6, 13]	[16, 11, 7, 15]	[15, 12, 9, 11]	[15, 12, 6, 14]	[10, 11, 11, 11]	[9, 15, 9, 13]	[14, 12, 11, 8]	[10, 11, 12, 10]	[15, 13, 11, 7]
21	[8, 5, 5, 12]	[10, 4, 8, 13]	[11, 7, 7, 12]	[10, 6, 9, 16]	[13, 7, 10, 15]	[9, 9, 9, 17]	[11, 7, 10, 15]	[14, 8, 11, 14]	[8, 12, 9, 8]	[8, 11, 12, 9]	[11, 16, 6, 21]	[12, 10, 21, 17]	[9, 18, 17, 13]	[13, 19, 23, 13]	[12, 29, 23, 21]	[21, 19, 24, 27]	[17, 20, 19, 15]	[19, 17, 14, 14]	[19, 20, 18, 16]	[11, 20, 15, 16]	[9, 9, 2, 9]	[4, 3, 7, 4]	[5, 5, 2, 6]	[8, 6, 3, 4]	[8, 6, 4, 9]	[8, 5, 2, 7]	[8, 4, 3, 5]	[8, 2, 1, 4]	[6, 6, 7, 6]	[0, 0, 0, 0]	[6, 6, 7, 6]	[7, 4, 5, 7]	[7, 4, 4, 7]	[10, 5, 3, 3]	[9, 5, 4, 8]	[11, 3, 4, 7]	[5, 8, 5, 2]	[7, 6, 7, 3]	[8, 5, 2, 2]	[7, 8, 4, 8]	[5, 4, 6, 7]	[5, 3, 3, 6]	[4, 7, 5, 5]	[6, 10, 7, 8]	[5, 7, 3, 7]	[5, 6, 3, 4]	[7, 7, 4, 5]	[9, 6, 2, 4]	[5, 3, 4, 5]	[4, 3, 4, 4]	[6, 4, 5, 4]	[5, 8, 7, 11]	[3, 3, 5, 5]	[4, 5, 6, 2]	[6, 6, 7, 4]	[5, 4, 5, 6]	[6, 5, 7, 5]	[4, 8, 5, 8]	[6, 5, 8, 4]	[9, 11, 7, 13]	[12, 16, 14, 10]	[7, 8, 8, 5]	[12, 8, 5, 4]	[11, 10, 6, 9]	[16, 4, 7, 8]	[13, 7, 6, 6]	[8, 12, 9, 3]	[10, 10, 7, 5]
22	[16, 22, 15, 16]	[21, 20, 12, 16]	[27, 34, 33, 28]	[27, 29, 18, 27]	[23, 35, 20, 23]	[23, 31, 22, 23]	[35, 39, 28, 23]	[30, 32, 28, 30]	[34, 33, 21, 22]	[39, 35, 36, 26]	[47, 41, 36, 36]	[46, 42, 26, 32]	[34, 46, 25, 20]	[35, 31, 21, 16]	[38, 45, 39, 18]	[48, 42, 32, 24]	[41, 38, 25, 19]	[36, 41, 40, 33]	[43, 30, 43, 33]	[36, 27, 28, 32]	[5, 9, 2, 3]	[11, 15, 10, 17]	[10, 9, 4, 9]	[7, 11, 7, 14]	[6, 9, 11, 9]	[10, 10, 12, 12]	[1, 10, 8, 8]	[7, 10, 15, 10]	[11, 14, 14, 16]	[0, 0, 0, 0]	[11, 14, 14, 16]	[11, 30, 18, 13]	[3, 8, 10, 4]	[19, 19, 23, 16]	[8, 21, 21, 12]	[13, 11, 16, 13]	[19, 14, 23, 17]	[26, 15, 16, 19]	[10, 10, 18, 17]	[21, 27, 24, 16]	[19, 22, 21, 26]	[14, 19, 12, 7]	[25, 24, 16, 16]	[22, 22, 14, 15]	[11, 18, 16, 16]	[11, 20, 19, 11]	[19, 20, 25, 13]	[19, 21, 21, 14]	[18, 13, 11, 16]	[20, 15, 17, 13]	[24, 19, 18, 12]	[13, 15, 9, 8]	[17, 15, 11, 16]	[12, 14, 13, 13]	[22, 19, 24, 15]	[18, 22, 19, 9]	[16, 11, 11, 15]	[12, 22, 18, 19]	[16, 17, 13, 15]	[13, 14, 8, 16]	[13, 21, 9, 12]	[21, 11, 15, 13]	[17, 13, 10, 11]	[11, 11, 8, 7]	[5, 11, 10, 8]	[6, 13, 11, 14]	[5, 14, 13, 11]	[4, 13, 11, 9]
23	[17, 11, 9, 20]	[17, 16, 12, 29]	[12, 7, 5, 20]	[14, 9, 13, 17]	[27, 10, 19, 22]	[16, 17, 13, 19]	[11, 14, 4, 24]	[16, 11, 14, 20]	[17, 16, 22, 20]	[20, 14, 22, 15]	[13, 12, 16, 16]	[17, 9, 21, 20]	[21, 12, 20, 21]	[24, 24, 19, 13]	[13, 13, 13, 11]	[12, 13, 9, 16]	[14, 12, 22, 26]	[10, 6, 18, 10]	[16, 7, 15, 15]	[15, 12, 16, 19]	[5, 6, 8, 4]	[2, 4, 1, 2]	[3, 5, 4, 7]	[5, 2, 6, 0]	[7, 2, 7, 5]	[1, 1, 4, 2]	[9, 7, 4, 8]	[4, 6, 7, 2]	[0, 1, 4, 3]	[0, 0, 0, 0]	[0, 1, 4, 3]	[0, 4, 2, 2]	[9, 6, 13, 5]	[2, 2, 1, 1]	[3, 5, 2, 3]	[9, 4, 4, 5]	[3, 7, 3, 1]	[0, 3, 3, 2]	[6, 5, 6, 2]	[1, 2, 2, 0]	[1, 3, 4, 2]	[10, 10, 6, 7]	[3, 3, 3, 2]	[4, 1, 1, 2]	[2, 4, 3, 4]	[5, 3, 7, 5]	[3, 2, 4, 5]	[1, 3, 1, 2]	[6, 7, 6, 3]	[2, 7, 5, 2]	[2, 1, 2, 1]	[9, 4, 2, 7]	[8, 3, 4, 3]	[4, 10, 6, 3]	[4, 5, 1, 7]	[9, 8, 6, 3]	[9, 4, 5, 7]	[4, 9, 7, 3]	[12, 6, 13, 6]	[5, 12, 5, 10]	[6, 6, 4, 7]	[11, 5, 11, 8]	[9, 6, 9, 5]	[12, 4, 7, 3]	[11, 5, 11, 9]	[18, 2, 8, 4]	[10, 12, 9, 5]	[17, 6, 10, 9]
