hour	Midway Orange Line Station	55th Street & Kilpatrick	4600 W 55th Street	55th Street & Kilbourn	55th Street & Kostner	55th Street & Kildare	55th Street & Keeler	55th Street & Karlov	55th Street & Pulaski	55th Street & Springfield	55th Street & Hamlin	55th Street & Lawndale	3600 W 55th Street	55th Street & St. Louis	55th Street & Homan	55th Street & Spaulding	55th Street & Kedzie	55th Street & Albany	55th Street & Sacramento	55th Street & Francisco	55th Street & California	55th Street & Washtenaw	55th Street & Rockwell	55th Street & Artesian	55th Street & Western Avenue	Garfield & Western Boulevard	Garfield & Oakley	Garfield & Hamilton	Garfield & Hoyne	Garfield & Damen	Garfield & Wolcott	Garfield & Wood	Garfield & Paulina	Garfield & Ashland	Garfield & Laflin	Garfield & Loomis	Garfield & Throop	Garfield & Racine	Garfield & Aberdeen	Garfield & Morgan	Garfield & Peoria	Garfield & Halsted	Garfield & Union	Garfield & Lowe	Garfield & Normal	Garfield & Princeton	Garfield Red Line Station	Garfield & LaSalle	Garfield & Federal	Garfield & State	Garfield & Wabash	Garfield & Indiana	Garfield Green Line Station	Garfield & King Drive	Morgan Drive & Russell Drive	Payne Drive & 55th Street	55th Street & Cottage Grove	55th Street & Drexel	55th Street & Ellis	55th Street & University	55th Street & Woodlawn	55th Street & Kimbark	55th Street & Kenwood	55th Street & Dorchester	55th Street & Blackstone	55th Street & Lake Park	S Hyde Park & 55th Street	S Hyde Park & 56th Street	Museum of Science & Industry
10	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 2, 0, 2]	[1, 0, 0, 0]	[1, 1, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[1, 0, 2, 0]	[0, 0, 3, 2]	[0, 1, 1, 1]	[1, 0, 0, 1]	[0, 1, 1, 0]	[0, 1, 1, 0]	[1, 0, 0, 2]	[1, 0, 0, 2]	[0, 1, 2, 0]	[0, 1, 0, 1]	[1, 0, 1, 0]	[1, 1, 0, 1]	[0, 1, 2, 1]	[2, 1, 4, 1]	[1, 1, 0, 1]	[2, 2, 4, 2]	[0, 3, 3, 1]	[1, 1, 0, 0]	[2, 0, 0, 1]	[2, 0, 1, 0]	[3, 1, 2, 3]	[2, 2, 0, 3]	[0, 2, 1, 2]	[1, 1, 0, 1]	[3, 1, 1, 2]	[3, 1, 1, 2]	[4, 3, 0, 3]	[1, 3, 1, 4]	[0, 2, 2, 3]	[2, 2, 2, 4]	[1, 1, 1, 3]	[2, 1, 3, 4]	[0, 3, 3, 3]	[3, 1, 2, 2]	[1, 1, 1, 2]	[0, 1, 1, 2]	[1, 2, 1, 1]	[0, 0, 2, 1]	[0, 3, 1, 3]	[0, 0, 3, 2]	[2, 2, 1, 3]	[1, 1, 2, 0]	[4, 0, 1, 0]	[1, 0, 1, 0]	[0, 1, 1, 1]	[2, 0, 0, 1]	[0, 2, 0, 0]	[0, 1, 1, 2]	[1, 1, 2, 1]	[2, 0, 2, 2]	[2, 0, 1, 5]	[2, 2, 0, 6]	[2, 1, 0, 2]	[1, 1, 3, 2]	[2, 0, 0, 3]	[3, 1, 2, 2]	[0, 0, 0, 0]
11	[0, 1, 0, 3]	[0, 0, 1, 3]	[0, 0, 1, 1]	[0, 0, 0, 0]	[0, 0, 0, 2]	[2, 2, 0, 2]	[1, 0, 3, 3]	[0, 1, 1, 2]	[3, 1, 0, 3]	[2, 2, 1, 3]	[2, 0, 0, 4]	[4, 0, 1, 2]	[2, 2, 0, 4]	[2, 0, 2, 2]	[2, 4, 1, 3]	[1, 3, 2, 4]	[1, 4, 1, 3]	[3, 1, 1, 2]	[1, 3, 1, 1]	[3, 0, 5, 0]	[2, 3, 1, 5]	[1, 3, 3, 1]	[0, 2, 2, 2]	[1, 2, 2, 2]	[1, 1, 2, 3]	[0, 2, 2, 6]	[4, 1, 3, 4]	[2, 2, 2, 3]	[2, 0, 2, 4]	[1, 4, 4, 1]	[2, 4, 1, 2]	[2, 2, 4, 1]	[3, 2, 2, 1]	[4, 1, 1, 3]	[5, 0, 5, 0]	[3, 2, 2, 0]	[2, 3, 2, 1]	[3, 1, 5, 1]	[1, 3, 2, 2]	[1, 1, 4, 2]	[1, 3, 2, 3]	[4, 3, 2, 2]	[5, 3, 0, 2]	[5, 1, 1, 3]	[2, 3, 1, 3]	[1, 2, 5, 3]	[2, 1, 3, 1]	[7, 2, 3, 4]	[3, 1, 2, 5]	[1, 3, 2, 3]	[1, 3, 6, 1]	[2, 3, 2, 6]	[1, 3, 1, 6]	[3, 2, 1, 5]	[0, 4, 3, 6]	[0, 4, 4, 7]	[0, 4, 7, 6]	[1, 2, 8, 2]	[1, 2, 4, 8]	[1, 4, 6, 2]	[1, 5, 7, 2]	[0, 5, 5, 6]	[2, 3, 7, 4]	[2, 4, 6, 5]	[4, 1, 6, 5]	[3, 2, 6, 2]	[2, 5, 6, 4]	[4, 5, 6, 4]	[0, 0, 0, 1]
12	[0, 1, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 1, 0]	[1, 0, 3, 0]	[1, 1, 1, 1]	[0, 0, 2, 2]	[0, 0, 1, 2]	[1, 1, 1, 2]	[1, 1, 1, 1]	[1, 1, 1, 0]	[3, 0, 1, 1]	[2, 0, 2, 0]	[1, 0, 0, 2]	[1, 1, 0, 0]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 1]	[0, 0, 1, 2]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 0, 2, 2]	[1, 0, 2, 0]	[0, 0, 1, 0]	[1, 0, 2, 1]	[0, 0, 1, 2]	[1, 2, 2, 4]	[0, 0, 1, 2]	[0, 1, 0, 2]	[1, 0, 1, 1]	[1, 1, 0, 3]	[1, 0, 3, 1]	[1, 0, 3, 1]	[1, 3, 2, 0]	[1, 2, 1, 2]	[1, 3, 0, 1]	[2, 2, 0, 5]	[3, 1, 3, 1]	[3, 2, 3, 4]	[2, 2, 3, 2]	[2, 2, 3, 3]	[3, 2, 3, 4]	[2, 1, 2, 3]	[2, 2, 1, 5]	[1, 3, 2, 4]	[3, 3, 4, 3]	[4, 1, 4, 6]	[2, 1, 3, 4]	[2, 1, 3, 3]	[3, 0, 5, 3]	[3, 2, 2, 4]	[4, 1, 2, 4]	[5, 2, 2, 8]	[3, 2, 5, 4]	[3, 2, 4, 4]	[2, 5, 2, 2]	[1, 6, 4, 1]	[2, 3, 5, 4]	[4, 3, 4, 3]	[3, 2, 5, 3]	[5, 4, 1, 2]	[7, 3, 3, 0]	[4, 3, 2, 2]	[0, 0, 0, 0]
13	[0, 0, 0, 0]	[0, 0, 2, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 1, 1]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[1, 1, 1, 2]	[0, 1, 0, 0]	[1, 1, 0, 1]	[0, 1, 0, 0]	[0, 1, 1, 1]	[0, 1, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 1, 0, 0]	[0, 1, 1, 0]	[1, 0, 0, 1]	[1, 1, 0, 1]	[0, 1, 0, 1]	[0, 0, 1, 2]	[0, 2, 0, 2]	[0, 0, 0, 3]	[0, 0, 0, 2]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 1, 1, 1]	[1, 1, 0, 0]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 0, 0, 2]	[0, 0, 2, 0]	[1, 0, 0, 3]	[0, 1, 0, 3]	[0, 0, 3, 1]	[0, 0, 2, 3]	[0, 0, 1, 3]	[0, 1, 1, 1]	[2, 0, 3, 1]	[1, 0, 1, 2]	[0, 1, 1, 3]	[0, 1, 2, 2]	[0, 2, 1, 3]	[0, 1, 2, 3]	[0, 3, 2, 2]	[2, 0, 4, 2]	[0, 3, 2, 1]	[2, 1, 2, 5]	[2, 0, 1, 4]	[2, 1, 2, 3]	[1, 3, 1, 2]	[2, 3, 2, 3]	[2, 2, 4, 4]	[3, 1, 1, 6]	[1, 3, 5, 3]	[1, 2, 5, 6]	[1, 2, 3, 7]	[1, 5, 3, 7]	[2, 5, 1, 6]	[3, 3, 3, 5]	[5, 0, 5, 5]	[4, 0, 6, 5]	[3, 4, 3, 5]	[3, 2, 5, 3]	[6, 0, 4, 5]	[0, 0, 0, 0]
14	[1, 1, 0, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[1, 0, 1, 1]	[0, 0, 1, 0]	[1, 1, 1, 0]	[1, 1, 0, 0]	[2, 1, 0, 3]	[0, 2, 1, 1]	[0, 0, 2, 2]	[0, 0, 2, 1]	[1, 1, 3, 2]	[1, 0, 3, 1]	[0, 1, 3, 1]	[1, 2, 2, 0]	[1, 2, 3, 0]	[0, 3, 4, 0]	[1, 3, 1, 2]	[2, 2, 3, 2]	[2, 1, 1, 3]	[1, 1, 4, 4]	[1, 0, 6, 2]	[1, 4, 1, 3]	[2, 2, 2, 2]	[1, 3, 2, 2]	[0, 2, 5, 0]	[0, 3, 3, 1]	[1, 1, 4, 1]	[0, 3, 2, 2]	[1, 3, 0, 2]	[0, 3, 2, 1]	[2, 2, 2, 2]	[2, 3, 2, 1]	[5, 6, 8, 12]	[6, 9, 10, 8]	[9, 6, 10, 11]	[9, 5, 14, 14]	[8, 8, 11, 13]	[6, 11, 10, 11]	[9, 6, 10, 14]	[11, 7, 12, 9]	[9, 9, 13, 6]	[13, 6, 13, 9]	[11, 6, 12, 15]	[10, 5, 11, 15]	[7, 8, 12, 13]	[7, 10, 11, 15]	[9, 8, 8, 9]	[12, 6, 9, 14]	[11, 6, 12, 15]	[13, 8, 4, 12]	[16, 7, 5, 13]	[15, 6, 8, 15]	[14, 6, 11, 15]	[16, 7, 11, 10]	[11, 9, 9, 12]	[10, 9, 8, 11]	[11, 5, 9, 11]	[7, 5, 9, 10]	[9, 6, 4, 12]	[11, 6, 8, 7]	[9, 9, 6, 9]	[11, 4, 10, 9]	[10, 6, 7, 11]	[9, 7, 11, 9]	[8, 12, 5, 8]	[9, 4, 7, 8]	[9, 6, 5, 10]	[0, 0, 0, 0]
15	[0, 1, 1, 1]	[1, 0, 0, 2]	[1, 0, 2, 1]	[0, 0, 2, 2]	[0, 1, 1, 3]	[0, 0, 2, 2]	[0, 2, 2, 1]	[1, 1, 2, 2]	[1, 0, 5, 5]	[1, 0, 2, 6]	[0, 1, 2, 9]	[1, 3, 4, 8]	[2, 5, 8, 4]	[2, 3, 2, 14]	[2, 4, 3, 12]	[2, 4, 6, 16]	[3, 3, 5, 8]	[4, 4, 8, 7]	[3, 3, 5, 11]	[1, 5, 8, 9]	[1, 5, 9, 11]	[3, 6, 5, 17]	[3, 4, 9, 10]	[3, 6, 8, 11]	[2, 4, 12, 9]	[1, 7, 12, 9]	[4, 2, 13, 13]	[5, 4, 10, 11]	[4, 6, 8, 9]	[8, 2, 8, 6]	[8, 2, 9, 6]	[9, 6, 5, 11]	[8, 6, 5, 13]	[5, 12, 9, 12]	[8, 8, 6, 6]	[7, 7, 7, 10]	[9, 5, 8, 18]	[10, 8, 9, 17]	[8, 8, 10, 19]	[6, 12, 15, 10]	[7, 13, 13, 14]	[7, 12, 13, 12]	[12, 7, 9, 17]	[9, 9, 8, 13]	[14, 6, 6, 16]	[10, 9, 8, 17]	[10, 9, 9, 11]	[9, 9, 8, 9]	[10, 9, 9, 11]	[6, 11, 10, 8]	[14, 5, 11, 12]	[9, 9, 9, 11]	[14, 7, 8, 7]	[10, 11, 6, 7]	[10, 12, 5, 9]	[12, 6, 7, 18]	[14, 11, 11, 14]	[22, 8, 8, 16]	[17, 17, 12, 12]	[18, 15, 11, 18]	[13, 20, 12, 11]	[21, 15, 11, 12]	[24, 11, 10, 11]	[26, 10, 10, 11]	[23, 12, 16, 9]	[22, 15, 15, 8]	[20, 16, 8, 14]	[18, 14, 16, 16]	[0, 1, 0, 0]
16	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 1]	[0, 2, 0, 0]	[0, 0, 1, 0]	[1, 0, 2, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[6, 10, 9, 13]	[6, 6, 14, 15]	[7, 12, 7, 12]	[10, 12, 8, 14]	[12, 12, 8, 14]	[10, 11, 15, 16]	[8, 13, 11, 15]	[11, 13, 8, 11]	[11, 10, 10, 13]	[11, 13, 13, 8]	[11, 11, 13, 10]	[16, 11, 8, 11]	[16, 11, 16, 10]	[17, 11, 15, 12]	[18, 12, 14, 11]	[15, 12, 17, 12]	[15, 18, 11, 16]	[13, 14, 15, 14]	[16, 17, 10, 8]	[15, 15, 11, 11]	[7, 4, 10, 11]	[7, 7, 10, 21]	[10, 5, 15, 17]	[8, 9, 13, 14]	[8, 11, 12, 19]	[9, 11, 10, 24]	[6, 15, 12, 17]	[6, 14, 19, 15]	[7, 19, 17, 9]	[12, 9, 21, 13]	[22, 9, 12, 17]	[16, 17, 14, 11]	[11, 18, 14, 17]	[17, 19, 16, 14]	[18, 17, 17, 16]	[23, 13, 14, 17]	[19, 11, 19, 17]	[17, 18, 16, 14]	[17, 24, 17, 12]	[17, 26, 14, 12]	[21, 18, 18, 16]	[22, 28, 12, 13]	[27, 17, 13, 14]	[23, 18, 15, 15]	[29, 13, 13, 15]	[29, 18, 13, 16]	[28, 19, 11, 17]	[23, 21, 17, 13]	[26, 18, 17, 11]	[26, 18, 15, 16]	[28, 16, 17, 12]	[23, 21, 16, 18]	[29, 19, 11, 14]	[22, 19, 16, 16]	[22, 21, 16, 12]	[0, 1, 1, 0]
17	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 1, 1]	[0, 2, 1, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[2, 1, 0, 1]	[1, 0, 0, 2]	[2, 1, 1, 1]	[1, 3, 1, 3]	[1, 2, 1, 5]	[9, 8, 6, 8]	[9, 6, 4, 8]	[8, 6, 6, 6]	[7, 8, 7, 5]	[8, 8, 5, 9]	[8, 8, 6, 11]	[5, 8, 8, 8]	[8, 6, 8, 10]	[5, 12, 6, 10]	[7, 9, 8, 9]	[8, 9, 9, 9]	[4, 9, 7, 11]	[7, 8, 6, 9]	[5, 11, 6, 8]	[5, 9, 10, 4]	[6, 8, 10, 8]	[5, 10, 9, 5]	[5, 12, 7, 12]	[5, 11, 11, 11]	[4, 7, 13, 11]	[3, 5, 9, 13]	[5, 4, 11, 10]	[4, 9, 7, 9]	[5, 7, 7, 16]	[5, 8, 6, 9]	[8, 5, 4, 9]	[10, 8, 7, 4]	[10, 7, 5, 8]	[8, 9, 7, 9]	[7, 10, 9, 9]	[5, 11, 8, 9]	[10, 6, 6, 10]	[11, 7, 7, 12]	[13, 7, 7, 12]	[9, 10, 8, 6]	[9, 7, 10, 8]	[10, 7, 6, 10]	[8, 10, 12, 8]	[6, 9, 8, 13]	[8, 7, 9, 11]	[9, 12, 8, 13]	[12, 9, 14, 10]	[13, 10, 6, 9]	[12, 9, 9, 5]	[12, 10, 10, 2]	[11, 13, 9, 6]	[10, 19, 4, 6]	[11, 12, 9, 6]	[8, 18, 9, 8]	[14, 11, 9, 6]	[16, 6, 12, 5]	[13, 15, 7, 7]	[14, 12, 8, 8]	[18, 9, 11, 9]	[15, 13, 11, 13]	[0, 0, 2, 0]
18	[0, 1, 1, 0]	[1, 3, 0, 0]	[1, 3, 1, 0]	[1, 1, 0, 1]	[2, 1, 0, 0]	[3, 0, 0, 0]	[3, 1, 1, 0]	[1, 1, 2, 0]	[1, 2, 1, 0]	[1, 3, 0, 1]	[2, 3, 3, 2]	[3, 1, 2, 1]	[3, 2, 1, 2]	[16, 11, 7, 12]	[14, 16, 11, 6]	[14, 11, 13, 6]	[12, 8, 12, 10]	[10, 11, 8, 8]	[12, 8, 11, 7]	[15, 7, 5, 8]	[8, 12, 8, 8]	[10, 13, 5, 8]	[11, 6, 13, 6]	[9, 10, 12, 9]	[11, 16, 7, 10]	[10, 15, 10, 8]	[15, 10, 10, 9]	[15, 11, 8, 9]	[16, 8, 10, 10]	[14, 13, 9, 8]	[12, 9, 18, 6]	[14, 8, 14, 12]	[11, 9, 11, 13]	[1, 0, 5, 2]	[1, 1, 2, 1]	[1, 1, 2, 3]	[2, 1, 1, 4]	[3, 2, 1, 3]	[2, 1, 3, 3]	[2, 1, 3, 1]	[2, 1, 2, 0]	[2, 3, 2, 4]	[1, 2, 4, 4]	[4, 2, 3, 4]	[1, 4, 2, 3]	[4, 3, 2, 2]	[2, 6, 2, 5]	[1, 5, 1, 3]	[4, 1, 3, 3]	[4, 2, 2, 3]	[4, 2, 2, 4]	[3, 2, 2, 4]	[5, 4, 2, 3]	[3, 4, 5, 4]	[1, 6, 2, 6]	[3, 3, 4, 4]	[3, 3, 6, 4]	[5, 3, 4, 2]	[4, 3, 3, 7]	[3, 4, 3, 7]	[3, 5, 5, 10]	[5, 4, 4, 9]	[6, 4, 4, 7]	[6, 3, 7, 4]	[3, 7, 3, 9]	[7, 9, 9, 7]	[5, 8, 10, 10]	[6, 2, 7, 10]	[0, 0, 0, 1]
19	[0, 0, 1, 0]	[2, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 2, 0]	[0, 1, 1, 0]	[2, 0, 0, 1]	[0, 0, 0, 1]	[3, 9, 7, 13]	[7, 5, 16, 7]	[8, 8, 11, 13]	[14, 12, 12, 10]	[14, 9, 18, 8]	[15, 12, 14, 8]	[13, 15, 12, 8]	[16, 13, 13, 8]	[17, 16, 11, 9]	[17, 14, 12, 9]	[20, 11, 13, 6]	[18, 14, 12, 8]	[20, 15, 11, 6]	[20, 15, 11, 9]	[20, 15, 12, 4]	[22, 13, 10, 8]	[25, 13, 8, 11]	[24, 11, 11, 7]	[19, 14, 11, 8]	[17, 16, 10, 5]	[2, 4, 2, 2]	[1, 2, 3, 3]	[2, 3, 1, 2]	[3, 2, 3, 5]	[3, 1, 4, 3]	[3, 2, 3, 5]	[3, 5, 4, 3]	[5, 5, 3, 4]	[1, 5, 3, 3]	[4, 4, 3, 3]	[2, 2, 8, 4]	[4, 2, 5, 3]	[3, 1, 6, 3]	[3, 2, 3, 5]	[1, 1, 4, 7]	[3, 1, 5, 4]	[2, 2, 4, 5]	[3, 2, 3, 6]	[1, 7, 4, 6]	[1, 4, 7, 5]	[1, 5, 7, 4]	[5, 2, 6, 4]	[8, 7, 4, 6]	[4, 6, 2, 6]	[5, 5, 4, 6]	[6, 6, 2, 7]	[6, 6, 3, 8]	[3, 4, 8, 5]	[5, 2, 9, 4]	[6, 2, 12, 6]	[5, 3, 9, 7]	[3, 6, 8, 10]	[2, 6, 7, 6]	[7, 5, 2, 4]	[5, 2, 4, 3]	[1, 0, 0, 0]
20	[0, 0, 1, 0]	[1, 1, 0, 1]	[1, 1, 0, 0]	[1, 0, 1, 1]	[0, 0, 0, 1]	[0, 1, 0, 2]	[0, 3, 0, 0]	[0, 0, 0, 0]	[1, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[2, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 3, 0, 0]	[0, 0, 0, 0]	[2, 1, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 1, 0, 1]	[0, 0, 0, 1]	[1, 1, 2, 1]	[0, 0, 2, 1]	[2, 1, 2, 0]	[3, 2, 1, 1]	[0, 4, 4, 4]	[1, 1, 2, 3]	[2, 0, 2, 2]	[5, 1, 0, 2]	[1, 1, 1, 5]	[0, 2, 0, 2]	[0, 2, 1, 2]	[1, 0, 2, 1]	[0, 0, 1, 1]	[0, 1, 1, 1]	[1, 2, 1, 1]	[3, 1, 3, 3]	[1, 1, 1, 1]	[1, 0, 0, 1]	[1, 1, 0, 0]	[3, 2, 1, 3]	[1, 2, 0, 1]	[1, 2, 0, 0]	[1, 2, 0, 2]	[1, 2, 1, 0]	[4, 2, 3, 3]	[3, 0, 2, 1]	[2, 4, 2, 2]	[1, 2, 2, 3]	[2, 2, 2, 1]	[2, 0, 3, 0]	[2, 0, 0, 0]	[1, 1, 2, 1]	[1, 0, 1, 2]	[0, 0, 0, 0]
21	[0, 0, 0, 0]	[0, 0, 0, 1]	[2, 1, 0, 2]	[2, 0, 1, 0]	[1, 1, 0, 1]	[0, 1, 1, 0]	[2, 0, 0, 3]	[0, 4, 2, 5]	[1, 0, 0, 2]	[1, 0, 1, 2]	[0, 0, 0, 2]	[0, 0, 1, 1]	[0, 1, 2, 1]	[1, 1, 0, 0]	[1, 1, 1, 0]	[0, 1, 0, 1]	[0, 0, 1, 1]	[0, 0, 0, 0]	[1, 0, 4, 2]	[0, 0, 1, 0]	[0, 1, 0, 0]	[1, 1, 0, 0]	[2, 0, 0, 1]	[1, 1, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[1, 0, 0, 1]	[2, 1, 2, 3]	[1, 1, 2, 1]	[0, 0, 1, 2]	[3, 0, 2, 1]	[3, 0, 1, 0]	[2, 1, 2, 3]	[2, 3, 2, 2]	[0, 2, 0, 1]	[0, 2, 1, 1]	[3, 1, 3, 0]	[0, 0, 2, 1]	[3, 3, 6, 2]	[0, 1, 1, 2]	[0, 0, 1, 1]	[0, 2, 2, 2]	[2, 1, 1, 0]	[1, 0, 1, 0]	[3, 1, 2, 0]	[1, 2, 4, 2]	[0, 0, 0, 0]	[0, 0, 1, 1]	[1, 1, 5, 2]	[1, 1, 3, 4]	[1, 1, 0, 3]	[1, 1, 3, 0]	[1, 0, 1, 1]	[0, 2, 1, 4]	[2, 4, 3, 2]	[0, 1, 1, 3]	[2, 1, 0, 2]	[0, 1, 1, 0]	[4, 2, 4, 5]	[1, 5, 1, 2]	[3, 3, 2, 0]	[2, 4, 5, 1]	[3, 6, 0, 0]	[1, 3, 0, 0]	[4, 0, 2, 2]	[0, 2, 4, 3]	[1, 4, 2, 3]	[1, 2, 2, 0]	[0, 0, 0, 0]
22	[0, 0, 0, 1]	[2, 1, 1, 5]	[5, 2, 4, 3]	[2, 1, 5, 2]	[3, 2, 2, 5]	[3, 2, 4, 3]	[6, 5, 3, 6]	[2, 4, 4, 5]	[4, 1, 2, 1]	[2, 5, 3, 1]	[9, 7, 4, 4]	[3, 9, 3, 4]	[2, 2, 2, 2]	[5, 6, 6, 3]	[2, 4, 7, 3]	[6, 11, 6, 5]	[5, 3, 3, 1]	[3, 8, 2, 7]	[8, 3, 5, 1]	[2, 5, 2, 3]	[2, 1, 1, 4]	[6, 2, 5, 5]	[1, 2, 2, 5]	[4, 4, 6, 4]	[1, 0, 1, 3]	[1, 4, 1, 1]	[6, 6, 2, 5]	[2, 3, 2, 8]	[6, 8, 2, 0]	[6, 6, 2, 1]	[5, 4, 3, 7]	[3, 2, 5, 2]	[6, 4, 2, 5]	[1, 2, 0, 2]	[7, 2, 5, 0]	[5, 3, 2, 4]	[4, 4, 3, 2]	[1, 5, 2, 3]	[6, 4, 2, 5]	[4, 3, 3, 3]	[8, 6, 5, 3]	[5, 2, 4, 2]	[2, 2, 2, 2]	[3, 2, 3, 2]	[5, 2, 2, 3]	[5, 1, 2, 0]	[5, 0, 3, 4]	[3, 4, 1, 2]	[9, 3, 4, 3]	[2, 7, 5, 3]	[3, 2, 2, 1]	[1, 2, 2, 3]	[1, 1, 2, 2]	[2, 3, 3, 2]	[4, 2, 2, 0]	[2, 3, 0, 0]	[4, 2, 1, 6]	[3, 4, 4, 1]	[2, 3, 3, 6]	[2, 2, 3, 4]	[2, 5, 4, 3]	[4, 1, 2, 1]	[1, 2, 4, 2]	[3, 3, 3, 4]	[4, 4, 1, 3]	[1, 3, 4, 0]	[3, 2, 1, 1]	[0, 3, 2, 1]	[1, 0, 0, 0]
23	[1, 1, 3, 0]	[5, 2, 4, 5]	[2, 1, 5, 6]	[2, 4, 0, 6]	[1, 1, 5, 4]	[3, 1, 2, 9]	[0, 0, 0, 2]	[2, 2, 3, 2]	[3, 1, 2, 0]	[3, 9, 5, 1]	[0, 1, 1, 2]	[0, 0, 0, 0]	[3, 3, 3, 3]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 4, 1]	[2, 4, 2, 4]	[0, 2, 4, 2]	[3, 2, 1, 4]	[2, 4, 3, 4]	[1, 1, 2, 8]	[1, 0, 4, 3]	[2, 7, 4, 6]	[5, 3, 1, 7]	[10, 5, 5, 8]	[7, 3, 6, 3]	[0, 3, 1, 2]	[6, 3, 2, 4]	[5, 4, 1, 3]	[1, 0, 0, 2]	[9, 1, 1, 2]	[0, 0, 3, 2]	[3, 3, 6, 3]	[4, 5, 3, 4]	[3, 4, 5, 2]	[4, 0, 3, 2]	[3, 2, 2, 2]	[0, 0, 0, 0]	[5, 5, 2, 1]	[0, 1, 0, 0]	[1, 2, 0, 4]	[2, 3, 1, 3]	[2, 0, 0, 1]	[0, 0, 1, 0]	[1, 2, 2, 2]	[1, 0, 1, 3]	[6, 3, 4, 1]	[0, 0, 1, 1]	[0, 0, 1, 2]	[5, 1, 3, 3]	[2, 0, 1, 2]	[1, 4, 1, 3]	[1, 1, 1, 1]	[2, 1, 2, 0]	[3, 3, 2, 3]	[1, 8, 3, 1]	[5, 1, 3, 4]	[0, 1, 1, 2]	[1, 3, 0, 4]	[2, 0, 1, 3]	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 3]	[0, 1, 2, 0]	[1, 0, 0, 0]	[1, 1, 1, 0]	[3, 1, 2, 1]
